"DISTRICT","TOTALPOP","Targ.","% Dev.","Deviation"
1,643585,643501.3636,0%,84
2,643539,643501.3636,0%,38
3,643684,643501.3636,0%,183
4,643770,643501.3636,0%,269
5,643554,643501.3636,0%,53
6,643201,643501.3636,0%,-300
7,643365,643501.3636,0%,-136
8,643232,643501.3636,0%,-269
9,643300,643501.3636,0%,-201
10,643750,643501.3636,0%,249
11,643535,643501.3636,0%,34
