"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,474808,372790,78.5%,82891,17.5%,3508,0.7%,8627,1.8%,412,4738,1842,10488,2.2%,5227,758,4503
2,472495,337353,71.4%,99532,21.1%,3395,0.7%,21167,4.5%,567,7923,2558,16186,3.4%,7387,1202,7597
3,478923,217416,45.4%,237118,49.5%,3608,0.8%,9505,2%,475,7499,3302,13578,2.8%,4481,1706,7391
4,474745,277685,58.5%,181072,38.1%,2779,0.6%,6480,1.4%,352,4583,1794,9424,2%,3930,1098,4396
5,498984,375506,75.3%,111752,22.4%,1754,0.4%,5685,1.1%,140,3133,1014,7394,1.5%,3914,586,2894
6,499389,434369,87%,52895,10.6%,2340,0.5%,4596,0.9%,170,3960,1059,8614,1.7%,4763,393,3458
7,485513,405266,83.5%,60987,12.6%,2275,0.5%,11531,2.4%,159,4014,1281,8389,1.7%,4537,363,3489
8,509966,352802,69.2%,67031,13.1%,2620,0.5%,47764,9.4%,563,34322,4864,62729,12.3%,29471,1376,31882
9,509646,484291,95%,14994,2.9%,2077,0.4%,5352,1.1%,132,2220,580,4583,0.9%,2777,133,1673
10,458527,374745,81.7%,32751,7.1%,2181,0.5%,32289,7%,362,14289,1910,27432,6%,13707,538,13187
11,477257,329219,69%,49133,10.3%,2500,0.5%,61118,12.8%,530,30921,3836,58023,12.2%,28094,1135,28794
