"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,478914,353121,73.7%,107251,22.4%,3568,0.7%,8217,1.7%,397,4357,2003,9962,2.1%,4964,865,4133
2,477249,334316,70.1%,103754,21.7%,3693,0.8%,22475,4.7%,634,9474,2903,18700,3.9%,7986,1465,9249
3,477501,218792,45.8%,237720,49.8%,3322,0.7%,7954,1.7%,459,6226,3028,11324,2.4%,3870,1466,5988
4,479964,294576,61.4%,172803,36%,2416,0.5%,5273,1.1%,274,3195,1427,7242,1.5%,3176,953,3113
5,496810,388972,78.3%,95103,19.1%,1982,0.4%,6365,1.3%,141,3126,1121,7321,1.5%,4005,501,2815
6,497133,447981,90.1%,36441,7.3%,2258,0.5%,4875,1%,166,4510,902,9709,2%,5364,325,4020
7,478778,390372,81.5%,66537,13.9%,2335,0.5%,12842,2.7%,186,5095,1411,9836,2.1%,4849,456,4531
8,510636,347150,68%,71169,13.9%,2714,0.5%,46970,9.2%,580,36944,5109,66517,13%,30525,1471,34521
9,510535,484808,95%,15775,3.1%,2091,0.4%,4906,1%,133,2252,570,4628,0.9%,2749,148,1731
10,460319,365426,79.4%,37726,8.2%,2218,0.5%,34777,7.6%,338,17621,2213,33340,7.2%,16353,614,16373
11,472414,335928,71.1%,45877,9.7%,2440,0.5%,59460,12.6%,554,24802,3353,48261,10.2%,24447,1024,22790
