"DISTRICT","VAP","VAPWHITE","VAPBLACK","VAPAMIND","VAPASIAN","VAPHAWPI","VAPOTHER","VAPMULTI","VAPHISP","VAPHISPW","VAPHISPB","VAPHISPO"
1,130287,61315,63065,857,2472,135,1359,1084,3023,1166,526,1331
2,129601,87494,33591,889,3935,177,2524,991,4890,1954,437,2499
3,131279,103336,22382,825,2465,119,1828,324,3267,1367,126,1774
4,138934,105320,30210,1463,886,42,715,298,1539,750,141,648
5,127453,52743,70868,838,1377,119,816,692,1901,750,402,749
6,133647,82379,40145,1261,5352,211,3251,1048,5896,2170,558,3168
7,133023,93631,27287,1008,7705,182,2320,890,4919,2241,405,2273
8,130955,107688,15631,978,3898,163,2023,574,4570,2311,311,1948
9,133028,40622,86609,625,1832,134,2324,882,3397,704,428,2265
10,138125,112924,20163,563,2977,40,1037,421,2090,1131,91,868
11,129679,96993,26208,788,2863,87,2259,481,4085,1747,216,2122
12,130258,109104,17192,593,2543,35,532,259,1459,907,91,461
13,133639,66549,63513,614,1186,99,1233,445,2504,946,353,1205
14,122505,82068,30076,818,7423,120,1389,611,3307,1679,280,1348
15,136459,87819,46790,483,421,44,627,275,1443,633,224,586
16,132809,95837,28559,795,5316,63,1699,540,3063,1433,185,1445
17,128791,104849,18993,1021,1962,87,1447,432,3213,1688,174,1351
18,123577,78383,41798,709,1630,60,586,411,1534,739,220,575
19,134299,93961,38504,433,639,16,516,230,1311,656,163,492
20,139091,117298,19536,520,466,34,1062,175,2534,1375,120,1039
21,137451,113490,20229,641,1792,45,884,370,1508,750,121,637
22,138113,128506,6284,566,2034,47,519,157,1078,718,24,336
23,134058,106515,24494,721,1209,52,687,380,1593,886,115,592
24,136050,124639,6954,536,1715,44,1898,264,4581,2688,163,1730
25,136365,113963,16175,483,4180,50,1123,391,2541,1464,120,957
26,128925,106142,16090,757,2668,127,2696,445,5177,2471,153,2553
27,130698,122659,4711,679,926,44,1510,169,2950,1448,34,1468
28,122694,83227,25976,997,5621,224,5586,1063,10776,4842,446,5488
29,125363,93570,13171,720,9946,129,7077,750,12736,5671,276,6789
30,147794,98243,26408,730,9697,157,10730,1829,18047,7690,478,9879
31,149800,105317,13844,821,14196,149,13964,1509,25425,11865,391,13169
32,137482,103890,5143,527,20797,101,6352,672,12797,7315,169,5313
33,128738,108234,9025,548,7022,100,3297,512,6804,3686,128,2990
34,139730,91791,9807,658,23052,135,12911,1376,23191,10868,327,11996
35,131543,96549,10940,591,18933,115,3597,818,8155,4822,209,3124
36,133556,89312,19840,728,14709,187,7733,1047,14617,6789,376,7452
37,125102,94897,7969,489,15084,88,5802,773,11331,5819,202,5310
38,139701,134150,4109,516,448,27,357,94,866,544,33,289
39,141807,131710,5717,624,2338,41,1100,277,1980,1042,51,887
40,137844,134325,2150,624,399,33,232,81,742,563,21,158
