"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic","HISPW","HISPB","HISPO"
1,173649,76836,44.2%,88430,50.9%,1145,0.7%,3277,1.9%,189,1987,1785,4529,2.6%,1684,867,1978
2,176762,112597,63.7%,51662,29.2%,1210,0.7%,5305,3%,278,3901,1809,7626,4.3%,2941,777,3908
3,175246,135154,77.1%,32024,18.3%,1087,0.6%,3459,2%,166,2807,549,5082,2.9%,2161,217,2704
4,181270,135188,74.6%,41155,22.7%,1976,1.1%,1253,0.7%,62,1154,482,2412,1.3%,1132,228,1052
5,174156,65226,37.5%,103607,59.5%,1089,0.6%,1749,1%,166,1254,1065,2851,1.6%,1029,668,1154
6,172478,101125,58.6%,56633,32.8%,1607,0.9%,6878,4%,277,4261,1697,7968,4.6%,2870,911,4187
7,181828,122231,67.2%,42403,23.3%,1385,0.8%,10423,5.7%,257,3533,1596,7748,4.3%,3404,822,3522
8,177653,143006,80.5%,23479,13.2%,1317,0.7%,5443,3.1%,252,3082,1074,7046,4%,3442,574,3030
9,177422,45988,25.9%,123991,69.9%,773,0.4%,2100,1.2%,158,3109,1303,4671,2.6%,924,722,3025
10,181030,146441,80.9%,27611,15.3%,734,0.4%,4053,2.2%,60,1536,595,2979,1.6%,1545,174,1260
11,178789,130261,72.9%,38931,21.8%,1102,0.6%,4111,2.3%,131,3410,843,6139,3.4%,2567,357,3215
12,175639,146781,83.6%,23117,13.2%,835,0.5%,3545,2%,58,854,449,2188,1.2%,1321,168,699
13,176060,84402,47.9%,86830,49.3%,767,0.4%,1498,0.9%,122,1740,701,3482,2%,1285,524,1673
14,174058,113854,65.4%,44893,25.8%,1155,0.7%,10462,6%,170,2301,1223,5414,3.1%,2637,502,2275
15,176135,110990,63%,62529,35.5%,662,0.4%,577,0.3%,58,917,402,1974,1.1%,842,318,814
16,173440,120618,69.5%,41309,23.8%,1069,0.6%,7055,4.1%,94,2468,827,4332,2.5%,1916,340,2076
17,179228,143652,80.2%,28067,15.7%,1391,0.8%,2818,1.6%,164,2328,808,5063,2.8%,2634,322,2107
18,172641,106287,61.6%,61206,35.5%,974,0.6%,2360,1.4%,91,1027,696,2545,1.5%,1189,385,971
19,175044,118237,67.5%,54088,30.9%,556,0.3%,882,0.5%,23,908,350,2059,1.2%,975,257,827
20,178733,148478,83.1%,26938,15.1%,664,0.4%,676,0.4%,54,1631,292,3658,2%,1918,175,1565
21,176602,141736,80.3%,29511,16.7%,773,0.4%,2534,1.4%,66,1400,582,2221,1.3%,1052,200,969
22,174771,162496,93%,7978,4.6%,760,0.4%,2539,1.5%,57,730,211,1458,0.8%,941,40,477
23,175320,136496,77.9%,34445,19.6%,971,0.6%,1664,0.9%,73,1090,581,2320,1.3%,1259,188,873
24,173974,157963,90.8%,9755,5.6%,688,0.4%,2204,1.3%,54,2929,381,6896,4%,3980,255,2661
25,174908,144018,82.3%,23000,13.1%,630,0.4%,4995,2.9%,59,1651,555,3540,2%,1983,186,1371
26,178822,145299,81.3%,23537,13.2%,1061,0.6%,3876,2.2%,175,4088,786,7821,4.4%,3709,279,3833
27,172630,160719,93.1%,7008,4.1%,906,0.5%,1312,0.8%,76,2304,305,4470,2.6%,2166,62,2242
28,179215,116964,65.3%,41419,23.1%,1475,0.8%,8124,4.5%,314,8913,2006,17178,9.6%,7611,837,8730
29,178934,130913,73.2%,20393,11.4%,1026,0.6%,14274,8%,195,10877,1256,19472,10.9%,8564,455,10453
30,178820,113361,63.4%,35136,19.6%,917,0.5%,12007,6.7%,195,14787,2417,24942,13.9%,10543,683,13716
31,179964,122830,68.3%,17663,9.8%,1050,0.6%,17222,9.6%,196,19003,2000,34361,19.1%,15707,541,18113
32,178112,132485,74.4%,7147,4%,688,0.4%,27708,15.6%,137,8966,981,17624,9.9%,9927,258,7439
33,182251,151951,83.4%,13337,7.3%,750,0.4%,10175,5.6%,143,5013,882,10274,5.6%,5557,220,4497
34,180392,115281,63.9%,13555,7.5%,893,0.5%,30294,16.8%,177,18166,2026,32198,17.8%,14990,471,16737
35,180802,131594,72.8%,15091,8.3%,810,0.4%,26496,14.7%,203,5352,1256,11906,6.6%,6932,293,4681
36,178620,114637,64.2%,29334,16.4%,1000,0.6%,20149,11.3%,281,11508,1711,21640,12.1%,9922,628,11090
37,173384,129456,74.7%,11950,6.9%,725,0.4%,21417,12.4%,127,8495,1214,16207,9.3%,8182,300,7725
38,177883,170596,95.9%,5260,3%,639,0.4%,642,0.4%,37,555,154,1219,0.7%,717,62,440
39,175966,163092,92.7%,7282,4.1%,789,0.4%,2748,1.6%,54,1628,373,2921,1.7%,1518,90,1313
40,175884,170871,97.1%,3126,1.8%,794,0.5%,548,0.3%,44,374,127,1106,0.6%,797,35,274
