"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
2,176762,176963,-0.1%,-201
3,175246,176963,-1%,-1717
4,181270,176963,2.4%,4307
5,174156,176963,-1.6%,-2807
6,172478,176963,-2.5%,-4485
7,181828,176963,2.7%,4865
8,177653,176963,0.4%,690
9,177422,176963,0.3%,459
10,181030,176963,2.3%,4067
11,178789,176963,1%,1826
12,175639,176963,-0.7%,-1324
13,176060,176963,-0.5%,-903
14,174058,176963,-1.6%,-2905
15,176135,176963,-0.5%,-828
16,173440,176963,-2%,-3523
17,179228,176963,1.3%,2265
18,172641,176963,-2.4%,-4322
19,175044,176963,-1.1%,-1919
20,178733,176963,1%,1770
21,176602,176963,-0.2%,-361
22,174771,176963,-1.2%,-2192
23,175320,176963,-0.9%,-1643
24,173974,176963,-1.7%,-2989
25,174908,176963,-1.2%,-2055
26,178822,176963,1.1%,1859
27,172630,176963,-2.4%,-4333
28,179215,176963,1.3%,2252
29,178934,176963,1.1%,1971
30,178820,176963,1%,1857
31,179964,176963,1.7%,3001
32,178112,176963,0.6%,1149
33,182251,176963,3%,5288
34,180392,176963,1.9%,3429
35,180802,176963,2.2%,3839
36,178620,176963,0.9%,1657
37,173384,176963,-2%,-3579
38,177883,176963,0.5%,920
39,175966,176963,-0.6%,-997
40,175884,176963,-0.6%,-1079
