"DISTRICT","TOTALPOP","Targ.","% Dev.","Deviation"
1,643501,643501.3636,0%,0
2,643500,643501.3636,0%,-1
3,643494,643501.3636,0%,-7
4,643486,643501.3636,0%,-15
5,643522,643501.3636,0%,21
6,643499,643501.3636,0%,-2
7,643523,643501.3636,0%,22
8,643503,643501.3636,0%,2
9,643475,643501.3636,0%,-26
10,643503,643501.3636,0%,2
11,643509,643501.3636,0%,8
