"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,475366,367735,77.4%,86199,18.1%,3366,0.7%,9937,2.1%,449,5681,1999,12655,2.7%,6310,874,5471
2,476689,346152,72.6%,92695,19.4%,3740,0.8%,21686,4.5%,605,9150,2661,18221,3.8%,7972,1339,8910
3,475827,185563,39%,267846,56.3%,3341,0.7%,8821,1.9%,466,6352,3438,11670,2.5%,3817,1720,6133
4,474153,316033,66.7%,144766,30.5%,2637,0.6%,5595,1.2%,291,3434,1397,7421,1.6%,3306,845,3270
5,498035,373401,75%,113065,22.7%,1742,0.3%,5769,1.2%,136,2862,1060,6993,1.4%,3794,596,2603
6,503198,436959,86.8%,51358,10.2%,2280,0.5%,7067,1.4%,181,4263,1090,8976,1.8%,4971,405,3600
7,481316,387604,80.5%,72294,15%,2539,0.5%,12168,2.5%,182,5059,1470,9690,2%,4726,444,4520
8,516909,347413,67.2%,66273,12.8%,2654,0.5%,52114,10.1%,527,42562,5366,76076,14.7%,34951,1462,39663
9,506879,480622,94.8%,18569,3.7%,2118,0.4%,2797,0.6%,119,2133,521,4628,0.9%,2739,133,1756
10,461855,377031,81.6%,31154,6.7%,2227,0.5%,32786,7.1%,316,16367,1974,30819,6.7%,15154,521,15144
11,470026,342929,73%,45937,9.8%,2393,0.5%,55374,11.8%,590,19739,3064,39691,8.4%,20548,949,18194
