"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,643501,486193,75.6%,125488,19.5%,4652,0.7%,13884,2.2%,673,8993,3618,19944,3.1%
2,643500,452374,70.3%,137412,21.4%,4964,0.8%,29702,4.6%,866,13390,4792,27416,4.3%
3,643494,225999,35.1%,386724,60.1%,4380,0.7%,11120,1.7%,629,9153,5489,17118,2.7%
4,643486,420704,65.4%,203247,31.6%,3600,0.6%,7859,1.2%,416,5335,2325,11304,1.8%
5,643522,471853,73.3%,155974,24.2%,2284,0.4%,7244,1.1%,182,4410,1575,10011,1.6%
6,643499,550162,85.5%,72848,11.3%,2942,0.5%,9164,1.4%,246,6506,1631,13257,2.1%
7,643523,510461,79.3%,102740,16%,3423,0.5%,16692,2.6%,278,7555,2374,14171,2.2%
8,643503,415348,64.5%,90552,14.1%,3445,0.5%,66626,10.4%,700,59367,7465,105467,16.4%
9,643475,608401,94.5%,24556,3.8%,2705,0.4%,3585,0.6%,156,3294,778,6784,1.1%
10,643503,518830,80.6%,46610,7.2%,3115,0.5%,46668,7.3%,476,24627,3177,45747,7.1%
11,643509,459785,71.4%,68679,10.7%,3333,0.5%,76308,11.9%,871,29407,5126,58321,9.1%
