"stfid","district"
511990502031000,01
511990502031001,01
511990502031002,01
511990502031003,01
511990502031004,01
511990502031005,01
511990502031006,01
511990502031007,01
511990502031008,01
511990502031009,01
511990502031010,01
511990502031011,01
511990502031012,01
511990502031013,01
511990502031014,01
511990502031015,01
511990502031016,01
511990502031017,01
511990502031018,01
511990502031019,01
511990502031020,01
511990502031021,01
511990502031022,01
511990502031023,01
511990502031024,01
511990502031025,01
511990502031026,01
511990502031027,01
511990502031028,01
511990502031029,01
511990502031030,01
511990502031031,01
511990502031032,01
511990502031033,01
511990502031034,01
511990502031035,01
511990502031036,01
511990502031037,01
511990502031038,01
511990502031999,01
511990502041000,01
511990502041001,01
511990502041002,01
511990502041003,01
511990502041004,01
511990502041005,01
511990502041006,01
511990502041007,01
511990502041008,01
511990502041009,01
511990502041010,01
511990502041011,01
511990502042000,01
511990502042001,01
511990502042002,01
511990502042003,01
511990502042004,01
511990502042005,01
511990502042006,01
511990502042007,01
511990502042008,01
511990502042009,01
511990502042010,01
511990502042011,01
511990502042012,01
511990502042013,01
511990502042014,01
511990502042015,01
511990502042016,01
511990502042017,01
511990502042018,01
511990502042019,01
511990502042020,01
511990502042021,01
511990502042022,01
511990502042023,01
511990502042024,01
511990502042025,01
511990502042026,01
511990502042027,01
511990502042028,01
511990502042029,01
511990502042030,01
511990502042031,01
511990502042032,01
511990502042033,01
511990502042034,01
511990502042035,01
511990502042036,01
511990502042037,01
511990502042038,01
511990502042039,01
511990502042040,01
511990502042998,01
511990502042999,01
511990502051000,01
511990502051001,01
511990502051002,01
511990502051003,01
511990502051004,01
511990502051005,01
511990502051006,01
511990502051007,01
511990502051008,01
511990502051009,01
511990502051010,01
511990502051999,01
511990502052014,01
511990502052015,01
511990502052016,01
511990502052017,01
511990502052018,01
511990502052019,01
511990502052020,01
511990502052021,01
511990502052022,01
511990502052023,01
511990502061000,01
511990502061001,01
511990502061002,01
511990502061003,01
511990502061004,01
511990502061005,01
511990502061006,01
511990502061007,01
511990502061008,01
511990502061009,01
511990502061010,01
511990502061011,01
511990502061012,01
511990502061013,01
511990502061014,01
511990502061015,01
511990502061016,01
511990502061017,01
511990502061018,01
511990502061019,01
511990502061020,01
