"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,61742,70785,-12.8%,-9043
2,63856,70785,-9.8%,-6929
3,59676,70785,-15.7%,-11109
4,68470,70785,-3.3%,-2315
5,65026,70785,-8.1%,-5759
6,66451,70785,-6.1%,-4334
7,61971,70785,-12.5%,-8814
8,65573,70785,-7.4%,-5212
9,73107,70785,3.3%,2322
10,65882,70785,-6.9%,-4903
11,65630,70785,-7.3%,-5155
12,68737,70785,-2.9%,-2048
13,93346,70785,31.9%,22561
14,68927,70785,-2.6%,-1858
15,70983,70785,0.3%,198
16,61959,70785,-12.5%,-8826
17,61831,70785,-12.6%,-8954
18,64104,70785,-9.4%,-6681
19,76436,70785,8%,5651
20,60360,70785,-14.7%,-10425
21,67070,70785,-5.2%,-3715
22,68254,70785,-3.6%,-2531
23,60741,70785,-14.2%,-10044
24,71884,70785,1.6%,1099
25,72137,70785,1.9%,1352
26,78532,70785,10.9%,7747
27,70713,70785,-0.1%,-72
28,92446,70785,30.6%,21661
29,79795,70785,12.7%,9010
30,78014,70785,10.2%,7229
31,72819,70785,2.9%,2034
32,126496,70785,78.7%,55711
33,81987,70785,15.8%,11202
34,75006,70785,6%,4221
35,68244,70785,-3.6%,-2541
36,83956,70785,18.6%,13171
37,66183,70785,-6.5%,-4602
38,68433,70785,-3.3%,-2352
39,67421,70785,-4.8%,-3364
40,85006,70785,20.1%,14221
41,63280,70785,-10.6%,-7505
42,65399,70785,-7.6%,-5386
43,82825,70785,17%,12040
44,65226,70785,-7.9%,-5559
45,63856,70785,-9.8%,-6929
46,73341,70785,3.6%,2556
47,68489,70785,-3.2%,-2296
48,70999,70785,0.3%,214
49,66103,70785,-6.6%,-4682
50,77060,70785,8.9%,6275
51,74060,70785,4.6%,3275
52,81772,70785,15.5%,10987
53,72521,70785,2.5%,1736
54,88820,70785,25.5%,18035
55,86320,70785,21.9%,15535
56,83391,70785,17.8%,12606
57,65107,70785,-8%,-5678
58,82837,70785,17%,12052
59,69873,70785,-1.3%,-912
60,64799,70785,-8.5%,-5986
61,67963,70785,-4%,-2822
62,69491,70785,-1.8%,-1294
63,59772,70785,-15.6%,-11013
64,71068,70785,0.4%,283
65,83452,70785,17.9%,12667
66,90343,70785,27.6%,19558
67,90871,70785,28.4%,20086
68,67704,70785,-4.4%,-3081
69,62682,70785,-11.4%,-8103
70,59875,70785,-15.4%,-10910
71,57910,70785,-18.2%,-12875
72,80749,70785,14.1%,9964
73,83880,70785,18.5%,13095
74,66287,70785,-6.4%,-4498
75,65717,70785,-7.2%,-5068
76,74724,70785,5.6%,3939
77,67258,70785,-5%,-3527
78,91663,70785,29.5%,20878
79,71380,70785,0.8%,595
80,51524,70785,-27.2%,-19261
81,63697,70785,-10%,-7088
82,64139,70785,-9.4%,-6646
83,67380,70785,-4.8%,-3405
84,79958,70785,13%,9173
85,64196,70785,-9.3%,-6589
86,45130,70785,-36.2%,-25655
87,49877,70785,-29.5%,-20908
88,57734,70785,-18.4%,-13051
89,55887,70785,-21%,-14898
90,58008,70785,-18.1%,-12777
91,64799,70785,-8.5%,-5986
92,60313,70785,-14.8%,-10472
93,74347,70785,5%,3562
94,64567,70785,-8.8%,-6218
95,61021,70785,-13.8%,-9764
96,78182,70785,10.4%,7397
97,80843,70785,14.2%,10058
98,72329,70785,2.2%,1544
99,68266,70785,-3.6%,-2519
100,68247,70785,-3.6%,-2538
