"DISTRICT","VAP","VAPWHITE","% White","VAPBLACK","% Black","VAPAMIND","% AmInd","VAPASIAN","% Asian","VAPHAWPI","VAPOTHER","VAPMULTI","VAPHISP","% Hisp"
23,46597,31832,68%,13612,29.2%,252,0.5%,475,1%,17,238,171,457,1%
24,55756,48510,87%,6325,11.3%,331,0.6%,233,0.4%,18,242,97,499,0.9%
25,55000,51828,94%,2171,3.9%,214,0.4%,267,0.5%,14,430,76,1213,2.2%
26,63031,57617,91%,2194,3.5%,239,0.4%,1352,2.1%,21,1463,145,3282,5.2%
27,51501,34278,67%,13444,26.1%,339,0.7%,1486,2.9%,32,1656,266,2747,5.3%
28,63277,52915,84%,7267,11.5%,600,0.9%,1284,2%,85,859,267,2048,3.2%
29,59819,55035,92%,2858,4.8%,312,0.5%,629,1.1%,18,854,113,1660,2.8%
30,58643,48812,83%,8636,14.7%,287,0.5%,362,0.6%,12,415,119,955,1.6%
31,53328,47723,89%,4431,8.3%,302,0.6%,397,0.7%,32,346,97,905,1.7%
32,87765,70447,80%,6795,7.7%,383,0.4%,6710,7.6%,82,2912,436,5897,6.7%
33,58621,52361,89%,3045,5.2%,238,0.4%,2181,3.7%,35,627,134,1538,2.6%
34,54431,41002,75%,2604,4.8%,201,0.4%,6901,12.7%,26,3323,374,5889,10.8%
35,51753,41439,80%,1796,3.5%,211,0.4%,6322,12.2%,23,1716,246,3491,6.7%
36,62919,47614,76%,4718,7.5%,239,0.4%,7437,11.8%,41,2487,383,5165,8.2%
37,51505,37580,73%,2951,5.7%,193,0.4%,7941,15.4%,54,2477,309,4898,9.5%
38,53084,34576,65%,3313,6.2%,308,0.6%,7628,14.4%,42,6707,510,11365,21.4%
39,51388,32602,63%,4432,8.6%,232,0.5%,9578,18.6%,61,3935,548,7036,13.7%
40,60524,46995,78%,3591,5.9%,269,0.4%,7629,12.6%,44,1695,301,3608,6%
41,45406,33472,74%,2492,5.5%,191,0.4%,7403,16.3%,54,1523,271,3473,7.6%
42,48139,31586,66%,7227,15%,266,0.6%,6077,12.6%,65,2527,391,4900,10.2%
43,63961,43930,69%,9010,14.1%,326,0.5%,6890,10.8%,94,3188,523,6264,9.8%
44,48073,29994,62%,10557,22%,308,0.6%,3220,6.7%,59,3485,450,6197,12.9%
45,53225,38605,73%,8696,16.3%,272,0.5%,1457,2.7%,39,3866,290,6131,11.5%
46,60828,34946,57%,14026,23.1%,262,0.4%,5456,9%,78,4824,1236,8142,13.4%
