"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
26,78532,71144,90.6%,2984,3.8%,303,0.4%,1681,2.1%,30,2179,211,4875,6.2%
27,70713,44454,62.9%,20702,29.3%,467,0.7%,2157,3.1%,53,2408,472,4011,5.7%
28,92446,75807,82%,11711,12.7%,881,1%,1948,2.1%,137,1433,529,3342,3.6%
29,79795,72704,91.1%,4290,5.4%,412,0.5%,873,1.1%,32,1294,190,2494,3.1%
30,78014,64305,82.4%,11933,15.3%,378,0.5%,504,0.6%,19,677,198,1374,1.8%
31,72819,65018,89.3%,6074,8.3%,422,0.6%,566,0.8%,43,526,170,1358,1.9%
32,126496,100633,79.6%,10303,8.1%,547,0.4%,9702,7.7%,119,4428,764,8919,7.1%
33,81987,72981,89%,4172,5.1%,333,0.4%,3277,4%,45,961,218,2315,2.8%
34,75006,55748,74.3%,3847,5.1%,289,0.4%,9735,13%,38,4786,563,8282,11%
35,68244,54019,79.2%,2498,3.7%,276,0.4%,8610,12.6%,31,2432,378,4740,6.9%
36,83956,61938,73.8%,7092,8.4%,327,0.4%,10231,12.2%,67,3694,607,7443,8.9%
37,66183,47604,71.9%,3789,5.7%,262,0.4%,10427,15.8%,64,3563,474,6902,10.4%
38,68433,43293,63.3%,4580,6.7%,405,0.6%,9983,14.6%,58,9398,716,15827,23.1%
39,67421,41323,61.3%,6415,9.5%,321,0.5%,12789,19%,83,5650,840,9965,14.8%
40,85006,65245,76.8%,5329,6.3%,371,0.4%,10993,12.9%,77,2484,507,5237,6.2%
41,63280,45962,72.6%,3758,5.9%,268,0.4%,10551,16.7%,95,2227,419,5021,7.9%
42,65399,42074,64.3%,9990,15.3%,363,0.6%,8456,12.9%,108,3760,648,7214,11%
43,82825,54430,65.7%,12872,15.5%,457,0.6%,9382,11.3%,128,4738,818,9179,11.1%
44,65226,38742,59.4%,15555,23.8%,430,0.7%,4469,6.9%,83,5236,711,9395,14.4%
45,63856,44395,69.5%,11730,18.4%,333,0.5%,1739,2.7%,51,5196,412,8304,13%
46,73341,39744,54.2%,18403,25.1%,324,0.4%,6572,9%,96,6615,1587,11188,15.3%
47,68489,43737,63.9%,6202,9.1%,423,0.6%,7686,11.2%,85,9367,989,17822,26%
48,70999,56012,78.9%,3844,5.4%,378,0.5%,6227,8.8%,48,4029,461,7543,10.6%
49,66103,40078,60.6%,9302,14.1%,393,0.6%,6628,10%,85,8741,876,15296,23.1%
50,77060,56826,73.7%,9189,11.9%,555,0.7%,2869,3.7%,79,7066,476,11125,14.4%
51,74060,44516,60.1%,19450,26.3%,557,0.8%,4523,6.1%,176,3903,935,7344,9.9%
52,81772,49957,61.1%,21276,26%,680,0.8%,3688,4.5%,135,5035,1001,9577,11.7%
53,72521,49719,68.6%,3602,5%,285,0.4%,14156,19.5%,83,4234,442,8574,11.8%
54,88820,71581,80.6%,12918,14.5%,571,0.6%,1662,1.9%,73,1599,416,3219,3.6%
55,86320,76242,88.3%,8212,9.5%,478,0.6%,810,0.9%,11,396,171,847,1%
56,83391,65254,78.3%,16532,19.8%,528,0.6%,492,0.6%,37,300,248,823,1%
57,65107,47635,73.2%,12275,18.9%,199,0.3%,3788,5.8%,29,841,340,1752,2.7%
58,82837,73440,88.7%,6929,8.4%,338,0.4%,1239,1.5%,21,706,164,1664,2%
59,69873,47992,68.7%,20721,29.7%,305,0.4%,273,0.4%,37,329,216,816,1.2%
60,64799,41634,64.3%,22301,34.4%,208,0.3%,154,0.2%,6,335,161,820,1.3%
61,67963,40263,59.2%,26616,39.2%,251,0.4%,221,0.3%,18,443,151,866,1.3%
62,69491,46107,66.3%,21494,30.9%,396,0.6%,528,0.8%,54,666,246,1351,1.9%
63,59772,20968,35.1%,37444,62.6%,235,0.4%,406,0.7%,27,421,271,816,1.4%
64,71068,46432,65.3%,21521,30.3%,503,0.7%,788,1.1%,84,1332,408,2466,3.5%
65,83452,71429,85.6%,8637,10.3%,360,0.4%,2092,2.5%,28,672,234,1430,1.7%
66,90343,75528,83.6%,10915,12.1%,529,0.6%,2121,2.3%,68,919,263,1912,2.1%
67,90871,67606,74.4%,5760,6.3%,400,0.4%,13772,15.2%,77,2730,526,6162,6.8%
68,67704,53483,79%,9558,14.1%,376,0.6%,2615,3.9%,49,1151,472,2098,3.1%
69,62682,16183,25.8%,42465,67.7%,249,0.4%,796,1.3%,109,2261,619,3148,5%
70,59875,18156,30.3%,40180,67.1%,301,0.5%,326,0.5%,19,560,333,916,1.5%
71,57910,22362,38.6%,33194,57.3%,250,0.4%,1278,2.2%,36,430,360,793,1.4%
72,80749,72331,89.6%,3959,4.9%,221,0.3%,3389,4.2%,31,604,214,1448,1.8%
73,83880,69242,82.5%,8234,9.8%,360,0.4%,4627,5.5%,44,1141,232,1990,2.4%
74,66287,18521,27.9%,45476,68.6%,919,1.4%,471,0.7%,14,491,395,885,1.3%
75,65717,26452,40.3%,38453,58.5%,152,0.2%,212,0.3%,25,288,135,666,1%
76,74724,53608,71.7%,19079,25.5%,472,0.6%,840,1.1%,36,448,241,1130,1.5%
77,67258,26328,39.1%,39060,58.1%,351,0.5%,747,1.1%,38,388,346,926,1.4%
78,91663,71840,78.4%,15330,16.7%,626,0.7%,2530,2.8%,71,871,395,2164,2.4%
79,71380,41667,58.4%,26574,37.2%,552,0.8%,1306,1.8%,90,715,476,1570,2.2%
80,51524,17326,33.6%,32917,63.9%,367,0.7%,316,0.6%,44,283,271,678,1.3%
81,63697,49199,77.2%,10265,16.1%,627,1%,1631,2.6%,112,1361,502,2988,4.7%
82,64139,57841,90.2%,3595,5.6%,328,0.5%,1396,2.2%,82,714,183,1806,2.8%
83,67380,43348,64.3%,18740,27.8%,467,0.7%,2815,4.2%,84,1278,648,2771,4.1%
84,79958,53575,67%,17598,22%,629,0.8%,5476,6.8%,114,1791,775,4029,5%
85,64196,46575,72.6%,10065,15.7%,413,0.6%,5748,9%,79,909,407,2064,3.2%
86,45130,27798,61.6%,12416,27.5%,577,1.3%,1803,4%,85,1981,470,3451,7.6%
87,49877,32908,66%,12472,25%,511,1%,2152,4.3%,86,1178,570,2343,4.7%
88,57734,36574,63.3%,17289,29.9%,432,0.7%,1946,3.4%,77,942,474,1773,3.1%
89,55887,15779,28.2%,37541,67.2%,301,0.5%,1265,2.3%,56,508,437,1182,2.1%
90,58008,19697,34%,35712,61.6%,274,0.5%,1129,1.9%,45,694,457,1430,2.5%
91,64799,45393,70.1%,15884,24.5%,500,0.8%,1455,2.2%,83,967,517,2077,3.2%
92,60313,16382,27.2%,41108,68.2%,401,0.7%,1026,1.7%,65,628,703,1400,2.3%
93,74347,44994,60.5%,23303,31.3%,524,0.7%,2701,3.6%,142,1833,850,3725,5%
94,64567,42090,65.2%,18037,27.9%,438,0.7%,1942,3%,81,1339,640,2484,3.8%
95,61021,20986,34.4%,37558,61.5%,327,0.5%,950,1.6%,46,494,660,1270,2.1%
96,78182,60322,77.2%,13793,17.6%,797,1%,2098,2.7%,79,723,370,1693,2.2%
97,80843,66153,81.8%,11616,14.4%,623,0.8%,1566,1.9%,57,549,279,1392,1.7%
98,72329,55675,77%,14788,20.4%,540,0.7%,697,1%,41,371,217,877,1.2%
99,68266,47649,69.8%,19052,27.9%,374,0.5%,403,0.6%,36,589,163,1260,1.8%
100,68247,45776,67.1%,19843,29.1%,365,0.5%,226,0.3%,44,1845,148,2734,4%
"Unassigned",0,0,,0,,0,,0,,0,0,0,0,
