"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,61742,60472,97.9%,644,1%,328,0.5%,129,0.2%,11,114,44,307,0.5%
2,63856,62274,97.5%,983,1.5%,212,0.3%,181,0.3%,13,153,40,391,0.6%
3,59676,57687,96.7%,1459,2.4%,172,0.3%,196,0.3%,9,135,18,380,0.6%
4,68470,65926,96.3%,1756,2.6%,305,0.4%,257,0.4%,25,145,56,491,0.7%
5,65026,61519,94.6%,2631,4%,286,0.4%,266,0.4%,5,227,92,517,0.8%
6,66451,63267,95.2%,1959,2.9%,280,0.4%,213,0.3%,12,688,32,1296,2%
7,61971,57253,92.4%,3530,5.7%,281,0.5%,439,0.7%,21,324,123,593,1%
8,65573,61940,94.5%,2236,3.4%,230,0.4%,768,1.2%,25,289,85,612,0.9%
9,73107,63630,87%,8430,11.5%,284,0.4%,246,0.3%,18,375,124,897,1.2%
10,65882,55490,84.2%,9273,14.1%,241,0.4%,160,0.2%,15,600,103,1217,1.8%
11,65630,48081,73.3%,15927,24.3%,194,0.3%,316,0.5%,28,973,111,2216,3.4%
12,68737,60961,88.7%,2899,4.2%,272,0.4%,3558,5.2%,39,742,266,1168,1.7%
13,93346,75081,80.4%,10627,11.4%,480,0.5%,3375,3.6%,116,3088,579,6152,6.6%
14,68927,65987,95.7%,1812,2.6%,264,0.4%,522,0.8%,9,268,65,473,0.7%
15,70983,67919,95.7%,1620,2.3%,340,0.5%,309,0.4%,32,696,67,1421,2%
16,61959,44389,71.6%,15586,25.2%,271,0.4%,931,1.5%,35,511,236,882,1.4%
17,61831,47617,77%,11914,19.3%,329,0.5%,1019,1.6%,15,665,272,899,1.5%
18,64104,59251,92.4%,3864,6%,287,0.4%,366,0.6%,23,229,84,487,0.8%
19,76436,69149,90.5%,6119,8%,411,0.5%,440,0.6%,25,192,100,557,0.7%
20,60360,35575,58.9%,23766,39.4%,182,0.3%,353,0.6%,14,341,129,746,1.2%
21,67070,41655,62.1%,16769,25%,472,0.7%,6108,9.1%,104,1318,644,3067,4.6%
22,68254,55449,81.2%,11225,16.4%,297,0.4%,728,1.1%,18,375,162,723,1.1%
23,60741,39436,64.9%,19675,32.4%,323,0.5%,605,1%,23,401,278,674,1.1%
24,71884,61988,86.2%,8572,11.9%,429,0.6%,344,0.5%,23,374,154,690,1%
25,72137,67382,93.4%,3233,4.5%,288,0.4%,377,0.5%,17,740,100,1913,2.7%
