County and City populations,,,,
according to Census 2010,,,,
"State population: 8,001,024",,,,
,,,,
,Population,,,Population
Accomack County,"33,164",,Patrick County,"18,490"
Albemarle County,"98,970",,Pittsylvania County,"63,506"
Alleghany County,"16,250",,Powhatan County,"28,046"
Amelia County,"12,690",,Prince Edward County,"23,368"
Amherst County,"32,353",,Prince George County,"35,725"
Appomattox County,"14,973",,Prince William County,"402,002"
Arlington County,"207,627",,Pulaski County,"34,872"
Augusta County,"73,750",,Rappahannock County,"7,373"
Bath County,"4,731",,Richmond County,"9,254"
Bedford County,"68,676",,Roanoke County,"92,376"
Bland County,"6,824",,Rockbridge County,"22,307"
Botetourt County,"33,148",,Rockingham County,"76,314"
Brunswick County,"17,434",,Russell County,"28,897"
Buchanan County,"24,098",,Scott County,"23,177"
Buckingham County,"17,146",,Shenandoah County,"41,993"
Campbell County,"54,842",,Smyth County,"32,208"
Caroline County,"28,545",,Southampton County,"18,570"
Carroll County,"30,042",,Spotsylvania County,"122,397"
Charles City County,"7,256",,Stafford County,"128,961"
Charlotte County,"12,586",,Surry County,"7,058"
Chesterfield County,"316,236",,Sussex County,"12,087"
Clarke County,"14,034",,Tazewell County,"45,078"
Craig County,"5,190",,Warren County,"37,575"
Culpeper County,"46,689",,Washington County,"54,876"
Cumberland County,"10,052",,Westmoreland County,"17,454"
Dickenson County,"15,903",,Wise County,"41,452"
Dinwiddie County,"28,001",,Wythe County,"29,235"
Essex County,"11,151",,York County,"65,464"
Fairfax County,"1,081,726",,Alexandria city,"139,966"
Fauquier County,"65,203",,Bedford city,"6,222"
Floyd County,"15,279",,Bristol city,"17,835"
Fluvanna County,"25,691",,Buena Vista city,"6,650"
Franklin County,"56,159",,Charlottesville city,"43,475"
Frederick County,"78,305",,Chesapeake city,"222,209"
Giles County,"17,286",,Colonial Heights city,"17,411"
Gloucester County,"36,858",,Covington city,"5,961"
Goochland County,"21,717",,Danville city,"43,055"
Grayson County,"15,533",,Emporia city,"5,927"
Greene County,"18,403",,Fairfax city,"22,565"
Greensville County,"12,243",,Falls Church city,"12,332"
Halifax County,"36,241",,Franklin city,"8,582"
Hanover County,"99,863",,Fredericksburg city,"24,286"
Henrico County,"306,935",,Galax city,"7,042"
Henry County,"54,151",,Hampton city,"137,436"
Highland County,"2,321",,Harrisonburg city,"48,914"
Isle of Wight County,"35,270",,Hopewell city,"22,591"
James City County,"67,009",,Lexington city,"7,042"
King and Queen County,"6,945",,Lynchburg city,"75,568"
King George County,"23,584",,Manassas city,"37,821"
King William County,"15,935",,Manassas Park city,"14,273"
Lancaster County,"11,391",,Martinsville city,"13,821"
Lee County,"25,587",,Newport News city,"180,719"
Loudoun County,"312,311",,Norfolk city,"242,803"
Louisa County,"33,153",,Norton city,"3,958"
Lunenburg County,"12,914",,Petersburg city,"32,420"
Madison County,"13,308",,Poquoson city,"12,150"
Mathews County,"8,978",,Portsmouth city,"95,535"
Mecklenburg County,"32,727",,Radford city,"16,408"
Middlesex County,"10,959",,Richmond city,"204,214"
Montgomery County,"94,392",,Roanoke city,"97,032"
Nelson County,"15,020",,Salem city,"24,802"
New Kent County,"18,429",,Staunton city,"23,746"
Northampton County,"12,389",,Suffolk city,"84,585"
Northumberland County,"12,330",,Virginia Beach city,"437,994"
Nottoway County,"15,853",,Waynesboro city,"21,006"
Orange County,"33,481",,Williamsburg city,"14,068"
Page County,"24,042",,Winchester city,"26,203"
,,,,
