"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,69380,70785,-2%,-1405
2,69513,70785,-1.8%,-1272
3,69754,70785,-1.5%,-1031
4,70007,70785,-1.1%,-778
5,71947,70785,1.6%,1162
6,70379,70785,-0.6%,-406
7,71411,70785,0.9%,626
8,70024,70785,-1.1%,-761
9,71196,70785,0.6%,411
10,72191,70785,2%,1406
11,71296,70785,0.7%,511
12,71248,70785,0.7%,463
13,69993,70785,-1.1%,-792
14,71021,70785,0.3%,236
15,69858,70785,-1.3%,-927
16,70269,70785,-0.7%,-516
17,70453,70785,-0.5%,-332
18,70610,70785,-0.2%,-175
19,71706,70785,1.3%,921
20,71422,70785,0.9%,637
21,71694,70785,1.3%,909
22,70201,70785,-0.8%,-584
23,69518,70785,-1.8%,-1267
24,70385,70785,-0.6%,-400
25,71444,70785,0.9%,659
26,70945,70785,0.2%,160
27,70576,70785,-0.3%,-209
28,70096,70785,-1%,-689
29,69941,70785,-1.2%,-844
30,69516,70785,-1.8%,-1269
31,70506,70785,-0.4%,-279
32,71810,70785,1.4%,1025
33,70956,70785,0.2%,171
34,69893,70785,-1.3%,-892
35,70857,70785,0.1%,72
36,70596,70785,-0.3%,-189
37,72012,70785,1.7%,1227
38,71169,70785,0.5%,384
39,70551,70785,-0.3%,-234
40,71273,70785,0.7%,488
41,71560,70785,1.1%,775
42,71971,70785,1.7%,1186
43,70219,70785,-0.8%,-566
44,69626,70785,-1.6%,-1159
45,72129,70785,1.9%,1344
46,70944,70785,0.2%,159
47,69377,70785,-2%,-1408
48,71802,70785,1.4%,1017
49,70155,70785,-0.9%,-630
50,71915,70785,1.6%,1130
51,69411,70785,-1.9%,-1374
52,71116,70785,0.5%,331
53,72115,70785,1.9%,1330
54,71727,70785,1.3%,942
55,69958,70785,-1.2%,-827
56,70103,70785,-1%,-682
57,70275,70785,-0.7%,-510
58,71347,70785,0.8%,562
59,69629,70785,-1.6%,-1156
60,70245,70785,-0.8%,-540
61,70122,70785,-0.9%,-663
62,71632,70785,1.2%,847
63,69833,70785,-1.3%,-952
64,71584,70785,1.1%,799
65,70062,70785,-1%,-723
66,70100,70785,-1%,-685
67,69535,70785,-1.8%,-1250
68,70442,70785,-0.5%,-343
69,69569,70785,-1.7%,-1216
70,70274,70785,-0.7%,-511
71,69540,70785,-1.8%,-1245
72,70775,70785,0%,-10
73,71553,70785,1.1%,768
74,70617,70785,-0.2%,-168
75,69515,70785,-1.8%,-1270
76,71549,70785,1.1%,764
77,70087,70785,-1%,-698
78,70798,70785,0%,13
79,72106,70785,1.9%,1321
80,70554,70785,-0.3%,-231
81,72077,70785,1.8%,1292
82,71737,70785,1.3%,952
83,71766,70785,1.4%,981
84,72047,70785,1.8%,1262
85,72039,70785,1.8%,1254
86,71069,70785,0.4%,284
87,72174,70785,2%,1389
88,70544,70785,-0.3%,-241
89,71874,70785,1.5%,1089
90,71872,70785,1.5%,1087
91,71410,70785,0.9%,625
92,70106,70785,-1%,-679
93,69465,70785,-1.9%,-1320
94,71484,70785,1%,699
95,70646,70785,-0.2%,-139
96,69533,70785,-1.8%,-1252
97,70393,70785,-0.6%,-392
98,70844,70785,0.1%,59
99,71837,70785,1.5%,1052
100,72110,70785,1.9%,1325
