"County","Precinct
Number","Precinct Name","Voting
Age Pop.","VAP
White","VAP
Black","VAP
AIAN","VAP
Asian","VAP
HawPI","VAP
Other","VAP
Multi","VAP
HispWh","VAP
HispBl","VAP
HispOt","Total VAP Hispanic"
"Accomack","001101","Chincoteague",2487,2382,19,48,22,0,7,9,25,0,6,31
"Accomack","001201","Atlantic",1187,975,171,17,9,1,13,1,16,2,12,30
"Accomack","001202","Greenbackville",1082,1001,59,7,10,3,1,1,13,0,3,16
"Accomack","001203","Hallwood",663,507,125,6,2,0,23,0,15,0,22,37
"Accomack","001204","Saxis",437,416,11,3,1,0,6,0,3,0,6,9
"Accomack","001205","Tangier",592,585,5,0,2,0,0,0,1,0,0,1
"Accomack","001301","New Church",1428,617,753,16,16,2,20,4,9,3,20,32
"Accomack","001302","Oak Hall",1326,686,587,23,5,5,15,5,13,2,15,30
"Accomack","001401","Bloxom",1036,802,163,8,5,2,54,2,28,0,50,78
"Accomack","001402","Parksley",1730,1203,398,14,13,8,93,1,76,0,93,169
"Accomack","001501","Mappsville",1504,721,586,4,10,6,171,6,113,7,173,293
"Accomack","001502","Rue",1590,572,847,13,9,1,146,2,163,0,158,321
"Accomack","001601","Accomac",2716,1744,783,21,11,3,150,4,213,9,153,375
"Accomack","001701","Onancock",2149,1704,388,11,18,1,17,10,28,3,18,49
"Accomack","001702","Onley",620,482,97,3,8,0,27,3,8,0,28,36
"Accomack","001801","Bobtown",510,475,30,1,2,0,2,0,4,0,2,6
"Accomack","001802","Keller",433,265,148,12,0,3,5,0,1,0,6,7
"Accomack","001803","Melfa",1196,636,518,12,6,0,19,5,23,0,22,45
"Accomack","001804","Quinby",351,327,17,3,1,0,1,2,8,0,2,10
"Accomack","001805","Wachapreague",452,319,128,1,0,0,3,1,6,0,3,9
"Accomack","001901","Painter",2750,1351,1302,11,9,0,72,5,77,5,74,156
"Albemarle","003101","Woodbrook",2615,2067,329,30,130,7,39,13,43,4,50,97
"Albemarle","003103","Branchlands",1903,1346,245,22,106,1,163,20,103,11,178,292
"Albemarle","003104","Agnor-Hurt",3272,2155,657,35,185,4,220,16,191,11,226,428
"Albemarle","003105","Dunlora",2134,1830,174,7,104,0,9,10,30,4,8,42
"Albemarle","003106","Northside",2334,2064,106,13,113,1,27,10,34,1,25,60
"Albemarle","003201","Jack Jouett",2449,1956,275,19,75,1,118,5,41,4,126,171
"Albemarle","003202","University Hall",5067,3441,366,19,1136,4,55,46,180,15,68,263
"Albemarle","003203","Georgetown",3793,2354,1011,32,194,4,169,29,183,7,193,383
"Albemarle","003204","Belfield",1133,1076,23,0,27,0,6,1,11,0,7,18
"Albemarle","003301","Ivy",3368,3146,104,5,105,1,4,3,44,4,3,51
"Albemarle","003302","Red Hill",3115,2742,262,15,25,0,66,5,68,2,65,135
"Albemarle","003304","East Ivy",3324,2437,260,11,558,3,34,21,108,10,44,162
"Albemarle","003305","Country Green",2199,1886,140,12,132,2,21,6,49,0,23,72
"Albemarle","003401","Scottsville",1902,1757,113,9,12,2,7,2,18,1,8,27
"Albemarle","003402","Monticello",1949,1756,149,6,16,4,14,4,18,0,10,28
"Albemarle","003403","Porter's",1826,1275,496,13,4,6,26,6,17,0,31,48
"Albemarle","003405","Cale",6565,4710,1027,34,342,6,437,9,271,12,446,729
"Albemarle","003406","Stone Robinson",2800,2499,210,16,31,0,37,7,32,0,33,65
"Albemarle","003501","Keswick",1589,1287,266,11,5,1,11,8,23,1,11,35
"Albemarle","003502","Stony Point",1621,1498,91,8,17,0,7,0,22,0,4,26
"Albemarle","003503","Hollymead",4663,3976,255,18,355,1,45,13,56,7,39,102
"Albemarle","003504","Free Bridge",3673,3148,318,16,135,3,48,5,75,2,42,119
"Albemarle","003505","Burnley",1544,1216,239,6,38,0,33,12,35,4,29,68
"Albemarle","003601","Crozet",4169,3841,169,12,97,1,42,7,66,3,43,112
"Albemarle","003602","Free Union",1638,1561,34,13,17,2,10,1,13,0,5,18
"Albemarle","003603","Earlysville",3015,2829,93,20,53,0,14,6,31,0,15,46
"Albemarle","003604","Brownsville",3309,2974,219,7,79,0,26,4,55,5,22,82
"Albemarle","003605","Yellow Mountain",716,684,15,2,5,0,6,4,8,1,5,14
"Alleghany","005101","Arritt",1362,1355,2,4,0,1,0,0,0,0,0,0
"Alleghany","005103","Dameron",506,498,2,4,0,0,2,0,0,0,2,2
"Alleghany","005201","Humpback Bridge",834,795,37,0,1,0,1,0,6,0,1,7
"Alleghany","005202","Dolly Ann",1011,935,61,5,5,0,4,1,12,0,4,16
"Alleghany","005301","Callaghan",651,642,1,7,1,0,0,0,2,0,0,2
"Alleghany","005302","Griffith",1313,1277,16,8,5,0,7,0,11,0,4,15
"Alleghany","005401","Low Moor",1024,964,36,8,6,0,7,3,3,0,6,9
"Alleghany","005402","Jackson Heights",837,808,23,5,0,0,1,0,5,0,1,6
"Alleghany","005501","Iron Gate",456,431,24,0,0,0,1,0,1,0,1,2
"Alleghany","005502","Peters Switch",1290,1265,17,3,1,4,0,0,5,0,0,5
"Alleghany","005601","District 1",1825,1656,136,11,8,4,6,4,20,1,7,28
"Alleghany","005701","District 2",1691,1406,254,13,2,2,6,8,3,6,9,18
"Amelia","007101","Number One",1995,1427,503,21,4,0,33,7,11,1,36,48
"Amelia","007201","Number Two",2023,1571,406,14,5,0,20,7,20,0,23,43
"Amelia","007301","Number Three",1835,1412,371,17,3,1,28,3,9,0,33,42
"Amelia","007401","Number Four",2142,1640,450,18,5,0,25,4,14,1,25,40
"Amelia","007501","Number Five",1873,1244,596,15,4,0,6,8,10,4,6,20
"Amherst","009101","Wright Shop",1754,940,752,30,11,0,9,12,8,6,9,23
"Amherst","009102","New Glasgow",2230,1740,426,31,7,0,15,11,16,1,17,34
"Amherst","009103","Coolwell",920,790,105,13,5,0,4,3,10,0,1,11
"Amherst","009201","Courthouse",3913,3067,736,28,40,0,28,14,53,7,24,84
"Amherst","009202","Temperance",1368,1155,178,14,5,0,14,2,28,0,14,42
"Amherst","009301","Monroe",1604,1085,434,43,8,0,20,14,7,16,21,44
"Amherst","009302","Elon",2830,2508,249,47,7,2,12,5,19,0,12,31
"Amherst","009303","Pleasant View",796,652,131,4,1,0,7,1,2,0,6,8
"Amherst","009401","Amelon",3712,2952,663,42,30,1,13,11,23,3,12,38
"Amherst","009402","Lonco",1377,1035,298,21,7,0,11,5,26,0,10,36
