"County","Precinct
Number","Precinct Name","Total 
Population","White","Black","AIAN","Asian","HawPI","Other","Multi","Hisp.
White","Hisp.
Black","Hisp.
Other","Total
Hispanic"
"Accomack","001101","Chincoteague",2941,2804,35,56,28,0,8,10,40,2,7,49
"Accomack","001201","Atlantic",1462,1183,218,19,15,1,21,5,28,2,20,50
"Accomack","001202","Greenbackville",1284,1174,75,13,12,7,2,1,20,2,4,26
"Accomack","001203","Hallwood",819,615,164,8,2,0,30,0,20,0,28,48
"Accomack","001204","Saxis",529,483,31,3,1,0,11,0,5,1,11,17
"Accomack","001205","Tangier",727,714,9,1,3,0,0,0,1,0,1,2
"Accomack","001301","New Church",1859,763,1012,17,21,3,31,12,15,3,33,51
"Accomack","001302","Oak Hall",1689,846,767,27,7,6,29,7,20,5,29,54
"Accomack","001401","Bloxom",1404,1045,250,8,7,2,89,3,53,0,80,133
"Accomack","001402","Parksley",2256,1500,527,25,23,10,169,2,116,3,172,291
"Accomack","001501","Mappsville",2033,954,758,5,16,10,279,11,210,9,273,492
"Accomack","001502","Rue",2056,727,1069,19,13,1,225,2,253,0,246,499
"Accomack","001601","Accomac",3522,2202,1017,28,13,7,247,8,360,14,253,627
"Accomack","001701","Onancock",2565,1958,521,21,23,1,27,14,42,4,29,75
"Accomack","001702","Onley",765,580,127,7,9,0,38,4,14,0,39,53
"Accomack","001801","Bobtown",589,542,38,1,4,0,4,0,5,0,4,9
"Accomack","001802","Keller",582,351,206,13,0,4,6,2,1,0,8,9
"Accomack","001803","Melfa",1569,809,701,12,11,0,30,6,45,1,33,79
"Accomack","001804","Quinby",410,375,26,3,1,0,2,3,12,0,4,16
"Accomack","001805","Wachapreague",539,364,168,3,0,0,3,1,10,0,3,13
"Accomack","001901","Painter",3564,1673,1742,16,12,0,112,9,126,11,120,257
"Albemarle","003101","Woodbrook",3596,2743,524,38,191,10,66,24,67,11,82,160
"Albemarle","003103","Branchlands",2221,1486,325,30,135,2,215,28,132,16,237,385
"Albemarle","003104","Agnor-Hurt",4134,2525,965,44,232,5,340,23,284,20,350,654
"Albemarle","003105","Dunlora",2697,2277,250,7,136,0,13,14,46,7,12,65
"Albemarle","003106","Northside",3034,2612,155,20,181,1,50,15,49,1,47,97
"Albemarle","003201","Jack Jouett",3182,2445,424,28,111,1,166,7,58,8,182,248
"Albemarle","003202","University Hall",5260,3520,396,19,1212,4,63,46,192,15,75,282
"Albemarle","003203","Georgetown",4751,2713,1424,48,255,8,250,53,253,8,292,553
"Albemarle","003204","Belfield",1370,1289,29,0,40,0,9,3,15,0,9,24
"Albemarle","003301","Ivy",4625,4290,147,7,163,1,11,6,65,10,9,84
"Albemarle","003302","Red Hill",4010,3515,343,16,38,0,88,10,97,3,92,192
"Albemarle","003304","East Ivy",3589,2643,272,12,599,3,36,24,109,10,46,165
"Albemarle","003305","Country Green",2912,2475,202,12,182,2,27,12,80,0,26,106
"Albemarle","003401","Scottsville",2432,2240,142,12,18,2,16,2,33,1,17,51
"Albemarle","003402","Monticello",2469,2196,206,8,21,5,21,12,26,3,17,46
"Albemarle","003403","Porter's",2396,1631,672,16,8,12,45,12,26,1,54,81
"Albemarle","003405","Cale",8105,5725,1221,51,428,8,660,12,429,14,677,1120
"Albemarle","003406","Stone Robinson",3616,3181,295,20,56,0,53,11,45,0,49,94
"Albemarle","003501","Keswick",1962,1586,323,13,9,1,16,14,36,5,18,59
"Albemarle","003502","Stony Point",2108,1947,112,11,22,1,13,2,30,2,10,42
"Albemarle","003503","Hollymead",6682,5622,373,27,551,1,79,29,91,7,75,173
"Albemarle","003504","Free Bridge",4555,3773,483,21,189,7,73,9,109,3,64,176
"Albemarle","003505","Burnley",2118,1625,356,18,54,0,47,18,50,6,48,104
"Albemarle","003601","Crozet",5505,5016,232,16,174,2,57,8,93,8,54,155
"Albemarle","003602","Free Union",2064,1949,44,21,27,2,20,1,23,0,12,35
"Albemarle","003603","Earlysville",3984,3685,132,31,97,0,25,14,49,1,31,81
"Albemarle","003604","Brownsville",4642,4119,316,8,143,0,47,9,106,9,44,159
"Albemarle","003605","Yellow Mountain",951,910,16,4,6,0,10,5,15,1,10,26
"Alleghany","005101","Arritt",1718,1707,3,5,1,1,1,0,2,0,1,3
"Alleghany","005103","Dameron",628,617,5,4,0,0,2,0,1,0,2,3
"Alleghany","005201","Humpback Bridge",1049,982,63,0,2,0,2,0,14,0,1,15
"Alleghany","005202","Dolly Ann",1300,1182,94,5,7,0,11,1,16,0,7,23
"Alleghany","005301","Callaghan",849,836,5,7,1,0,0,0,3,0,0,3
"Alleghany","005302","Griffith",1640,1592,19,9,8,0,12,0,14,0,8,22
"Alleghany","005401","Low Moor",1298,1216,53,10,8,1,7,3,3,0,8,11
"Alleghany","005402","Jackson Heights",1087,1044,35,5,0,0,3,0,10,0,3,13
"Alleghany","005501","Iron Gate",589,548,36,0,4,0,1,0,3,0,1,4
"Alleghany","005502","Peters Switch",1623,1582,29,6,2,4,0,0,5,0,0,5
"Alleghany","005601","District 1",2291,2040,208,12,13,5,8,5,27,4,10,41
"Alleghany","005701","District 2",2178,1799,335,18,4,2,11,9,7,11,15,33
"Amelia","007101","Number One",2601,1861,648,27,6,0,50,9,16,1,56,73
"Amelia","007201","Number Two",2666,2069,531,20,10,0,25,11,29,0,27,56
"Amelia","007301","Number Three",2338,1765,488,23,6,4,48,4,13,1,55,69
"Amelia","007401","Number Four",2743,2078,588,24,10,0,37,6,26,1,35,62
"Amelia","007501","Number Five",2342,1559,734,20,8,0,10,11,15,5,10,30
"Amherst","009101","Wright Shop",2273,1196,973,42,22,0,22,18,13,8,19,40
"Amherst","009102","New Glasgow",2938,2289,557,38,9,1,32,12,28,1,34,63
"Amherst","009103","Coolwell",1192,1007,155,17,6,0,4,3,16,1,1,18
"Amherst","009201","Courthouse",4730,3645,949,35,44,0,38,19,61,8,30,99
"Amherst","009202","Temperance",1735,1459,218,25,6,0,25,2,40,1,25,66
"Amherst","009301","Monroe",1973,1377,493,50,10,0,24,19,10,16,25,51
"Amherst","009302","Elon",3598,3176,323,57,11,3,20,8,38,5,17,60
"Amherst","009303","Pleasant View",1020,846,159,4,1,0,9,1,6,0,8,14
"Amherst","009401","Amelon",4795,3725,930,56,40,1,28,15,36,4,23,63
"Amherst","009402","Lonco",1865,1394,387,36,18,0,21,9,35,0,16,51
"Amherst","009501","Madison",6234,4715,1299,88,45,7,44,36,55,5,40,100
"Appomattox","011101","Vera",925,815,96,8,2,0,0,4,7,3,0,10
"Appomattox","011102","Pamplin",1913,1452,433,10,10,0,5,3,19,0,2,21
"Appomattox","011201","Chap",1171,764,390,6,1,1,7,2,13,0,3,16
"Appomattox","011202","Spout Spring",1805,1541,237,9,2,1,12,3,11,1,9,21
"Appomattox","011301","460",1804,1468,303,4,18,0,8,3,3,0,3,6
"Appomattox","011302","Stonewall",1649,1298,325,8,2,1,10,5,4,4,8,16
"Appomattox","011401","Courthouse",2814,2083,697,15,10,0,7,2,27,3,6,36
"Appomattox","011501","Oakville",2011,1543,442,5,4,1,6,10,12,0,7,19
"Appomattox","011502","Agee",881,633,234,3,2,0,3,6,18,2,2,22
"Arlington","013001","Arlington",5790,2251,1244,42,911,3,1238,101,811,62,1289,2162
