"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,71112,70785,0.46%,327
2,69577,70785,-1.7%,-1208
3,70094,70785,-1%,-691
4,69570,70785,-1.7%,-1215
5,71360,70785,0.81%,575
6,70379,70785,-0.6%,-406
7,71411,70785,0.88%,626
8,70024,70785,-1.1%,-761
9,71196,70785,0.58%,411
10,71079,70785,0.42%,294
11,70711,70785,-0.1%,-74
12,71248,70785,0.65%,463
13,69993,70785,-1.1%,-792
14,71021,70785,0.33%,236
15,71400,70785,0.87%,615
16,70269,70785,-0.7%,-516
17,71038,70785,0.36%,253
18,70610,70785,-0.2%,-175
19,69646,70785,-1.6%,-1139
20,71422,70785,0.9%,637
21,72156,70785,1.94%,1371
22,71019,70785,0.33%,234
23,70760,70785,0%,-25
24,70385,70785,-0.6%,-400
25,71444,70785,0.93%,659
26,69403,70785,-2%,-1382
27,71286,70785,0.71%,501
28,70096,70785,-1%,-689
29,69941,70785,-1.2%,-844
30,69634,70785,-1.6%,-1151
31,70507,70785,-0.4%,-278
32,71810,70785,1.45%,1025
33,70956,70785,0.24%,171
34,69893,70785,-1.3%,-892
35,70857,70785,0.1%,72
36,70596,70785,-0.3%,-189
37,72012,70785,1.73%,1227
38,70266,70785,-0.7%,-519
39,70334,70785,-0.6%,-451
40,71273,70785,0.69%,488
41,71560,70785,1.09%,775
42,69645,70785,-1.6%,-1140
43,70750,70785,0%,-35
44,72069,70785,1.81%,1284
45,70409,70785,-0.5%,-376
46,71685,70785,1.27%,900
47,70605,70785,-0.3%,-180
48,71802,70785,1.44%,1017
49,70378,70785,-0.6%,-407
50,71915,70785,1.6%,1130
51,69411,70785,-1.9%,-1374
52,71115,70785,0.47%,330
53,72115,70785,1.88%,1330
54,71525,70785,1.05%,740
55,69958,70785,-1.2%,-827
56,70790,70785,0.01%,5
57,70275,70785,-0.7%,-510
58,69662,70785,-1.6%,-1123
59,70371,70785,-0.6%,-414
60,69503,70785,-1.8%,-1282
61,70122,70785,-0.9%,-663
62,70550,70785,-0.3%,-235
63,69833,70785,-1.3%,-952
64,71816,70785,1.46%,1031
65,69446,70785,-1.9%,-1339
66,70100,70785,-1%,-685
67,69535,70785,-1.8%,-1250
68,70473,70785,-0.4%,-312
69,69807,70785,-1.4%,-978
70,70408,70785,-0.5%,-377
71,69540,70785,-1.8%,-1245
72,71756,70785,1.37%,971
73,72037,70785,1.77%,1252
74,70617,70785,-0.2%,-168
75,69933,70785,-1.2%,-852
76,71549,70785,1.08%,764
77,70087,70785,-1%,-698
78,70798,70785,0.02%,13
79,72106,70785,1.87%,1321
80,70554,70785,-0.3%,-231
81,71175,70785,0.55%,390
82,72134,70785,1.91%,1349
83,71766,70785,1.39%,981
84,72090,70785,1.84%,1305
85,72039,70785,1.77%,1254
86,71069,70785,0.4%,284
87,72174,70785,1.96%,1389
88,70746,70785,-0.1%,-39
89,71874,70785,1.54%,1089
90,71872,70785,1.54%,1087
91,71410,70785,0.88%,625
92,70106,70785,-1%,-679
93,70633,70785,-0.2%,-152
94,71484,70785,0.99%,699
95,70646,70785,-0.2%,-139
96,69737,70785,-1.5%,-1048
97,69803,70785,-1.4%,-982
98,69412,70785,-1.9%,-1373
99,71837,70785,1.49%,1052
100,72110,70785,1.87%,1325
