"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,643501,643501.3636,0%,0
2,643506,643501.3636,0%,5
3,643492,643501.3636,0%,-9
4,643520,643501.3636,0%,19
5,643522,643501.3636,0%,21
6,643499,643501.3636,0%,-2
7,643485,643501.3636,0%,-16
8,643503,643501.3636,0%,2
9,643475,643501.3636,0%,-26
10,643503,643501.3636,0%,2
11,643509,643501.3636,0%,8
