"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,475366,367735,77.4%,86199,18.1%,3366,0.7%,9937,2.1%,449,5681,1999,12655,2.7%,6310,874,5471
2,470726,333190,70.8%,101267,21.5%,3462,0.7%,21602,4.6%,581,8026,2598,16537,3.5%,7441,1260,7836
3,482577,210880,43.7%,247341,51.3%,3571,0.7%,8940,1.9%,475,7971,3399,14131,2.9%,4606,1798,7727
4,476811,295220,61.9%,168920,35.4%,2650,0.6%,5457,1.1%,305,2719,1540,6261,1.3%,2824,902,2535
5,498035,373401,75%,113065,22.7%,1742,0.3%,5769,1.2%,136,2862,1060,6993,1.4%,3794,596,2603
6,503198,436959,86.8%,51358,10.2%,2280,0.5%,7067,1.4%,181,4263,1090,8976,1.8%,4971,405,3600
7,477871,396062,82.9%,60073,12.6%,2574,0.5%,12271,2.6%,183,5279,1429,10073,2.1%,4950,388,4735
8,516909,347413,67.2%,66273,12.8%,2654,0.5%,52114,10.1%,527,42562,5366,76076,14.7%,34951,1462,39663
9,506879,480622,94.8%,18569,3.7%,2118,0.4%,2797,0.6%,119,2133,521,4628,0.9%,2739,133,1756
10,461855,377031,81.6%,31154,6.7%,2227,0.5%,32786,7.1%,316,16367,1974,30819,6.7%,15154,521,15144
11,470026,342929,73%,45937,9.8%,2393,0.5%,55374,11.8%,590,19739,3064,39691,8.4%,20548,949,18194
