"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,473353,368548,77.9%,84221,17.8%,3417,0.7%,9391,2%,420,5469,1887,12190,2.6%,6127,832,5231
2,478531,342928,71.7%,96773,20.2%,3697,0.8%,22101,4.6%,643,9503,2886,18756,3.9%,8057,1430,9269
3,477277,202067,42.3%,253799,53.2%,3529,0.7%,8105,1.7%,465,6097,3215,11429,2.4%,3904,1623,5902
4,471938,303775,64.4%,152662,32.3%,2633,0.6%,6936,1.5%,298,4121,1513,8545,1.8%,3758,874,3913
5,498420,373302,74.9%,113543,22.8%,1781,0.4%,5729,1.1%,141,2865,1059,6979,1.4%,3746,616,2617
6,499612,435671,87.2%,51239,10.3%,2279,0.5%,5278,1.1%,164,3962,1019,8612,1.7%,4791,391,3430
7,482356,387305,80.3%,74962,15.5%,2318,0.5%,11667,2.4%,163,4478,1463,8707,1.8%,4299,441,3967
8,516909,347413,67.2%,66273,12.8%,2654,0.5%,52114,10.1%,527,42562,5366,76076,14.7%,34951,1462,39663
9,509976,480493,94.2%,19568,3.8%,2109,0.4%,4633,0.9%,135,2444,594,5038,1%,2952,149,1937
10,461855,377011,81.6%,31179,6.8%,2227,0.5%,32786,7.1%,316,16362,1974,30817,6.7%,15155,521,15141
11,470026,342929,73%,45937,9.8%,2393,0.5%,55374,11.8%,590,19739,3064,39691,8.4%,20548,949,18194
