	District	1	Population Deviation: 	-1,983	Percent Deviation:	-2.80	%

	Counties and Cities	46,992
	105	Lee	23,589
	169	Scott	23,403
	Wise (Part)	21,810
	195	101	Appalachia	2,831
	195	102	Dorchester	1,810
	195	103	Guest River*	1,586
	195	104	West Pound*	2,864
	195	203	East Pound	2,610
	195	301	Big Stone Gap	5,614
	195	302	East Stone Gap	4,495
	District number-	1	Total Population:	68,802
	District	2	Population Deviation: 	-1,865	Percent Deviation:	-2.63	%

	Counties and Cities	50,607
	051	Dickenson	16,395
	167	Russell	30,308
	720	Norton city	3,904
	Wise (Part)	18,313
	195	201	North Coeburn*	2,375
	195	202	Wise	5,484
	195	401	Clinch Valley*	3,881
	195	402	South Coeburn	5,028
	195	403	St. Paul	1,545
	District number-	2	Total Population:	68,920
	District	3	Population Deviation: 	791	Percent Deviation:	1.12	%

	Counties and Cities	71,576
	027	Buchanan	26,978
	185	Tazewell	44,598
	District number-	3	Total Population:	71,576
	District	4	Population Deviation: 	-2,315	Percent Deviation:	-3.27	%

	Counties and Cities	68,470
	520	Bristol city	17,367
	191	Washington	51,103
	District number-	4	Total Population:	68,470
	District	5	Population Deviation: 	786	Percent Deviation:	1.11	%

	Counties and Cities	57,869
	021	Bland	6,871
	077	Grayson	17,917
	173	Smyth	33,081
	Wythe (Part)	13,702
	197	101	Royal Oak*	1,657
	197	102	Rural Retreat*	3,448
	197	201	Evansham	1,015
	197	202	Pine Ridge	2,905
	197	601	Huddle	1,406
	197	602	Zion	1,858
	197	603	Evergreen*	1,413
	District number-	5	Total Population:	71,571
	District	6	Population Deviation: 	-192	Percent Deviation:	-0.27	%

	Counties and Cities	49,956
	035	Carroll	29,245
	063	Floyd	13,874
	640	Galax city	6,837
	Pulaski (Part)	6,740
	155	201	Draper	2,087
	155	202	South Pulaski	2,087
	155	399	Hiwasee 302/Snowville 304*	2,566
	Wythe (Part)	13,897
	197	301	Spiller*	2,678
	197	302	Withers*	1,683
	197	401	Fort Chiswell*	2,004
