"Precinct
Number","Precinct Name","Registered
Voters","Total Vote
2000
President","%
Voting
Rep.","2000
Pres.
Rep.","%
Voting
Dem.","2000
Pres.
Dem.","%
Voting
Green","2000
Pres.
Green","%
Voting
Other","2000
Pres.
Other","Total Vote
2000 U.S.
Senate","%
Voting
Dem.","2000 U.S.
Senate
Dem.","%
Voting
Rep.","2000 U.S.
Senate
Rep.","Total Vote
2000 U.S.
Congr.","%
Voting
Dem.","2000 U.S.
Congr.
Dem.","%
Voting
Rep.","2000 U.S.
Congr.
Rep.","%
Voting
Indep.","2000 U.S.
Congr.
Indep.","%
Voting
Inc.","2000 U.S.
Congr.
Incumbent"
"001101","Chincoteague*",2579,1719,64.630599185573%,1111,33.566026759744%,577,1.10529377545084%,19,0.698080279232112%,12,1671,37.2830640335129%,623,62.7169359664871%,1048,1509,30.0198807157058%,453,66.8654738237243%,1009,3.11464546056991%,47,0%,0
"001201","Atlantic*",673,423,57.4468085106383%,243,40.1891252955083%,170,1.41843971631206%,6,0.945626477541371%,4,399,44.3609022556391%,177,55.6390977443609%,222,353,32.5779036827195%,115,65.4390934844193%,231,1.98300283286119%,7,0%,0
"001202","Greenbackville*",443,310,52.9032258064516%,164,45.8064516129032%,142,1.29032258064516%,4,0%,0,300,47.3333333333333%,142,52.6666666666667%,158,249,36.9477911646586%,92,57.0281124497992%,142,6.02409638554217%,15,0%,0
"001203","Hallwood*",457,281,56.5836298932384%,159,38.4341637010676%,108,0%,0,4.98220640569395%,14,281,41.6370106761566%,117,58.3629893238434%,164,247,34.8178137651822%,86,59.919028340081%,148,5.26315789473684%,13,0%,0
"001204","Saxis",374,205,49.7560975609756%,102,47.3170731707317%,97,0%,0,2.92682926829268%,6,190,42.1052631578947%,80,57.8947368421053%,110,159,28.9308176100629%,46,61.6352201257862%,98,9.43396226415094%,15,0%,0
"001205","Tangier*",499,381,86.0892388451444%,328,13.1233595800525%,50,0.78740157480315%,3,0%,0,372,22.3118279569892%,83,77.6881720430108%,289,302,6.29139072847682%,19,87.4172185430464%,264,6.29139072847682%,19,0%,0
"001301","New Church*",869,421,43.7054631828979%,184,53.2066508313539%,224,1.42517814726841%,6,1.66270783847981%,7,386,55.699481865285%,215,44.300518134715%,171,342,47.6608187134503%,163,44.7368421052632%,153,7.60233918128655%,26,0%,0
"001302","Oak Hall",893,499,44.2885771543086%,221,54.1082164328657%,270,0.200400801603206%,1,1.40280561122245%,7,477,53.8784067085954%,257,46.1215932914046%,220,446,44.1704035874439%,197,49.1031390134529%,219,6.72645739910314%,30,0%,0
"001401","Bloxom*",662,356,65.7303370786517%,234,32.5842696629214%,116,0.561797752808989%,2,1.12359550561798%,4,352,36.3636363636364%,128,63.6363636363636%,224,302,27.4834437086093%,83,67.8807947019868%,205,4.63576158940397%,14,0%,0
"001402","Parksley*",1226,724,55.8011049723757%,404,43.3701657458564%,314,0.414364640883978%,3,0.414364640883978%,3,716,47.6256983240223%,341,52.3743016759777%,375,630,35.3968253968254%,223,59.5238095238095%,375,5.07936507936508%,32,0%,0
"001501","Mappsville",470,263,34.6007604562738%,91,63.4980988593156%,167,0%,0,1.90114068441065%,5,251,64.1434262948207%,161,35.8565737051793%,90,214,52.3364485981308%,112,43.4579439252336%,93,4.20560747663551%,9,0%,0
"001502","Rue",1184,636,39.3081761006289%,250,58.0188679245283%,369,0.943396226415094%,6,1.72955974842767%,11,608,60.6907894736842%,369,39.3092105263158%,239,569,50.2636203866432%,286,43.4094903339192%,247,6.32688927943761%,36,0%,0
"001601","Accomac",1942,1110,49.2792792792793%,547,47.3873873873874%,526,0.990990990990991%,11,2.34234234234234%,26,1095,50.8675799086758%,557,49.1324200913242%,538,970,43.1958762886598%,419,52.680412371134%,511,4.12371134020619%,40,0%,0
"001701","Onancock*",1737,1120,61.6071428571429%,690,35.9821428571429%,403,2.05357142857143%,23,0.357142857142857%,4,1103,42.0670897552131%,464,57.9329102447869%,639,962,32.4324324324324%,312,62.0582120582121%,597,5.50935550935551%,53,0%,0
"001702","Onley",703,481,61.954261954262%,298,36.7983367983368%,177,0.831600831600832%,4,0.415800415800416%,2,482,42.5311203319502%,205,57.4688796680498%,277,436,29.5871559633028%,129,63.7614678899083%,278,6.65137614678899%,29,0%,0
"001801","Bobtown*",500,348,60.3448275862069%,210,38.7931034482759%,135,0.862068965517241%,3,0%,0,355,41.9718309859155%,149,58.0281690140845%,206,323,34.6749226006192%,112,60.6811145510836%,196,4.64396284829721%,15,0%,0
"001802","Keller*",259,139,56.8345323741007%,79,43.1654676258993%,60,0%,0,0%,0,134,47.7611940298507%,64,52.2388059701493%,70,126,44.4444444444444%,56,55.5555555555556%,70,0%,0,0%,0
