"Precinct
Number","Precinct Name","Vap","Vap
White","Vap
Black","Vap
Am. Ind","Vap
Asian","Vap
HawPI","Vap
Other","Vap
Multi","Vap
Hisp","Vap
HispW","Vap
HispB","Vap
HispO"
"001101","Chincoteague*",3547,3457,33,32,11,0,13,1,17,10,0,7
"001201","Atlantic*",3168,2202,837,42,3,4,80,0,106,25,1,80
"001202","Greenbackville*",528,493,26,7,2,0,0,0,2,2,0,0
"001203","Hallwood*",667,488,133,6,2,0,35,3,43,4,1,38
"001204","Saxis",542,528,7,0,0,0,6,1,6,0,0,6
"001205","Tangier*",545,542,3,0,0,0,0,0,0,0,0,0
"001301","New Church*",1433,598,794,9,8,0,21,3,22,2,2,18
"001302","Oak Hall",1288,612,649,5,1,0,12,9,22,7,4,11
"001401","Bloxom*",1118,842,178,5,3,1,88,1,124,36,0,88
"001402","Parksley*",1535,1151,329,12,3,0,36,4,66,30,0,36
"001501","Mappsville",886,249,455,1,0,0,172,9,210,33,0,177
"001502","Rue",2092,926,1008,6,4,2,143,3,254,100,8,146
"001601","Accomac",2930,1684,1014,14,13,12,186,7,242,44,5,193
"001701","Onancock*",2022,1615,377,9,3,0,12,6,40,25,4,11
"001702","Onley",901,697,176,5,4,0,18,1,26,7,0,19
"001801","Bobtown*",566,479,77,0,3,0,6,1,4,0,0,4
"001802","Keller*",302,189,107,1,0,0,5,0,5,0,0,5
"001803","Melfa*",1163,567,581,5,2,0,8,0,11,5,3,3
"001804","Quinby*",383,363,17,1,0,0,2,0,1,0,0,1
"001805","Wachapreague*",491,318,163,3,0,0,7,0,8,0,5,3
"001901","Painter*",2879,1332,1394,7,3,2,136,5,175,31,6,138
"003101","Woodbrook*",2360,1926,246,16,125,2,34,11,68,33,3,32
"003102","Commonwealth*",3698,2674,721,11,187,0,82,23,218,140,18,60
"003103","Branchlands*",1488,1218,169,2,80,1,16,2,40,25,1,14
"003104","Agnor-Hurt*",2011,1718,226,7,29,1,25,5,40,18,0,22
"003201","Jack Jouett*",5118,4409,408,14,214,1,53,19,99,60,3,36
"003202","University Hall*",2274,1531,193,10,501,1,27,11,97,73,1,23
"003301","Ivy*",3190,3032,82,10,60,0,6,0,32,30,0,2
"003304","East Ivy*",1392,1325,22,2,40,1,2,0,10,10,0,0
"003399","North Garden 302 / Batesville 303",3690,3338,260,15,48,0,28,1,149,117,5,27
"003401","Scottsville*",1696,1555,119,10,5,0,6,1,16,10,0,6
"003402","Monticello*",2422,2184,198,10,14,1,12,3,23,13,0,10
"003403","Porter's",1595,1075,493,6,5,0,11,5,20,9,2,9
"003404","Covesville",411,328,71,1,0,0,11,0,10,2,0,8
"003405","Cale*",4660,3713,705,22,96,3,105,16,217,104,1,112
"003501","Keswick*",3015,2562,411,3,23,0,16,0,28,20,0,8
"003502","Stony Point*",1061,984,68,1,6,0,1,1,6,5,0,1
"003503","Hollymead*",5632,5022,353,24,191,0,29,13,89,57,3,29
"003504","Free Bridge*",3951,3447,381,12,85,0,18,8,63,45,3,15
"003601","Crozet*",5514,5008,383,26,49,0,39,9,95,58,3,34
"003602","Free Union*",1366,1329,21,6,7,0,1,2,16,12,0,4
"003603","Earlysville*",3009,2885,86,6,21,0,11,0,29,25,1,3
"005101","Arritt",1500,1483,3,10,2,0,2,0,3,3,0,0
"005103","Dameron",599,588,10,1,0,0,0,0,0,0,0,0
"005201","Humpback Bridge",760,726,27,3,1,0,3,0,1,0,0,1
"005202","Dolly Ann",1091,1009,73,5,1,0,3,0,6,2,2,2
"005301","Callaghan",709,702,0,6,1,0,0,0,2,2,0,0
"005302","Griffith",1336,1310,10,1,14,0,1,0,5,4,0,1
"005401","Low Moor",1331,1286,27,6,8,0,2,2,4,3,0,1
"0054021","Jackson Heights Part 1",33,33,0,0,0,0,0,0,0,0,0,0
"0054022","Jackson  Heights Part 2",556,541,4,7,0,2,2,0,1,1,0,0
"005501","Iron Gate*",486,463,22,1,0,0,0,0,0,0,0,0
"005502","Peters Switch*",1574,1528,31,9,0,0,6,0,6,4,0,2
"007101","District 1*",1859,1240,600,8,3,0,8,0,16,6,2,8
"007201","District 2*",1454,1147,292,8,0,0,5,2,15,6,3,6
"007301","District 3*",1608,1252,334,6,3,0,9,4,17,2,6,9
"007401","District 4*",1899,1509,366,15,5,0,4,0,6,3,0,3
"007501","District 5*",1691,901,772,11,2,0,3,2,9,6,1,2
"009101","Wright Shop*",1726,969,713,21,3,0,4,16,18,6,6,6
"009102","New Glasgow*",1860,1430,392,22,4,0,7,5,22,15,0,7
"009103","Coolwell*",1353,1118,201,14,5,0,10,5,18,10,0,8
"009201","Courthouse*",4055,3112,855,27,25,1,25,10,58,31,8,19
"009202","Temperance*",1246,1041,195,4,3,0,0,3,0,0,0,0
"009301","Monroe*",1646,1214,365,47,1,3,11,5,23,8,6,9
"009302","Elon*",2521,2280,201,26,6,1,7,0,10,4,0,6
"009303","Pleasant View*",801,623,165,8,0,0,1,4,4,1,2,1
"009401","Amelon*",4261,3441,743,27,18,2,19,11,21,6,3,12
"009501","Madison*",4939,4030,809,44,23,1,16,16,49,16,6,27
"011101","Vera",764,690,71,3,0,0,0,0,0,0,0,0
"011102","Pamplin*",1418,1090,315,1,1,0,7,4,11,2,0,9
"011201","Chap*",870,640,224,1,0,0,3,2,5,4,1,0
"011202","Spout Spring*",1441,1238,194,3,5,0,0,1,11,10,0,1
"011301","460*",635,498,124,1,6,1,5,0,9,4,0,5
"011302","Stonewall",1236,923,305,4,0,0,4,0,5,1,1,3
"011401","Courthouse",1961,1485,462,6,4,0,0,4,4,2,1,1
"011501","Oakville",1388,1044,333,3,3,2,0,3,0,0,0,0
"011502","Agee*",609,415,191,2,0,0,1,0,1,1,0,0
"013001","Arlington*",6822,3375,1136,43,700,10,1362,196,2537,1142,46,1349
"013002","Ashton Heights*",2833,2398,73,17,189,2,148,6,262,122,7,133
"013003","Aurora Hills*",2538,2160,113,11,148,5,91,10,182,104,5,73
"013004","Ballston*",3712,3106,92,19,297,0,178,20,353,173,1,179
"013005","Barcroft",3151,1959,242,16,262,2,629,41,944,301,5,638
