"Precinct
Number","Precinct Name","Vap","Vap
White","Vap
Black","Vap
Am. Ind","Vap
Asian","Vap
HawPI","Vap
Other","Vap
Multi","Vap
Hisp","Vap
HispW","Vap
HispB","Vap
HispO"
"013006","Crystal City*",4915,3659,385,30,650,10,141,40,297,210,6,81
"013007","Cherrydale",2866,2537,96,12,145,3,63,10,177,116,0,61
"013008","Hume*",3862,2640,210,16,871,5,89,31,239,162,5,72
"013009","Columbia",3442,2008,770,10,265,5,324,60,543,219,15,309
"013010","Wilson*",9007,5852,1179,56,858,7,951,104,1676,805,24,847
"013011","East Falls Church*",1943,1733,34,7,115,4,42,8,112,72,4,36
"013012","Fairlington*",2670,2493,70,12,58,1,25,11,87,66,1,20
"013013","Glen Carlyn*",7118,3507,907,45,995,6,1554,104,2909,1353,28,1528
"013014","Clarendon*",5086,4099,186,26,619,5,133,18,264,201,4,59
"013015","Lyon Park*",3310,2617,134,25,283,4,214,33,372,186,9,177
"013016","Lyon Village",3616,2996,127,16,283,5,164,25,314,183,8,123
"013017","Overlee Knolls",2554,2314,48,8,148,1,30,5,93,64,4,25
"013018","Park Lane",4551,3688,202,22,431,3,180,25,412,249,7,156
"013019","Rosslyn*",4632,3281,251,23,779,3,246,49,424,273,8,143
"013020","Thrifton",2508,2373,31,12,75,0,13,4,71,67,0,4
"013021","Virginia Highlands*",3226,2396,344,11,323,7,116,29,237,142,0,95
"013022","Abingdon",2720,2279,136,13,134,1,138,19,245,99,14,132
"013023","Westover*",2350,1854,147,12,195,2,118,22,298,181,7,110
"013024","Woodlawn",4333,2929,580,20,308,2,445,49,776,337,10,429
"013025","Arlington Forest*",7028,4438,356,50,680,12,1413,79,2776,1283,46,1447
"013026","Fillmore*",4378,2656,666,25,456,7,494,74,751,278,9,464
"013027","Jefferson",3458,2504,198,33,343,3,353,24,671,318,6,347
"013028","Claremont*",5016,2497,745,34,628,5,994,113,1531,551,37,943
"013029","Dominion Hills",2554,2288,39,14,179,1,25,8,143,115,1,27
"013030","Glebe",4699,1399,1916,24,256,3,1025,76,1604,574,15,1015
"013031","Lexington*",2605,2184,217,15,94,3,80,12,148,72,0,76
"013032","Oakridge*",4135,2003,597,39,347,3,1069,77,1803,664,26,1113
"013033","Rock Spring*",2553,2415,20,14,73,1,23,7,77,63,0,14
"013034","Yorktown",2413,2149,87,19,109,1,40,8,95,57,0,38
"013035","Madison*",2787,2638,17,12,106,2,10,2,55,49,0,6
"013036","Marshall",3657,3128,164,14,219,2,121,9,205,107,1,97
"013037","Nottingham*",2242,2080,25,9,101,1,23,3,103,74,1,28
"013038","Arlington View",4182,2116,1083,12,481,6,406,78,764,364,25,375
"013039","Ashlawn*",2144,1587,61,11,350,0,131,4,312,178,2,132
"013040","Virginia Square*",4067,3247,151,31,405,3,212,18,384,190,5,189
"013041","Woodbury*",3507,2507,215,8,430,5,314,28,511,266,14,231
"013042","Shirlington",3024,2281,280,28,198,5,196,36,344,149,9,186
"015101","Jolivue*",2046,1925,88,5,14,0,13,1,30,25,0,5
"015102","Expo*",1022,964,44,6,3,0,5,0,15,11,0,4
"015103","Verona*",3597,3428,102,21,18,3,22,3,35,13,0,22
"015201","Crimora",2898,2800,63,11,9,2,11,2,25,16,0,9
"015202","New Hope*",1876,1829,21,8,11,0,7,0,15,8,0,7
"015203","Weyers Cave",1929,1898,18,2,3,0,5,3,6,3,1,2
"015301","Fort Defiance*",2924,2894,7,14,8,0,0,1,8,8,0,0
"015302","North River*",1042,1010,8,8,1,2,12,1,45,31,0,14
"015303","Mount Solon*",1684,1644,19,5,2,0,12,2,26,17,0,9
"015304","Churchville Fire Station*",1202,1184,8,9,1,0,0,0,1,1,0,0
"015401","Buffalo Gap*",1536,1490,39,3,2,0,1,1,9,7,0,2
"015402","Churchville School*",1355,1345,3,2,3,1,0,1,3,2,0,1
"015403","Craigsville*",2316,1767,525,17,3,0,4,0,8,6,0,2
"015404","Deerfield*",504,499,3,0,1,0,1,0,2,2,0,0
"015405","Cedar Green*",1082,994,82,1,2,0,1,2,5,5,0,0
"015501","Greenville*",2287,2105,174,2,6,0,0,0,4,4,0,0
"015502","Middlebrook*",1192,1163,16,6,2,3,1,1,4,2,1,1
"015503","Spottswood*",1234,1211,11,3,5,1,1,2,7,6,0,1
"015504","White Hill*",2622,2353,235,19,10,0,5,0,13,8,0,5
"015601","Sherando*",1631,1568,35,8,6,0,12,2,21,10,0,11
"015602","Stuarts Draft*",4735,4554,138,17,10,3,12,1,55,39,3,13
"015603","Lyndhurst*",1384,1292,67,5,7,1,11,1,14,4,0,10
"015801","Dooms*",2784,2737,30,10,3,0,2,2,28,26,0,2
"015802","Fishersville*",2994,2835,132,4,22,0,1,0,15,13,0,2
"015803","Wilson*",2172,2034,112,8,12,0,6,0,13,8,0,5
"017101","Warm Springs",616,568,43,4,0,1,0,0,1,1,0,0
"017102","Mountain Grove",121,121,0,0,0,0,0,0,0,0,0,0
"017201","Hot Springs*",711,615,81,6,9,0,0,0,0,0,0,0
"017301","Fairview*",639,496,125,5,6,3,1,3,1,0,0,1
"017302","Burnsville*",129,124,4,0,0,0,0,1,0,0,0,0
"017303","Starr Chapel*",190,187,0,2,1,0,0,0,1,1,0,0
"017401","Millboro*",789,762,22,3,1,1,0,0,8,8,0,0
"017501","Healing Springs*",791,759,31,0,0,0,1,0,3,3,0,0
"019101","Stewartsville*",4487,4420,26,26,7,1,5,2,18,15,0,3
"019102","Hardy*",1469,1445,14,7,1,0,2,0,8,7,0,1
"019201","Chamblissburg*",1142,1055,76,5,2,0,4,0,8,4,0,4
"019202","Staunton River*",1852,1705,125,14,4,0,4,0,6,4,0,2
"019203","Moneta*",3166,2918,214,21,6,0,5,2,38,28,3,7
"019204","Mountain View*",511,441,65,1,1,0,2,1,8,6,0,2
"019301","New London*",2073,1892,152,12,10,1,6,0,12,8,0,4
"019302","Otter Hill*",1635,1420,198,8,7,1,0,1,3,3,0,0
"019303","Walton's Store*",907,822,71,8,0,1,5,0,9,6,0,3
"019304","White House*",1723,1685,21,7,6,0,4,0,3,1,0,2
"019305","Huddleston*",954,813,127,5,4,0,3,2,7,3,0,4
"019401","Forest*",2912,2728,108,10,52,1,9,4,29,20,0,9
"019402","Jefferson*",4617,4210,320,17,61,0,7,2,40,30,3,7
"019501","Cove*",276,248,22,6,0,0,0,0,3,3,0,0
"019502","Big Island*",813,667,132,7,2,0,3,2,3,0,0,3
"019503","Sedalia*",970,840,121,4,0,1,4,0,9,5,0,4
"019504","Kelso*",1103,977,116,2,2,0,2,4,6,4,0,2
"019505","Boonsboro*",3381,3113,226,7,21,1,10,3,25,16,2,7
"019601","Montvale*",2038,1966,49,13,3,0,5,2,7,3,0,4
"019602","Shady Grove*",2035,1988,15,5,16,1,8,2,8,0,1,7
"019603","Thaxton*",1672,1626,32,8,4,0,1,1,10,9,0,1
"019701","Goode*",1613,1458,133,6,2,0,8,6,17,9,0,8
"019702","Liberty High School*",2100,1778,306,4,9,0,1,2,5,4,0,1
"019703","Sign Rock*",2422,2165,236,6,7,1,4,3,11,9,0,2
"021101","Bastian",724,722,0,1,0,0,0,1,0,0,0,0
"021102","Ceres",525,523,0,0,0,0,0,2,0,0,0,0
"021201","Davis",243,243,0,0,0,0,0,0,0,0,0,0
"021202","Seddon",1235,1222,0,6,6,1,0,0,8,8,0,0
"021301","Hollybrook",553,552,0,0,1,0,0,0,0,0,0,0
"021302","Mechanicsburg",909,680,218,0,2,2,7,0,4,3,0,1
"021401","Rocky Gap",1348,1270,65,10,1,0,1,1,11,5,3,3
"023101","Amsterdam*",2520,2385,112,8,13,0,1,1,13,12,0,1
"023102","Asbury",1342,1321,13,1,3,0,4,0,16,11,2,3
"023103","Town Hall",861,843,4,5,4,0,2,3,8,5,0,3
"023201","Blue Ridge*",2506,2387,83,6,20,2,5,3,13,7,0,6
"023202","Rainbow Forest",1631,1587,21,9,10,0,3,1,8,7,0,1
"023302","Mill Creek",879,847,22,5,5,0,0,0,3,3,0,0
"023303","Roaring Run",562,537,19,2,4,0,0,0,1,1,0,0
"023399","Buchanan 301/ Springwood 304",2699,2561,114,18,3,1,0,2,12,11,0,1
"023402","Courthouse",2190,2029,135,12,5,0,9,0,11,4,0,7
"023403","Eagle Rock",1176,1146,21,8,0,0,1,0,3,2,0,1
"023404","Glen Wilton",760,698,54,4,0,0,3,1,5,4,0,1
"023405","Oriskany*",80,80,0,0,0,0,0,0,0,0,0,0
"023501","Coyner Springs",1302,1273,23,3,2,1,0,0,13,13,0,0
"023502","Cloverdale*",3346,3193,87,10,33,0,15,8,16,4,0,12
"023503","Troutville*",1504,1324,156,10,7,0,5,2,4,2,0,2
"025101","Brodnax*",654,349,301,3,1,0,0,0,4,2,2,0
"025102","Rock Store*",1042,647,392,3,0,0,0,0,6,6,0,0
"025103","Tillman*",922,642,273,2,0,0,3,2,3,1,0,2
"025201","Dromgoole*",461,296,164,0,1,0,0,0,4,1,3,0
"025202","Edgerton",1346,440,883,2,1,0,17,3,49,20,14,15
"025203","Fitzhugh*",899,342,552,3,0,0,2,0,7,4,2,1
"025301","Alberta*",224,136,87,0,1,0,0,0,1,1,0,0
"025302","Danieltown",1131,616,501,3,5,0,5,1,17,14,0,3
"025303","Elmore",499,222,273,0,3,0,0,1,8,8,0,0
"025304","Seymour",511,251,254,1,1,0,1,3,6,0,1,5
"025401","Sturgeon",4156,1500,2614,6,12,0,20,4,34,9,5,20
"025402","King's Store",554,182,371,0,0,0,1,0,9,8,0,1
"025501","Lawrenceville",2253,794,1428,5,5,0,11,10,29,5,18,6
"027102","Blackey",638,638,0,0,0,0,0,0,1,1,0,0
"027103","Paw-Paw*",759,753,2,3,0,0,0,1,1,1,0,0
"027104","Hurley",1515,1507,1,4,2,0,0,1,11,11,0,0
"027299","Grassy 201 / Bull 202 / Rock Lick 203",3096,3081,0,10,1,1,2,1,4,4,0,0
"027301","Slate*",1542,1525,1,11,4,0,1,0,7,6,0,1
"027302","North Grundy",1681,1647,17,3,12,1,1,0,6,4,1,1
"027403","South Grundy",1178,1165,4,1,5,1,2,0,2,2,0,0
"027499","Park 402/Oakwood 404",1306,1290,9,2,3,0,2,0,4,4,0,0
"027501","Prater",1414,1413,0,1,0,0,0,0,3,2,0,1
"027502","Fox",259,258,0,0,1,0,0,0,0,0,0,0
"027503","Vansant",1124,1119,0,2,0,2,0,1,5,5,0,0
"027601","Council",836,836,0,0,0,0,0,0,4,4,0,0
"027602","Garden",1146,1141,0,3,2,0,0,0,8,6,0,2
"027603","Hurricane",924,921,0,2,0,0,1,0,8,7,0,1
"027701","Whitewood",2330,1838,470,8,7,0,7,0,12,6,0,6
"027702","Contrary",1005,1003,0,1,0,0,0,1,3,3,0,0
"027703","Patterson",452,451,0,1,0,0,0,0,3,3,0,0
"029101","New Canton*",1429,918,488,11,0,0,11,1,19,5,4,10
"029201","White Hall*",1488,978,485,9,4,1,3,8,12,10,0,2
"029301","Curdsville",942,633,289,4,4,0,1,11,9,1,7,1
"029302","New Store",750,562,182,2,0,1,2,1,9,2,7,0
"029401","Maysville*",1498,1046,429,7,5,0,6,5,14,4,6,4
"029501","Wrights*",651,481,160,3,0,0,2,5,4,2,0,2
"029502","Glenmore*",1000,715,274,4,3,0,2,2,4,4,0,0
"029601","Slate River*",1617,836,747,16,2,0,7,9,8,2,0,6
"029701","Gold Hill*",2749,1065,1672,3,4,0,5,0,13,7,0,6
"031101","Brookville*",3157,2939,127,9,66,0,12,4,20,11,1,8
"031102","New London*",2106,1969,90,14,22,1,8,2,14,4,2,8
"031201","Courthouse*",3096,2588,483,11,2,0,7,5,9,2,1,6
"031202","White's Church*",938,859,71,6,1,0,0,1,2,2,0,0
"031203","Morris Church*",1776,1584,166,8,2,1,5,10,17,14,0,3
"031301","Bedford Springs*",2490,2244,185,10,42,0,6,3,17,7,3,7
"031302","Walker*",3294,2935,268,13,57,0,18,3,41,22,3,16
"031401","Concord*",2703,2245,419,15,5,0,11,8,19,9,0,10
"031402","Kings*",1790,1420,347,10,6,1,3,3,14,9,1,4
"031403","Airport*",1199,1084,101,4,4,0,4,2,10,7,1,2
"031501","Brookneal*",3144,2171,950,4,2,0,12,5,53,24,17,12
"031502","Gladys*",1216,860,348,5,1,0,1,1,7,3,1,3
"031503","Staunton River*",509,323,185,0,0,0,0,1,3,3,0,0
"031601","Altavista*",2664,2064,574,10,7,0,5,4,23,13,6,4
"031602","Lynch Station*",1785,1430,337,4,4,0,7,3,3,0,0,3
"031603","Evington*",1022,864,149,2,1,0,3,3,10,4,3,3
"031701","Yellow Branch*",2782,2433,318,9,8,0,5,9,18,14,0,4
"031702","Spring Hill*",3171,2739,387,18,19,1,5,2,20,16,2,2
"033101","Bowling Green*",3271,2257,873,79,14,2,37,9,62,23,6,33
"033201","Madison*",4351,3341,911,23,29,1,24,22,50,31,4,15
"033301","Port Royal*",1130,689,418,16,2,0,1,4,32,22,1,9
"033303","Woodford*",1917,1373,510,11,7,1,4,11,14,9,3,2
"033401","Reedy Church",3110,1454,1598,17,4,1,18,18,28,5,6,17
"033501","Mattaponi",2866,1447,1343,34,17,3,7,15,21,8,5,8
"035101","Mount Bethel*",1218,1194,5,8,0,1,9,1,14,5,0,9
"035102","St Paul*",1741,1718,2,8,1,0,7,5,16,9,0,7
"035199","Lambsburg 103/Oakland A 104",1840,1816,8,9,4,0,3,0,18,16,0,2
"035201","Hillsville B*",2182,2128,1,9,3,0,38,3,51,10,0,41
"035202","Laurel Fork*",929,912,6,1,0,0,10,0,11,1,0,10
"035203","Gladesboro*",1280,1275,0,1,2,0,2,0,9,7,0,2
"035204","Hillsville E*",228,228,0,0,0,0,0,0,1,1,0,0
"035301","Hillsville C*",2647,2604,2,13,8,0,18,2,31,17,0,14
"035302","Sylvatus*",1044,1041,0,1,1,0,1,0,4,3,0,1
"035303","Dugspur*",596,589,0,3,3,0,1,0,2,1,0,1
"035401","Hillsville D*",586,575,5,1,0,0,5,0,8,4,0,4
"035403","Oakland D*",1240,1203,5,6,1,1,24,0,45,21,0,24
"035404","Fancy Gap*",692,681,0,3,0,0,8,0,9,2,0,7
"035501","Vaughn*",959,947,1,6,0,0,5,0,7,2,0,5
"035502","Gladeville*",1474,1466,0,4,0,0,4,0,6,2,0,4
"035503","Woodlawn E*",1163,1150,5,5,2,0,1,0,6,4,0,2
"035504","Laurel*",1083,1057,11,1,2,0,12,0,14,2,0,12
"0354021","Woodlawn D Part 1*",2078,2013,42,11,3,0,9,0,25,16,0,9
"0354022","Woodlawn D Part 2*",100,100,0,0,0,0,0,0,0,0,0,0
"036101","Precinct 1-1*",1844,872,894,64,3,0,1,10,11,8,1,2
"036201","Precinct 2-1*",1915,457,1084,355,4,0,2,13,13,3,0,10
"036301","Precinct 3-1*",1634,634,960,19,3,0,8,10,15,4,3,8
"037101","County Seat",1402,1074,309,8,3,0,7,1,18,10,0,8
"037201","Red Oak Wylliesburg*",1302,845,435,4,13,0,5,0,13,8,0,5
"037301","Priddy's Store",114,85,29,0,0,0,0,0,0,0,0,0
"037302","Drakes Branch",1157,839,311,2,0,0,3,2,12,5,2,5
"037401","Keysville*",1568,1091,455,2,2,0,16,2,56,38,3,15
"037501","Cullen",1025,590,419,2,1,0,6,7,9,5,1,3
"037503","Red House*",447,219,219,1,0,0,4,4,8,4,2,2
"037601","Aspen*",533,337,193,2,1,0,0,0,3,2,1,0
"037602","Phenix*",642,526,110,0,0,0,0,6,7,7,0,0
"037701","Bacon*",582,385,185,7,0,0,4,1,12,9,0,3
"037702","Saxe*",667,319,337,3,1,0,7,0,20,13,0,7
"041101","Bellwood*",4345,3184,769,49,104,1,193,45,302,92,4,206
"041102","South Chester*",3723,3065,475,35,81,2,53,12,149,93,9,47
"041103","Enon*",2539,2272,207,14,28,0,13,5,41,25,3,13
"041104","North Chester*",3768,3376,257,23,68,4,36,4,85,45,4,36
"041105","Drewry's Bluff*",4821,2810,1279,39,161,9,481,42,919,429,27,463
"041106","Harrowgate*",2974,2483,390,28,41,3,24,5,58,28,9,21
"041107","Wells*",4941,3714,1019,28,133,3,29,15,98,59,15,24
"041108","Ecoff*",3421,2977,291,31,83,7,26,6,50,28,1,21
"041109","Point Of Rocks",345,315,18,0,7,2,3,0,6,3,0,3
"041110","Dutch Gap",4575,3619,614,22,247,0,62,11,116,55,6,55
"041111","Iron Bridge*",2126,1690,328,9,76,0,14,9,26,13,1,12
"041201","Gates*",2917,2109,658,33,47,7,52,11,86,36,4,46
"041202","Beulah*",3488,2353,941,16,118,1,37,22,69,33,4,32
"041203","Bird*",2890,1969,757,26,63,2,65,8,86,16,6,64
"041204","Jacobs*",2922,2390,454,9,56,0,5,8,22,15,1,6
"041205","Falling Creek*",4085,2791,1014,29,163,3,68,17,76,21,6,49
"041206","Belmont*",4471,2096,1866,29,73,7,371,29,500,118,21,361
"041207","Chippenham*",4441,2717,1499,26,122,1,66,10,151,86,4,61
"041208","Meadowbrook*",3268,1874,1177,27,101,2,78,9,113,43,6,64
"041209","Salem Church*",4075,3300,612,32,68,1,49,13,112,50,7,55
"041210","Five Forks",2053,1568,413,8,39,0,17,8,34,20,1,13
"041301","Ettrick*",4635,925,3577,21,18,1,52,41,103,16,38,49
"041302","Deer Run*",3938,3465,307,21,91,4,41,9,55,23,1,31
"041303","Matoaca",3857,2412,1358,28,17,1,22,19,21,3,7,11
"041304","Winfrees Store",2411,2028,339,10,15,1,14,4,30,12,2,16
"041305","Beach*",3156,2918,148,10,64,0,14,2,33,22,0,11
"041306","Winterpock",2538,2294,219,9,5,1,4,6,15,10,0,5
"041309","Skinquarter*",1531,1478,38,3,12,0,0,0,17,15,2,0
"041310","Tomahawk",3556,3275,154,6,107,2,6,6,48,44,1,3
"041311","Walthall*",1240,898,311,7,9,2,12,1,13,5,2,6
"041312","Evergreen*",3351,2955,248,7,128,0,13,0,40,28,1,11
"041313","Woolridge",2408,2171,143,3,80,0,10,1,24,22,0,2
"041314","Branches*",1016,749,243,3,7,2,8,4,11,6,0,5
"041315","Bailey Bridge*",2855,2571,207,15,32,0,22,8,43,23,1,19
"041316","Spring Run*",2878,2521,306,7,33,1,9,1,25,16,1,8
"041399","Pocahontas 307/Crenshaw 308",6745,5440,1045,53,104,3,77,23,171,95,5,71
"041402","Genito*",4878,3976,696,33,115,1,42,15,91,42,3,46
"041403","Brandermill*",2583,2312,179,13,57,1,14,7,42,29,1,12
"041404","Providence",3080,2391,539,12,86,1,34,17,54,20,0,34
"041405","Lyndale*",2098,1788,194,2,89,2,12,11,21,13,0,8
"041406","Smoketree",2271,2122,58,3,69,0,17,2,30,21,1,8
"041407","Monacan",1356,1226,68,2,50,1,5,4,14,9,1,4
"041408","Reams",4350,2971,1086,39,164,1,73,16,100,25,2,73
"041409","Manchester*",3422,2278,991,21,53,2,58,19,109,47,5,57
"041410","Wagstaff*",1773,1407,294,6,49,0,15,2,24,12,0,12
"041412","Davis",2638,1623,862,19,66,0,59,9,109,44,4,61
"041499","Harbour Pointe 401/Swift Creek 411*",4804,4344,310,26,99,2,15,8,61,41,2,18
"041501","Huguenot*",2314,2005,211,13,58,1,22,4,38,17,1,20
"041502","Crestwood*",1548,1462,46,8,19,2,8,3,13,8,0,5
"041503","Midlothian*",3308,2929,256,8,83,0,27,5,49,24,2,23
"041504","Robious",2477,2312,75,7,78,0,4,1,25,20,1,4
"041505","Bon Air*",2997,2877,91,3,17,0,8,1,20,16,0,4
"041506","Greenfield",3234,2769,278,15,136,0,16,20,44,23,4,17
"041507","Salisbury",2924,2755,71,7,85,0,6,0,19,16,1,2
"041509","Cranbeck",1803,1512,172,4,77,1,30,7,48,17,2,29
"041510","Sycamore*",2765,2519,110,10,109,0,14,3,32,21,2,9
"041512","Shenandoah*",3132,2578,400,14,99,1,25,15,44,23,3,18
"041513","Beaufont*",1706,1039,395,21,143,1,97,10,158,59,7,92
"041514","Watkins*",2085,1870,109,6,92,1,5,2,21,18,0,3
"041599","Belgrade 508/Black Heath 511*",4627,4143,269,15,147,2,25,26,86,67,2,17
"043101","Russell*",2244,2165,45,7,15,1,11,0,29,18,1,10
"043201","Berryville",1591,1287,275,8,9,2,3,7,21,13,1,7
"043301","Millwood",1359,1240,87,7,9,0,9,7,20,11,0,9
"043302","Pine Grove",566,555,3,3,2,1,2,0,6,3,0,3
"043401","White Post*",1873,1613,227,11,7,1,11,3,26,18,1,7
"043501","Buckmarsh",1489,1411,45,0,11,3,15,4,28,13,0,15
"043502","Blue Ridge*",572,555,10,4,1,0,1,1,2,1,0,1
"045101","Court House",789,782,0,5,0,0,2,0,2,1,0,1
"045201","Ammendale",646,639,1,2,1,0,2,1,2,2,0,0
"045202","North Mountain",181,177,0,3,0,0,1,0,1,1,0,0
"045301","Givens and Reynolds Store*",513,509,1,1,2,0,0,0,2,2,0,0
"045399","Mcguire's Store 302/Marshall's Store 303*",292,292,0,0,0,0,0,0,1,1,0,0
"045401","Barbours Creek",208,203,0,4,0,0,1,0,1,0,0,1
"045402","Paint Bank*",117,117,0,0,0,0,0,0,2,2,0,0
"045499","Craig Springs 403/Forks of John Creek 404*",422,421,1,0,0,0,0,0,2,1,1,0
"045501","Craig City*",721,711,0,3,5,0,2,0,3,3,0,0
"047101","West Fairfax*",3180,2602,487,14,33,0,34,10,88,50,12,26
"047201","East Fairfax*",3194,2258,769,12,62,2,66,25,161,83,2,76
"047301","Catalpa*",3358,2953,361,17,9,1,13,4,30,17,2,11
"047401","Eldorado*",1476,1224,223,11,1,1,10,6,20,3,3,14
"047402","Brown's Store*",1935,1660,238,13,10,1,8,5,20,11,0,9
"047501","Jeffersonton*",2723,2379,286,23,15,0,9,11,41,31,0,10
