"Precinct
Number","Precinct Name","Total
Population","White","Black","Am.
Ind","Asian","HawPI.","Other","Multi-
Race","Hisp.","Hisp.
White","Hisp.
Black","Hisp.
Other"
"001101","Chincoteague*",4324,4191,59,37,17,0,19,1,23,13,0,10
"001201","Atlantic*",4641,3098,1350,43,7,4,139,0,217,75,3,139
"001202","Greenbackville*",612,573,28,8,2,0,0,1,3,3,0,0
"001203","Hallwood*",891,631,189,13,2,0,53,3,69,11,2,56
"001204","Saxis",661,641,7,1,0,0,11,1,10,0,0,10
"001205","Tangier*",693,687,6,0,0,0,0,0,0,0,0,0
"001301","New Church*",2050,778,1214,13,8,0,32,5,36,2,6,28
"001302","Oak Hall",1711,770,907,8,1,0,15,10,26,7,4,15
"001401","Bloxom*",1493,1077,280,5,3,1,126,1,183,62,0,121
"001402","Parksley*",2017,1463,471,17,4,0,56,6,101,43,0,58
"001501","Mappsville",1245,326,655,1,0,3,244,16,307,53,0,254
"001502","Rue",2826,1131,1462,8,7,5,208,5,368,145,9,214
"001601","Accomac",3825,2108,1393,18,26,15,258,7,339,67,5,267
"001701","Onancock*",2544,1938,563,13,5,0,17,8,55,34,6,15
"001702","Onley",1139,834,252,10,5,0,36,2,50,12,0,38
"001801","Bobtown*",707,583,109,0,5,0,7,3,5,0,0,5
"001802","Keller*",381,228,142,1,0,0,10,0,10,0,0,10
"001803","Melfa*",1607,768,812,5,3,1,15,3,20,9,4,7
"001804","Quinby*",450,423,22,3,0,0,2,0,1,0,0,1
"001805","Wachapreague*",599,371,217,3,0,0,8,0,9,0,5,4
"001901","Painter*",3889,1657,2033,11,5,2,171,10,230,43,11,176
"003101","Woodbrook*",3452,2726,433,23,192,2,57,19,111,52,4,55
"003102","Commonwealth*",4657,3170,1073,15,239,0,116,44,311,196,24,91
"003103","Branchlands*",1716,1360,232,3,93,1,23,4,47,28,1,18
"003104","Agnor-Hurt*",2626,2200,329,9,43,1,37,7,55,30,0,25
"003201","Jack Jouett*",6355,5358,573,18,290,1,93,22,164,94,8,62
"003202","University Hall*",2626,1693,237,13,637,2,28,16,114,86,1,27
"003301","Ivy*",4626,4388,112,14,98,0,14,0,48,42,0,6
"003304","East Ivy*",1775,1680,31,2,58,1,3,0,13,13,0,0
"003399","North Garden 302 / Batesville 303",4848,4375,328,21,74,0,49,1,204,154,6,44
"003401","Scottsville*",2296,2114,150,13,8,0,9,2,29,19,0,10
"003402","Monticello*",3160,2843,262,12,20,1,18,4,36,20,0,16
"003403","Porter's",2133,1418,671,10,5,0,21,8,35,15,3,17
"003404","Covesville",526,409,96,2,1,1,17,0,22,7,0,15
"003405","Cale*",6111,4804,965,30,126,4,161,21,307,137,9,161
"003501","Keswick*",3888,3274,547,3,31,0,31,2,53,36,2,15
"003502","Stony Point*",1461,1363,88,1,7,0,1,1,11,10,0,1
"003503","Hollymead*",8309,7327,572,30,295,0,60,25,141,84,3,54
"003504","Free Bridge*",5246,4470,602,14,121,1,22,16,96,70,6,20
"003601","Crozet*",7433,6737,497,37,86,0,59,17,163,109,6,48
"003602","Free Union*",1813,1761,24,7,12,0,7,2,21,14,0,7
"003603","Earlysville*",4179,4004,115,9,32,0,17,2,48,40,1,7
"005101","Arritt",1959,1936,7,11,3,0,2,0,4,4,0,0
"005103","Dameron",727,714,10,1,0,0,2,0,1,1,0,0
"005201","Humpback Bridge",1009,940,56,5,1,0,7,0,5,2,1,2
"005202","Dolly Ann",1456,1314,128,5,3,0,6,0,10,3,2,5
"005301","Callaghan",925,913,1,9,1,1,0,0,2,2,0,0
"005302","Griffith",1764,1726,12,3,18,0,5,0,10,5,0,5
"005401","Low Moor",1741,1684,36,6,9,0,3,3,6,4,0,2
"0054021","Jackson Heights Part 1",51,51,0,0,0,0,0,0,0,0,0,0
"0054022","Jackson  Heights Part 2",673,657,5,7,0,2,2,0,1,1,0,0
"005501","Iron Gate*",594,564,29,1,0,0,0,0,0,0,0,0
"005502","Peters Switch*",2027,1955,50,11,2,0,9,0,8,4,0,4
"007101","District 1*",2532,1702,801,12,7,0,9,1,24,12,4,8
"007201","District 2*",1926,1529,374,11,0,2,6,4,20,9,3,8
"007301","District 3*",2192,1686,473,8,5,0,14,6,25,5,6,14
"007401","District 4*",2519,1965,517,25,7,0,4,1,9,4,1,4
"007501","District 5*",2231,1163,1045,11,2,0,6,4,13,8,1,4
"009101","Wright Shop*",2330,1292,981,29,3,0,6,19,26,6,11,9
"009102","New Glasgow*",2543,1922,563,29,8,0,12,9,27,16,0,11
"009103","Coolwell*",1919,1557,301,23,10,0,18,10,24,13,1,10
"009201","Courthouse*",4972,3717,1153,28,32,1,29,12,66,38,8,20
"009202","Temperance*",1623,1366,243,4,4,0,2,4,2,2,0,0
"009301","Monroe*",2350,1671,580,66,2,5,19,7,44,16,10,18
"009302","Elon*",3357,3040,255,36,12,1,13,0,16,5,0,11
"009303","Pleasant View*",1050,825,206,8,0,0,4,7,8,1,3,4
"009401","Amelon*",5518,4369,1032,37,31,2,31,16,28,6,5,17
"009501","Madison*",6232,5013,1068,59,28,1,38,25,65,24,7,34
"011101","Vera",1025,909,113,3,0,0,0,0,1,1,0,0
"011102","Pamplin*",1958,1458,484,1,1,0,10,4,14,2,0,12
"011201","Chap*",1180,837,329,1,0,0,9,4,10,5,4,1
"011202","Spout Spring*",1921,1615,292,3,8,0,1,2,17,14,1,2
"011301","460*",853,652,184,1,8,1,7,0,9,4,0,5
"011302","Stonewall",1609,1199,396,6,1,0,7,0,7,1,1,5
"011401","Courthouse",2568,1856,691,8,5,1,2,5,6,3,2,1
"011501","Oakville",1798,1347,437,3,3,2,2,4,0,0,0,0
"011502","Agee*",793,535,253,2,0,0,3,0,1,1,0,0
"013001","Arlington*",9006,4245,1539,60,909,19,1988,246,3747,1673,74,2000
"013002","Ashton Heights*",3401,2855,111,21,220,2,184,8,334,159,11,164
"013003","Aurora Hills*",2903,2441,137,17,177,8,109,14,233,131,7,95
"013004","Ballston*",4400,3623,118,21,361,1,251,25,471,219,2,250
"013005","Barcroft",4060,2423,343,22,357,3,857,55,1295,427,9,859
"013006","Crystal City*",5137,3773,430,30,691,10,158,45,322,225,7,90
"013007","Cherrydale",3542,3118,117,15,199,3,75,15,228,153,0,75
"013008","Hume*",4049,2757,218,16,917,5,98,38,262,176,5,81
"013009","Columbia",4054,2201,974,10,317,6,468,78,751,280,22,449
"013010","Wilson*",9993,6254,1298,65,988,7,1254,127,2167,1004,29,1134
"013011","East Falls Church*",2428,2124,49,9,166,8,62,10,144,90,5,49
"013012","Fairlington*",3090,2867,88,13,75,1,34,12,112,87,1,24
"013013","Glen Carlyn*",9369,4300,1270,60,1296,14,2275,154,4041,1804,46,2191
"013014","Clarendon*",5275,4227,196,29,658,5,142,18,287,221,5,61
"013015","Lyon Park*",3745,2894,155,28,336,5,274,53,489,250,9,230
"013016","Lyon Village",4201,3458,155,23,336,5,192,32,408,246,10,152
