"Precinct
Number","Precinct Name","Total
Population","White","Black","Am.
Ind","Asian","HawPI.","Other","Multi-
Race","Hisp.","Hisp.
White","Hisp.
Black","Hisp.
Other"
"013017","Overlee Knolls",3182,2865,61,13,180,1,55,7,129,82,6,41
"013018","Park Lane",4906,3895,242,27,481,3,229,29,515,303,9,203
"013019","Rosslyn*",4859,3392,270,24,839,3,277,54,471,297,8,166
"013020","Thrifton",3264,3068,52,15,109,0,16,4,101,95,0,6
"013021","Virginia Highlands*",3440,2536,363,11,345,7,145,33,280,161,0,119
"013022","Abingdon",3032,2456,170,14,173,1,188,30,325,125,17,183
"013023","Westover*",2941,2272,202,19,250,3,163,32,414,245,11,158
"013024","Woodlawn",5385,3542,726,32,399,5,617,64,1069,465,12,592
"013025","Arlington Forest*",8585,5204,463,61,904,13,1833,107,3618,1680,56,1882
"013026","Fillmore*",5175,2959,852,31,574,10,660,89,1012,360,11,641
"013027","Jefferson",4206,2959,271,40,424,3,478,31,895,419,10,466
"013028","Claremont*",6556,3058,1017,62,861,11,1381,166,2165,778,54,1333
"013029","Dominion Hills",3334,2945,52,18,257,1,43,18,217,169,1,47
"013030","Glebe",6256,1768,2571,39,341,3,1423,111,2260,813,23,1424
"013031","Lexington*",3390,2842,272,17,122,5,113,19,212,106,0,106
"013032","Oakridge*",5337,2408,822,49,456,3,1501,98,2523,935,34,1554
"013033","Rock Spring*",3442,3231,34,20,113,2,31,11,124,102,0,22
"013034","Yorktown",3170,2820,109,23,145,1,59,13,137,78,0,59
"013035","Madison*",3740,3511,22,18,162,3,20,4,80,65,0,15
"013036","Marshall",4430,3779,191,15,279,2,153,11,252,132,4,116
"013037","Nottingham*",2913,2685,36,13,138,1,31,9,152,111,1,40
"013038","Arlington View",4877,2334,1352,13,550,6,516,106,978,467,35,476
"013039","Ashlawn*",2634,1917,87,15,430,0,176,9,421,236,3,182
"013040","Virginia Square*",4502,3530,177,38,461,3,267,26,497,245,8,244
"013041","Woodbury*",3877,2617,309,11,474,6,429,31,660,305,14,341
"013042","Shirlington",3367,2448,322,31,238,5,280,43,470,193,12,265
"015101","Jolivue*",2631,2467,113,7,20,0,22,2,45,35,1,9
"015102","Expo*",1463,1359,77,11,4,1,11,0,19,12,0,7
"015103","Verona*",4735,4473,162,29,20,4,44,3,63,19,0,44
"015201","Crimora",3893,3756,87,14,11,2,19,4,40,21,0,19
"015202","New Hope*",2480,2419,28,9,13,0,11,0,25,14,1,10
"015203","Weyers Cave",2589,2531,29,6,6,0,13,4,10,4,1,5
"015301","Fort Defiance*",3841,3799,14,14,12,1,0,1,13,12,0,1
"015302","North River*",1497,1442,11,9,1,2,28,4,89,59,0,30
"015303","Mount Solon*",2224,2171,26,5,3,0,17,2,32,21,0,11
"015304","Churchville Fire Station*",1544,1519,10,14,1,0,0,0,2,2,0,0
"015401","Buffalo Gap*",2046,1980,55,3,3,0,4,1,16,13,0,3
"015402","Churchville School*",1740,1724,8,2,4,1,0,1,3,2,0,1
"015403","Craigsville*",2823,2252,533,27,3,0,8,0,8,6,0,2
"015404","Deerfield*",629,623,3,0,2,0,1,0,2,2,0,0
"015405","Cedar Green*",1357,1233,112,1,8,0,1,2,5,5,0,0
"015501","Greenville*",2884,2688,186,3,7,0,0,0,4,4,0,0
"015502","Middlebrook*",1565,1530,18,7,3,5,1,1,4,2,1,1
"015503","Spottswood*",1561,1529,15,3,10,1,1,2,7,6,0,1
"015504","White Hill*",3363,3063,244,25,17,0,12,2,22,9,0,13
"015601","Sherando*",2227,2139,45,9,9,0,23,2,37,16,0,21
"015602","Stuarts Draft*",6463,6180,217,27,12,3,23,1,71,44,6,21
"015603","Lyndhurst*",1812,1683,89,12,8,1,18,1,27,8,0,19
"015801","Dooms*",3567,3498,38,17,9,0,2,3,36,34,0,2
"015802","Fishersville*",3926,3709,176,4,33,0,3,1,21,17,0,4
"015803","Wilson*",2755,2580,139,10,16,0,10,0,19,10,0,9
"017101","Warm Springs",797,740,46,7,0,2,2,0,4,2,0,2
"017102","Mountain Grove",156,156,0,0,0,0,0,0,0,0,0,0
"017201","Hot Springs*",862,755,91,6,10,0,0,0,0,0,0,0
"017301","Fairview*",778,628,127,8,7,3,2,3,2,0,0,2
"017302","Burnsville*",165,157,6,0,1,0,0,1,0,0,0,0
"017303","Starr Chapel*",250,247,0,2,1,0,0,0,1,1,0,0
"017401","Millboro*",1028,999,24,3,1,1,0,0,8,8,0,0
"017501","Healing Springs*",1012,977,33,1,0,0,1,0,3,3,0,0
"019101","Stewartsville*",5775,5676,44,35,10,1,7,2,27,22,0,5
"019102","Hardy*",1882,1846,21,7,1,0,3,4,14,10,0,4
"019201","Chamblissburg*",1494,1388,90,7,2,0,7,0,10,4,0,6
"019202","Staunton River*",2480,2280,170,17,6,0,5,2,12,8,0,4
"019203","Moneta*",3952,3616,284,30,6,0,11,5,57,39,5,13
"019204","Mountain View*",682,575,98,1,1,0,4,3,11,7,0,4
"019301","New London*",2854,2607,205,15,14,4,9,0,21,13,0,8
"019302","Otter Hill*",2151,1848,279,11,7,1,2,3,5,5,0,0
"019303","Walton's Store*",1199,1093,87,13,0,1,5,0,13,9,1,3
"019304","White House*",2015,1958,31,9,10,0,7,0,8,1,2,5
"019305","Huddleston*",1227,1044,161,7,7,0,3,5,8,4,0,4
"019401","Forest*",3995,3728,145,16,78,1,21,6,42,27,0,15
"019402","Jefferson*",6491,5932,433,20,91,0,12,3,55,42,3,10
"019501","Cove*",373,338,29,6,0,0,0,0,5,5,0,0
"019502","Big Island*",1012,821,171,11,3,0,4,2,4,0,0,4
"019503","Sedalia*",1250,1091,149,4,1,1,4,0,12,8,0,4
"019504","Kelso*",1422,1249,152,4,5,0,6,6,12,6,0,6
"019505","Boonsboro*",4710,4337,300,16,34,3,14,6,35,23,2,10
"019601","Montvale*",2627,2540,55,16,7,0,7,2,9,4,0,5
"019602","Shady Grove*",2686,2614,23,5,21,1,19,3,19,1,1,17
"019603","Thaxton*",2117,2060,39,12,4,0,1,1,17,16,0,1
"019701","Goode*",2164,1967,166,8,3,0,14,6,26,14,0,12
"019702","Liberty High School*",2684,2253,409,5,12,0,1,4,11,10,0,1
"019703","Sign Rock*",3129,2788,316,7,9,1,5,3,16,13,1,2
"021101","Bastian",920,917,0,1,1,0,0,1,0,0,0,0
"021102","Ceres",698,696,0,0,0,0,0,2,0,0,0,0
"021201","Davis",301,301,0,0,0,0,0,0,0,0,0,0
"021202","Seddon",1526,1507,0,10,8,1,0,0,8,8,0,0
"021301","Hollybrook",706,705,0,0,1,0,0,0,0,0,0,0
"021302","Mechanicsburg",1050,806,219,0,2,2,21,0,12,7,0,5
"021401","Rocky Gap",1670,1583,70,14,1,0,1,1,12,5,3,4
"023101","Amsterdam*",3275,3091,149,11,20,0,2,2,19,17,0,2
"023102","Asbury",1809,1783,15,1,5,0,5,0,24,18,2,4
"023103","Town Hall",1141,1116,6,5,7,0,2,5,8,5,0,3
"023201","Blue Ridge*",3365,3194,114,11,34,2,7,3,17,9,1,7
"023202","Rainbow Forest",2134,2069,34,11,15,0,4,1,9,7,0,2
"023302","Mill Creek",1113,1074,25,6,7,0,1,0,5,4,0,1
"023303","Roaring Run",749,715,26,2,6,0,0,0,1,1,0,0
"023399","Buchanan 301/ Springwood 304",3440,3264,136,32,5,1,0,2,15,14,0,1
"023402","Courthouse",2785,2588,163,13,10,0,11,0,16,9,0,7
"023403","Eagle Rock",1457,1417,24,11,0,0,5,0,7,2,0,5
"023404","Glen Wilton",992,910,67,6,1,0,7,1,11,6,0,5
"023405","Oriskany*",93,93,0,0,0,0,0,0,0,0,0,0
"023501","Coyner Springs",1862,1789,61,6,3,1,1,1,14,13,0,1
"023502","Cloverdale*",4475,4231,132,12,53,0,34,13,31,4,3,24
"023503","Troutville*",1806,1610,161,17,9,0,5,4,4,2,0,2
"025101","Brodnax*",904,455,445,3,1,0,0,0,7,5,2,0
"025102","Rock Store*",1364,806,553,5,0,0,0,0,12,12,0,0
"025103","Tillman*",1118,736,372,2,0,0,6,2,5,1,0,4
"025201","Dromgoole*",576,359,216,0,1,0,0,0,4,1,3,0
"025202","Edgerton",1797,544,1228,2,1,0,19,3,55,22,16,17
"025203","Fitzhugh*",1175,416,749,3,0,0,7,0,15,7,4,4
"025301","Alberta*",306,183,121,0,1,0,1,0,1,1,0,0
"025302","Danieltown",1454,762,670,5,11,0,5,1,22,18,1,3
"025303","Elmore",661,280,373,1,6,0,0,1,11,10,0,1
"025304","Seymour",672,327,335,2,3,1,1,3,6,0,1,5
"025401","Sturgeon",4787,1680,3055,8,12,0,24,8,41,9,8,24
"025402","King's Store",750,224,525,0,0,0,1,0,12,11,0,1
"025501","Lawrenceville",2855,962,1850,7,7,0,16,13,40,8,23,9
"027102","Blackey",829,829,0,0,0,0,0,0,1,1,0,0
"027103","Paw-Paw*",988,980,4,3,0,0,0,1,1,1,0,0
"027104","Hurley",1959,1951,1,4,2,0,0,1,18,18,0,0
"027299","Grassy 201 / Bull 202 / Rock Lick 203",3991,3969,2,13,1,2,2,2,4,4,0,0
"027301","Slate*",1970,1948,1,13,6,0,2,0,7,6,0,1
"027302","North Grundy",2308,2074,196,3,14,1,20,0,34,14,1,19
"027403","South Grundy",1456,1438,6,1,7,1,3,0,2,2,0,0
"027499","Park 402/Oakwood 404",1637,1593,31,2,9,0,2,0,4,4,0,0
"027501","Prater",1811,1808,1,1,1,0,0,0,4,2,1,1
"027502","Fox",326,323,2,0,1,0,0,0,0,0,0,0
"027503","Vansant",1416,1410,0,2,0,3,0,1,5,5,0,0
"027601","Council",1072,1072,0,0,0,0,0,0,4,4,0,0
"027602","Garden",1433,1426,0,3,4,0,0,0,12,8,0,4
"027603","Hurricane",1200,1197,0,2,0,0,1,0,8,7,0,1
"027701","Whitewood",2743,2247,472,8,9,0,7,0,14,8,0,6
"027702","Contrary",1264,1262,0,1,0,0,0,1,5,5,0,0
"027703","Patterson",575,574,0,1,0,0,0,0,5,5,0,0
"029101","New Canton*",1909,1201,677,14,0,0,16,1,26,6,4,16
"029201","White Hall*",2138,1356,743,17,4,1,8,9,22,16,1,5
"029301","Curdsville",1263,845,389,6,5,0,5,13,12,2,8,2
"029302","New Store",1008,763,234,6,0,1,3,1,12,3,8,1
"029401","Maysville*",1978,1340,610,7,6,0,10,5,18,6,7,5
"029501","Wrights*",876,609,253,5,0,0,2,7,7,3,0,4
"029502","Glenmore*",1291,898,378,7,4,0,2,2,4,4,0,0
"029601","Slate River*",2142,1065,1021,28,5,0,9,14,9,2,1,6
"029701","Gold Hill*",3018,1158,1842,5,7,0,6,0,16,9,0,7
"031101","Brookville*",4037,3737,167,12,93,0,20,8,30,15,2,13
"031102","New London*",2810,2602,142,19,33,1,9,4,16,5,2,9
"031201","Courthouse*",4027,3393,603,14,3,0,9,5,17,8,2,7
"031202","White's Church*",1244,1136,99,7,1,0,0,1,2,2,0,0
"031203","Morris Church*",2374,2088,244,8,3,3,16,12,29,18,0,11
"031301","Bedford Springs*",3329,2959,276,10,61,0,19,4,29,12,3,14
"031302","Walker*",4223,3697,387,22,79,1,30,7,62,28,6,28
"031401","Concord*",3620,2993,560,24,11,0,14,18,28,14,0,14
"031402","Kings*",2292,1823,437,12,8,1,8,3,20,12,1,7
"031403","Airport*",1515,1361,134,6,5,0,6,3,10,7,1,2
"031501","Brookneal*",4273,2825,1418,5,3,0,12,10,60,31,17,12
"031502","Gladys*",1595,1153,432,7,1,0,1,1,9,4,2,3
"031503","Staunton River*",693,425,266,0,1,0,0,1,3,3,0,0
"031601","Altavista*",3433,2550,848,10,10,0,11,4,32,16,9,7
"031602","Lynch Station*",2366,1873,465,5,5,0,15,3,4,0,0,4
"031603","Evington*",1356,1135,203,3,1,0,8,6,17,4,3,10
"031701","Yellow Branch*",3691,3189,454,11,12,0,14,11,28,18,1,9
"031702","Spring Hill*",4200,3577,548,27,32,2,7,7,27,21,3,3
"033101","Bowling Green*",4270,2887,1202,98,20,2,48,13,83,29,9,45
"033201","Madison*",6000,4511,1345,33,37,1,41,32,65,36,5,24
"033301","Port Royal*",1411,888,492,20,2,0,2,7,47,30,4,13
"033303","Woodford*",2514,1798,672,17,8,1,6,12,20,12,5,3
"033401","Reedy Church",4102,1865,2166,20,7,1,22,21,37,10,9,18
"033501","Mattaponi",3824,1893,1821,45,24,3,13,25,43,15,11,17
"035101","Mount Bethel*",1569,1530,5,8,3,5,16,2,24,7,0,17
"035102","St Paul*",2247,2213,2,9,1,0,16,6,33,18,0,15
"035199","Lambsburg 103/Oakland A 104",2354,2313,15,14,5,0,7,0,33,27,0,6
"035201","Hillsville B*",2642,2566,2,12,5,0,53,4,73,16,0,57
"035202","Laurel Fork*",1159,1132,6,1,0,0,20,0,21,1,0,20
"035203","Gladesboro*",1593,1587,0,2,2,0,2,0,15,13,0,2
"035204","Hillsville E*",313,308,0,1,0,0,4,0,5,1,0,4
"035301","Hillsville C*",3310,3253,5,14,9,0,26,3,50,30,0,20
"035302","Sylvatus*",1320,1310,2,4,1,0,3,0,6,3,0,3
"035303","Dugspur*",747,733,0,6,4,0,4,0,5,1,0,4
"035401","Hillsville D*",799,773,11,1,0,0,14,0,18,8,0,10
"0354021","Woodlawn D Part 1*",2600,2506,60,12,5,0,17,0,40,23,0,17
"0354022","Woodlawn D Part 2*",131,131,0,0,0,0,0,0,0,0,0,0
"035403","Oakland D*",1623,1555,11,9,1,1,46,0,83,40,0,43
"035404","Fancy Gap*",910,889,1,4,0,0,16,0,20,5,0,15
"035501","Vaughn*",1182,1166,1,7,0,0,8,0,10,2,0,8
"035502","Gladeville*",1921,1905,2,7,0,0,7,0,12,5,0,7
"035503","Woodlawn E*",1406,1392,5,6,2,0,1,0,9,7,0,2
"035504","Laurel*",1419,1389,13,1,2,0,14,0,22,8,0,14
"036101","Precinct 1-1*",2354,1069,1173,89,3,0,2,18,14,8,1,5
"036201","Precinct 2-1*",2455,586,1385,459,4,0,2,19,15,4,0,11
"036301","Precinct 3-1*",2117,815,1251,27,3,0,9,12,16,4,3,9
"037101","County Seat",1851,1391,429,11,6,0,13,1,24,12,1,11
"037201","Red Oak Wylliesburg*",1741,1089,626,5,13,0,7,1,18,9,1,8
"037301","Priddy's Store",145,106,39,0,0,0,0,0,0,0,0,0
"037302","Drakes Branch",1538,1117,410,4,0,0,5,2,19,10,2,7
"037401","Keysville*",2020,1382,605,2,4,0,25,2,66,40,5,21
"037501","Cullen",1341,784,529,6,2,0,10,10,9,5,1,3
"037503","Red House*",620,288,312,1,0,0,15,4,19,4,3,12
"037601","Aspen*",717,434,280,2,1,0,0,0,3,2,1,0
"037602","Phenix*",830,672,152,0,0,0,0,6,7,7,0,0
"037701","Bacon*",782,502,266,7,0,0,6,1,15,11,1,3
"037702","Saxe*",887,406,467,4,2,0,8,0,26,18,0,8
"041101","Bellwood*",6050,4205,1247,68,167,2,280,81,451,131,12,308
"041102","South Chester*",5066,4004,787,46,123,3,84,19,236,138,19,79
"041103","Enon*",3489,3072,322,17,41,0,24,13,65,38,3,24
"041104","North Chester*",5190,4610,381,33,92,7,58,9,128,63,4,61
"041105","Drewry's Bluff*",6649,3591,1998,52,251,11,666,80,1268,575,44,649
"041106","Harrowgate*",4191,3461,575,33,65,3,42,12,99,41,14,44
"041107","Wells*",6888,5109,1469,41,190,6,53,20,171,99,27,45
"041108","Ecoff*",4578,3945,406,43,117,11,44,12,78,42,4,32
"041109","Point Of Rocks",464,425,22,2,8,2,5,0,10,5,0,5
"041110","Dutch Gap",6500,5074,930,29,347,0,102,18,170,77,11,82
"041111","Iron Bridge*",2878,2236,471,16,113,0,21,21,39,15,2,22
"041201","Gates*",3928,2764,934,47,68,9,88,18,140,57,5,78
"041202","Beulah*",4661,2939,1433,24,169,1,58,37,100,42,6,52
"041203","Bird*",4184,2748,1174,39,89,5,117,12,145,27,12,106
"041204","Jacobs*",4078,3246,698,14,95,2,10,13,44,31,4,9
"041205","Falling Creek*",5202,3295,1506,38,231,4,98,30,106,26,6,74
"041206","Belmont*",6290,2634,2923,44,112,11,509,57,718,188,32,498
"041207","Chippenham*",6143,3506,2315,35,168,2,100,17,223,125,10,88
"041208","Meadowbrook*",4508,2398,1790,38,147,5,117,13,182,73,13,96
"041209","Salem Church*",5957,4680,1010,53,96,1,89,28,189,77,18,94
"041210","Five Forks",2939,2188,635,8,61,0,29,18,54,28,2,24
"041301","Ettrick*",5627,1209,4247,29,30,5,62,45,125,26,41,58
"041302","Deer Run*",5717,4969,491,32,140,4,65,16,96,40,3,53
"041303","Matoaca",5287,3208,1957,31,24,1,31,35,36,8,8,20
"041304","Winfrees Store",3161,2641,460,13,21,1,19,6,38,13,4,21
"041305","Beach*",4314,3963,217,11,86,0,31,6,54,33,0,21
"041306","Winterpock",3617,3273,300,17,11,1,7,8,22,14,1,7
"041309","Skinquarter*",2180,2094,56,5,23,0,1,1,18,16,2,0
"041310","Tomahawk",5480,5037,235,9,165,2,21,11,94,81,3,10
"041311","Walthall*",2023,1244,712,15,17,3,21,11,32,8,6,18
"041312","Evergreen*",4635,4066,358,10,180,0,20,1,61,43,1,17
"041313","Woolridge",3929,3553,215,5,141,0,12,3,39,36,0,3
"041314","Branches*",1361,946,380,3,8,2,17,5,22,10,0,12
"041315","Bailey Bridge*",4082,3668,305,21,48,0,30,10,62,36,1,25
"041316","Spring Run*",4561,3978,494,14,49,2,16,8,47,28,1,18
"041399","Pocahontas 307/Crenshaw 308",9601,7653,1538,70,147,5,137,51,285,148,8,129
"041402","Genito*",6833,5440,1080,41,164,2,81,25,155,66,16,73
"041403","Brandermill*",3816,3366,304,20,87,1,22,16,71,46,3,22
"041404","Providence",4313,3207,883,19,118,1,59,26,91,37,0,54
"041405","Lyndale*",2754,2309,277,2,133,3,14,16,22,13,0,9
"041406","Smoketree",3169,2953,91,6,87,1,29,2,48,28,1,19
"041407","Monacan",1922,1732,98,4,70,1,10,7,18,10,1,7
"041408","Reams",5878,3809,1653,54,222,5,103,32,154,39,8,107
"041409","Manchester*",4822,3082,1516,24,69,4,86,41,170,67,14,89
"041410","Wagstaff*",2385,1842,433,9,68,0,29,4,41,20,0,21
"041412","Davis",3573,2038,1316,26,83,1,96,13,169,69,5,95
"041499","Harbour Pointe 401/Swift Creek 411*",6294,5614,449,36,145,3,28,19,103,61,7,35
"041501","Huguenot*",3484,2765,562,13,87,1,50,6,77,31,4,42
"041502","Crestwood*",1987,1862,64,8,27,4,19,3,27,15,0,12
"041503","Midlothian*",4701,4164,349,10,127,0,39,12,70,32,3,35
"041504","Robious",3642,3392,104,10,122,0,13,1,35,28,1,6
"041505","Bon Air*",3914,3743,124,5,27,0,14,1,29,20,0,9
"041506","Greenfield",4370,3688,411,19,192,0,38,22,76,36,9,31
"041507","Salisbury",4178,3928,100,11,126,0,13,0,30,25,1,4
"041509","Cranbeck",2458,2032,245,4,113,1,52,11,72,23,5,44
"041510","Sycamore*",4317,3931,191,17,150,0,23,5,55,29,4,22
"041512","Shenandoah*",4221,3403,602,19,133,3,40,21,65,35,4,26
"041513","Beaufont*",2162,1226,558,27,196,1,140,14,227,82,13,132
"041514","Watkins*",3064,2737,170,11,131,1,12,2,36,26,0,10
"041599","Belgrade 508/Black Heath 511*",6238,5552,384,26,194,3,33,46,129,95,4,30
"043101","Russell*",3017,2898,64,11,22,1,21,0,37,22,1,14
"043201","Berryville",2043,1636,368,8,17,2,4,8,29,20,2,7
"043301","Millwood",1763,1608,107,10,12,0,14,12,31,17,0,14
"043302","Pine Grove",726,712,4,4,2,2,2,0,7,4,0,3
"043401","White Post*",2407,2110,255,11,10,1,17,3,37,25,1,11
"043501","Buckmarsh",1952,1848,63,0,11,3,21,6,40,19,0,21
"043502","Blue Ridge*",744,720,13,6,1,0,1,3,4,3,0,1
"045101","Court House",1041,1032,0,7,0,0,2,0,3,2,0,1
"045201","Ammendale",834,826,2,2,1,0,2,1,2,2,0,0
"045202","North Mountain",230,226,0,3,0,0,1,0,1,1,0,0
"045301","Givens and Reynolds Store*",669,663,1,1,4,0,0,0,2,2,0,0
"045399","Mcguire's Store 302/Marshall's Store 303*",379,379,0,0,0,0,0,0,1,1,0,0
"045401","Barbours Creek",284,274,4,5,0,0,1,0,1,0,0,1
"045402","Paint Bank*",143,143,0,0,0,0,0,0,2,2,0,0
"045499","Craig Springs 403/Forks of John Creek 404*",544,541,3,0,0,0,0,0,2,1,1,0
"045501","Craig City*",967,953,0,3,9,0,2,0,3,3,0,0
"047101","West Fairfax*",4037,3233,670,18,54,0,46,16,115,67,16,32
"047201","East Fairfax*",4360,2926,1191,12,79,4,116,32,241,119,4,118
"047301","Catalpa*",4650,4094,493,20,13,2,19,9,45,28,2,15
"047401","Eldorado*",1983,1661,270,15,1,1,23,12,31,4,5,22
"047402","Brown's Store*",2609,2223,319,20,22,1,13,11,28,14,1,13
