"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,172795,176963,-2.4%,-4168
2,174265,176963,-1.5%,-2698
3,178585,176963,0.9%,1622
4,176220,176963,-0.4%,-743
5,171926,176963,-2.8%,-5037
6,171744,176963,-2.9%,-5219
7,171243,176963,-3.2%,-5720
8,171266,176963,-3.2%,-5697
9,171928,176963,-2.8%,-5035
10,177317,176963,0.2%,354
11,178019,176963,0.6%,1056
12,174149,176963,-1.6%,-2814
13,172477,176963,-2.5%,-4486
14,171826,176963,-2.9%,-5137
15,176390,176963,-0.3%,-573
16,176875,176963,0%,-88
17,173816,176963,-1.8%,-3147
18,175284,176963,-0.9%,-1679
19,180083,176963,1.8%,3120
20,178058,176963,0.6%,1095
21,173254,176963,-2.1%,-3709
22,173325,176963,-2.1%,-3638
23,179588,176963,1.5%,2625
24,180746,176963,2.1%,3783
25,176802,176963,-0.1%,-161
26,181287,176963,2.4%,4324
27,180884,176963,2.2%,3921
28,179971,176963,1.7%,3008
29,178697,176963,1%,1734
30,181707,176963,2.7%,4744
31,176076,176963,-0.5%,-887
32,176612,176963,-0.2%,-351
33,179181,176963,1.3%,2218
34,181173,176963,2.4%,4210
35,181688,176963,2.7%,4725
36,180780,176963,2.2%,3817
37,180810,176963,2.2%,3847
38,181815,176963,2.7%,4852
39,178432,176963,0.8%,1469
40,181421,176963,2.5%,4458
