"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,68802,70785,-2.8%,-1983
2,68920,70785,-2.6%,-1865
3,71576,70785,1.1%,791
4,68470,70785,-3.3%,-2315
5,71571,70785,1.1%,786
6,70593,70785,-0.3%,-192
7,71764,70785,1.4%,979
8,71870,70785,1.5%,1085
9,68826,70785,-2.8%,-1959
10,69125,70785,-2.3%,-1660
11,68742,70785,-2.9%,-2043
12,71768,70785,1.4%,983
13,71411,70785,0.9%,626
14,69790,70785,-1.4%,-995
15,72140,70785,1.9%,1355
16,69867,70785,-1.3%,-918
17,71667,70785,1.2%,882
18,71027,70785,0.3%,242
19,70700,70785,-0.1%,-85
20,68430,70785,-3.3%,-2355
21,72518,70785,2.4%,1733
22,69362,70785,-2%,-1423
23,71838,70785,1.5%,1053
24,69033,70785,-2.5%,-1752
25,72513,70785,2.4%,1728
26,69624,70785,-1.6%,-1161
27,71476,70785,1%,691
28,72335,70785,2.2%,1550
29,72101,70785,1.9%,1316
30,72237,70785,2.1%,1452
31,72183,70785,2%,1398
32,69705,70785,-1.5%,-1080
33,70407,70785,-0.5%,-378
34,70497,70785,-0.4%,-288
35,68509,70785,-3.2%,-2276
36,69515,70785,-1.8%,-1270
37,72435,70785,2.3%,1650
38,68909,70785,-2.7%,-1876
39,70913,70785,0.2%,128
40,71877,70785,1.5%,1092
41,71995,70785,1.7%,1210
42,70888,70785,0.1%,103
43,69578,70785,-1.7%,-1207
44,70384,70785,-0.6%,-401
45,70694,70785,-0.1%,-91
46,71739,70785,1.3%,954
47,70351,70785,-0.6%,-434
48,72764,70785,2.8%,1979
49,72080,70785,1.8%,1295
50,71179,70785,0.6%,394
51,69176,70785,-2.3%,-1609
52,69342,70785,-2%,-1443
53,69559,70785,-1.7%,-1226
54,72324,70785,2.2%,1539
55,72207,70785,2%,1422
56,71807,70785,1.4%,1022
57,70334,70785,-0.6%,-451
58,69686,70785,-1.6%,-1099
59,72510,70785,2.4%,1725
60,69735,70785,-1.5%,-1050
61,68733,70785,-2.9%,-2052
62,69485,70785,-1.8%,-1300
63,70548,70785,-0.3%,-237
64,71162,70785,0.5%,377
65,71042,70785,0.4%,257
66,71154,70785,0.5%,369
67,71130,70785,0.5%,345
68,71802,70785,1.4%,1017
69,72030,70785,1.8%,1245
70,71460,70785,1%,675
71,70428,70785,-0.5%,-357
72,71683,70785,1.3%,898
73,72611,70785,2.6%,1826
74,72208,70785,2%,1423
75,72386,70785,2.3%,1601
76,70872,70785,0.1%,87
77,71040,70785,0.4%,255
78,72432,70785,2.3%,1647
79,70795,70785,0%,10
80,69975,70785,-1.1%,-810
81,70486,70785,-0.4%,-299
82,72033,70785,1.8%,1248
83,72415,70785,2.3%,1630
84,72004,70785,1.7%,1219
85,71159,70785,0.5%,374
86,69090,70785,-2.4%,-1695
87,69898,70785,-1.3%,-887
88,70372,70785,-0.6%,-413
89,69733,70785,-1.5%,-1052
90,72880,70785,3%,2095
91,71255,70785,0.7%,470
92,71873,70785,1.5%,1088
93,68684,70785,-3%,-2101
94,68939,70785,-2.6%,-1846
95,69018,70785,-2.5%,-1767
96,71042,70785,0.4%,257
97,70433,70785,-0.5%,-352
98,69918,70785,-1.2%,-867
99,68776,70785,-2.8%,-2009
100,72153,70785,1.9%,1368
