"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,68802,67484,98.1%,653,0.9%,350,0.5%,134,0.2%,11,126,44,339,0.5%
2,68920,66579,96.6%,1666,2.4%,227,0.3%,184,0.3%,14,205,45,513,0.7%
3,71576,68987,96.4%,1780,2.5%,241,0.3%,365,0.5%,8,130,65,356,0.5%
4,68470,65926,96.3%,1756,2.6%,305,0.4%,257,0.4%,25,145,56,491,0.7%
5,71571,68161,95.2%,2563,3.6%,299,0.4%,146,0.2%,14,330,58,666,0.9%
6,70593,67599,95.8%,1610,2.3%,309,0.4%,209,0.3%,18,796,52,1570,2.2%
7,71764,67034,93.4%,3482,4.9%,317,0.4%,457,0.6%,18,332,124,619,0.9%
8,71870,67441,93.8%,2543,3.5%,257,0.4%,1153,1.6%,21,357,98,736,1%
9,68826,56410,82%,11615,16.9%,251,0.4%,181,0.3%,6,266,97,611,0.9%
10,69125,58620,84.8%,9141,13.2%,257,0.4%,239,0.3%,24,724,120,1558,2.3%
11,68742,48627,70.7%,18644,27.1%,213,0.3%,343,0.5%,24,772,119,1718,2.5%
12,71768,63800,88.9%,2994,4.2%,277,0.4%,3588,5%,46,788,275,1224,1.7%
13,71411,56652,79.3%,7318,10.2%,467,0.7%,2488,3.5%,71,3999,416,6441,9%
14,69790,60393,86.5%,7194,10.3%,341,0.5%,1019,1.5%,16,648,179,908,1.3%
15,72140,69478,96.3%,1070,1.5%,336,0.5%,279,0.4%,27,892,58,1746,2.4%
16,69867,46894,67.1%,20888,29.9%,318,0.5%,837,1.2%,34,554,342,910,1.3%
17,71667,51267,71.5%,13981,19.5%,481,0.7%,2949,4.1%,169,2231,589,4572,6.4%
18,71027,65390,92.1%,4512,6.4%,374,0.5%,433,0.6%,26,205,87,477,0.7%
19,70700,64833,91.7%,4914,7%,334,0.5%,313,0.4%,15,191,100,450,0.6%
20,68430,41544,60.7%,25757,37.6%,195,0.3%,374,0.5%,14,401,145,955,1.4%
21,72518,43814,60.4%,18315,25.3%,503,0.7%,7616,10.5%,126,1427,717,3282,4.5%
22,69362,56416,81.3%,10752,15.5%,325,0.5%,1085,1.6%,30,524,230,902,1.3%
23,71838,54745,76.2%,4767,6.6%,324,0.5%,9628,13.4%,94,1778,502,3984,5.5%
24,69033,48754,70.6%,18733,27.1%,467,0.7%,470,0.7%,25,342,242,647,0.9%
25,72513,64376,88.8%,6607,9.1%,355,0.5%,440,0.6%,16,551,168,1150,1.6%
26,69624,62346,89.5%,3198,4.6%,225,0.3%,1652,2.4%,34,1966,203,4562,6.6%
27,71476,48604,68%,18071,25.3%,512,0.7%,1891,2.6%,54,1889,455,3379,4.7%
28,72335,59177,81.8%,9497,13.1%,546,0.8%,1461,2%,97,1211,346,2571,3.6%
29,72101,65628,91%,3952,5.5%,374,0.5%,771,1.1%,33,1177,166,2300,3.2%
