"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp"
1,53552,52621,98%,438,0.8%,275,0.5%,105,0.2%,9,73,31,222,0.4%
2,53844,51973,97%,1380,2.6%,185,0.3%,136,0.3%,11,135,24,362,0.7%
3,56238,54375,97%,1290,2.3%,210,0.4%,248,0.4%,6,74,35,234,0.4%
4,54335,52551,97%,1222,2.2%,237,0.4%,175,0.3%,18,97,35,341,0.6%
5,56430,53680,95%,2162,3.8%,232,0.4%,110,0.2%,9,196,41,460,0.8%
6,55473,53440,96%,1115,2%,226,0.4%,158,0.3%,10,492,32,985,1.8%
7,57532,53880,94%,2685,4.7%,257,0.4%,358,0.6%,15,248,89,458,0.8%
8,55780,52644,94%,1848,3.3%,201,0.4%,783,1.4%,13,223,68,476,0.9%
9,53837,44738,83%,8554,15.9%,185,0.3%,131,0.2%,3,160,66,405,0.8%
10,53585,45940,86%,6736,12.6%,202,0.4%,157,0.3%,18,459,73,1049,2%
11,53084,38606,73%,13466,25.4%,167,0.3%,242,0.5%,13,508,82,1220,2.3%
12,60414,53783,89%,2363,3.9%,232,0.4%,3143,5.2%,40,638,215,989,1.6%
13,50896,41122,81%,4701,9.2%,323,0.6%,1760,3.5%,55,2677,258,4316,8.5%
14,54069,47755,88%,4812,8.9%,275,0.5%,709,1.3%,10,392,116,609,1.1%
15,55712,53927,97%,733,1.3%,250,0.4%,190,0.3%,16,570,26,1099,2%
16,54083,38198,71%,14409,26.6%,261,0.5%,612,1.1%,25,366,212,623,1.2%
17,48863,35877,73%,8847,18.1%,327,0.7%,1978,4%,112,1412,310,2860,5.9%
18,56298,51951,92%,3526,6.3%,280,0.5%,335,0.6%,20,124,62,335,0.6%
19,54357,50052,92%,3662,6.7%,245,0.5%,204,0.4%,13,115,66,307,0.6%
20,52393,33949,65%,17694,33.8%,153,0.3%,265,0.5%,11,230,91,594,1.1%
21,50361,31786,63%,11435,22.7%,340,0.7%,5460,10.8%,91,902,347,2050,4.1%
22,54107,45085,83%,7466,13.8%,239,0.4%,818,1.5%,19,342,138,635,1.2%
23,50962,39210,77%,3249,6.4%,228,0.4%,6741,13.2%,55,1175,304,2673,5.2%
24,51857,37502,72%,13273,25.6%,358,0.7%,339,0.7%,18,205,162,453,0.9%
25,56244,50465,90%,4729,8.4%,274,0.5%,312,0.6%,12,343,109,767,1.4%
26,56446,51024,90%,2413,4.3%,189,0.3%,1330,2.4%,26,1316,148,3078,5.5%
27,51570,36571,71%,11803,22.9%,370,0.7%,1288,2.5%,34,1258,246,2271,4.4%
28,52968,44371,84%,6177,11.7%,385,0.7%,1014,1.9%,48,793,180,1663,3.1%
29,54152,49767,92%,2645,4.9%,284,0.5%,557,1%,17,784,98,1536,2.8%
30,53261,43673,82%,8300,15.6%,301,0.6%,406,0.8%,13,451,117,1056,2%
31,53969,49099,91%,3753,7%,330,0.6%,366,0.7%,28,315,78,890,1.6%
32,49076,39128,80%,3071,6.3%,197,0.4%,4710,9.6%,55,1667,248,3330,6.8%
33,51508,47467,92%,2688,5.2%,213,0.4%,537,1%,28,480,95,1117,2.2%
34,54059,44555,82%,1139,2.1%,151,0.3%,6712,12.4%,31,1286,185,2829,5.2%
35,49484,36466,74%,3534,7.1%,178,0.4%,6375,12.9%,25,2585,321,5241,10.6%
36,51770,38627,75%,3751,7.2%,248,0.5%,5667,10.9%,43,3042,392,5468,10.6%
37,58185,43300,74%,3617,6.2%,263,0.5%,8548,14.7%,42,2072,343,4393,7.6%
38,54118,39446,73%,2248,4.2%,268,0.5%,7870,14.5%,42,3963,281,7870,14.5%
39,54291,34338,63%,4379,8.1%,228,0.4%,10464,19.3%,60,4290,532,7650,14.1%
40,49301,40404,82%,3823,7.8%,198,0.4%,3262,6.6%,21,1356,237,2822,5.7%
41,52428,40588,77%,2381,4.5%,204,0.4%,7429,14.2%,53,1514,259,3450,6.6%
42,52576,35533,68%,7647,14.5%,266,0.5%,6427,12.2%,70,2256,377,4684,8.9%
43,53229,36509,69%,6570,12.3%,261,0.5%,6623,12.4%,79,2750,437,5468,10.3%
