"DISTRICT","VAP","VAPWHITE","% White","VAPBLACK","% Black","VAPAMIND","% AmInd","VAPASIAN","% Asian","VAPHAWPI","VAPOTHER","VAPMULTI","VAPHISP","% Hisp","VAPHISPW","VAPHISPB","VAPHISPO"
1,527483,406472,77.1%,99263,18.8%,3751,0.7%,9474,1.8%,454,6058,2011,12664,2.4%,6011,847,5806
2,424443,297252,70%,91016,21.4%,3257,0.8%,21739,5.1%,571,7892,2716,16302,3.8%,7288,1337,7677
3,421142,177501,42.1%,224437,53.3%,3110,0.7%,6978,1.7%,407,5827,2882,10369,2.5%,3300,1446,5623
4,476626,281688,59.1%,180236,37.8%,2742,0.6%,6444,1.4%,332,3503,1681,7809,1.6%,3373,1073,3363
5,481609,361631,75.1%,109307,22.7%,1713,0.4%,4940,1%,145,2873,1000,6914,1.4%,3649,573,2692
6,474652,411042,86.6%,51613,10.9%,2198,0.5%,5090,1.1%,154,3538,1017,7743,1.6%,4391,379,2973
7,520069,429619,82.6%,67564,13%,2501,0.5%,13235,2.5%,179,5484,1487,10718,2.1%,5405,426,4887
8,497431,343436,69%,66139,13.3%,2554,0.5%,45895,9.2%,553,34095,4759,61978,12.5%,28798,1358,31822
9,462720,440691,95.2%,12967,2.8%,1910,0.4%,4524,1%,120,1988,520,4136,0.9%,2496,119,1521
10,571868,481514,84.2%,37450,6.5%,2753,0.5%,32330,5.7%,408,15387,2026,29668,5.2%,15047,579,14042
11,482210,330596,68.6%,50164,10.4%,2548,0.5%,63465,13.2%,539,30957,3941,58539,12.1%,28530,1151,28858
