"DISTRICT","TOTALPOP","Targ.","% Dev.","Deviation"
1,643584,643501.3636,0%,83
2,643543,643501.3636,0%,42
3,643430,643501.3636,0%,-71
4,643396,643501.3636,0%,-105
5,643426,643501.3636,0%,-75
6,643432,643501.3636,0%,-69
7,643573,643501.3636,0%,72
8,643456,643501.3636,0%,-45
9,643564,643501.3636,0%,63
10,643585,643501.3636,0%,84
11,643526,643501.3636,0%,25
