"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,476632,366307,76.9%,91826,19.3%,3588,0.8%,7469,1.6%,392,5389,1661,11156,2.3%,5270,724,5162
2,467200,336425,72%,95295,20.4%,3412,0.7%,22063,4.7%,563,6879,2563,15051,3.2%,7183,1202,6666
3,480579,220868,46%,234534,48.8%,3520,0.7%,9834,2%,505,7861,3457,14115,2.9%,4659,1755,7701
4,483339,282754,58.5%,186045,38.5%,2618,0.5%,5661,1.2%,336,4168,1757,8762,1.8%,3759,1090,3913
5,497591,377197,75.8%,107934,21.7%,1806,0.4%,6326,1.3%,138,3073,1117,7242,1.5%,3919,543,2780
6,498929,444941,89.2%,42374,8.5%,2365,0.5%,4255,0.9%,167,3882,945,8627,1.7%,4889,367,3371
7,480332,391370,81.5%,68343,14.2%,2340,0.5%,12214,2.5%,176,4520,1369,8930,1.9%,4495,416,4019
8,511170,349650,68.4%,64587,12.6%,2654,0.5%,49109,9.6%,564,39459,5147,70839,13.9%,32613,1395,36831
9,509373,484214,95.1%,14960,2.9%,2090,0.4%,5130,1%,131,2279,569,4673,0.9%,2770,142,1761
10,457356,372961,81.5%,35318,7.7%,2250,0.5%,29913,6.5%,389,14608,1917,28044,6.1%,13868,591,13585
11,477752,334755,70.1%,48940,10.2%,2394,0.5%,62140,13%,501,25484,3538,49401,10.3%,24863,1063,23475
