"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,643556,643501.3636,0%,55
2,643674,643501.3636,0%,173
3,643460,643501.3636,0%,-41
4,643467,643501.3636,0%,-34
5,643401,643501.3636,0%,-100
6,643458,643501.3636,0%,-43
7,643467,643501.3636,0%,-34
8,643487,643501.3636,0%,-14
9,643472,643501.3636,0%,-29
10,643515,643501.3636,0%,14
11,643558,643501.3636,0%,57
