"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,478234,370620,77.5%,87903,18.4%,3479,0.7%,9066,1.9%,428,4810,1928,10883,2.3%,5486,800,4597
2,477410,336514,70.5%,102111,21.4%,3735,0.8%,22004,4.6%,610,9500,2936,18721,3.9%,7956,1522,9243
3,475669,201893,42.4%,253587,53.3%,3401,0.7%,7479,1.6%,462,5808,3039,10593,2.2%,3529,1467,5597
4,474665,297883,62.8%,160801,33.9%,2634,0.6%,7095,1.5%,302,4388,1562,9205,1.9%,4048,969,4188
5,497647,378128,76%,107882,21.7%,1785,0.4%,5793,1.2%,136,2878,1045,6971,1.4%,3764,571,2636
6,500279,436773,87.3%,50812,10.2%,2321,0.5%,5149,1%,167,4034,1023,8726,1.7%,4853,386,3487
7,480323,398346,82.9%,62205,13%,2257,0.5%,11681,2.4%,171,4337,1326,8660,1.8%,4436,381,3843
8,515221,340446,66.1%,69300,13.5%,2658,0.5%,53463,10.4%,543,43339,5472,77085,15%,35112,1553,40420
9,509565,483573,94.9%,16165,3.2%,2117,0.4%,4702,0.9%,131,2297,580,4817,0.9%,2885,142,1790
10,463295,372391,80.4%,32840,7.1%,2223,0.5%,35354,7.6%,329,17973,2185,33787,7.3%,16505,584,16698
11,467945,344875,73.7%,46550,9.9%,2427,0.5%,52328,11.2%,583,18238,2944,37392,8%,19714,913,16765
