
	District	1	Population Deviation: 	-4,168	Percent Deviation:	-2.4
	Chesterfield (Part)	82,553
	041	306	Winterpock	3,617
	041	309	Skinquarter*	2,180
	041	312	Evergreen*	4,635
	041	313	Woolridge	3,929
	041	402	Genito*	6,833
	041	403	Brandermill*	3,816
	041	406	Smoketree	3,169
	041	407	Monacan	1,922
	041	408	Reams	5,878
	041	501	Huguenot*	3,484
	041	502	Crestwood*	1,987
	041	503	Midlothian*	4,701
	041	504	Robious	3,642
	041	505	Bon Air*	3,914
	041	506	Greenfield	4,370
	041	507	Salisbury	4,178
	041	509	Cranbeck	2,458
	041	510	Sycamore*	4,317
	041	512	Shenandoah*	4,221
	041	514	Watkins*	3,064
	041	599	Belgrade 508/Black Heath 511*	6,238
	Henrico (Part)	30,833
	087	105	Greendale*	2,750
	087	107	Hilliard*	1,790
	087	109	Johnson*	3,531
	087	115	Stratford Hall*	750
	087	116	Summit Court*	1,892
	087	203	Bloomingdale*	1,761
	087	205	Canterbury*	565
	087	308	Monument Hills*	1,200
	087	315	Westwood*	2,544
	087	403	Derbyshire*	2,137
	087	406	Maybeury*	5,581
	087	407	Mooreland*	2,018
	087	413	Tuckahoe*	4,314
	Richmond city (Part)	41,554
	760	101	101	4,625
	760	102	102	1,349
	760	103	103*	2,072
	760	104	104*	1,279
	760	105	105*	2,135
	760	106	106	1,999
	760	111	111*	1,911
	760	112	112*	1,668
	760	113	113*	2,501
	760	114	114*	3,398
	760	204	204*	3,011
	760	309	309*	1,544
	760	409	409*	3,496
	760	410	410*	4,582
	760	411	411*	997
	760	413	413*	2,249
	760	501	501*	2,738
	District number-	10	Total	177,317	Population Deviation: 	354	Percent Deviation:	0.2	%
	Population:

	District	11	Population Deviation: 	1,056	Percent Deviation:	0.6

	Counties and Cities	16,897
	570	Colonial Heights city	16,897
	Chesterfield (Part)	161,122
	041	101	Bellwood*	6,050
	041	102	South Chester*	5,066
	041	104	North Chester*	5,190
	041	105	Drewry's Bluff*	6,649
	041	106	Harrowgate*	4,191
	041	107	Wells*	6,888
	041	108	Ecoff*	4,578
	041	110	Dutch Gap	6,500
	041	111	Iron Bridge*	2,878
	041	201	Gates*	3,928
	041	202	Beulah*	4,661
	041	203	Bird*	4,184
	041	204	Jacobs*	4,078
	041	205	Falling Creek*	5,202
	041	206	Belmont*	6,290
	041	207	Chippenham*	6,143
	041	208	Meadowbrook*	4,508
	041	209	Salem Church*	5,957
	041	210	Five Forks	2,939
	041	302	Deer Run*	5,717
	041	304	Winfrees Store	3,161
	041	305	Beach*	4,314
	041	310	Tomahawk	5,480
	041	311	Walthall*	2,023
	041	315	Bailey Bridge*	4,082
	041	316	Spring Run*	4,561
	041	399	Pocahontas 307/Crenshaw 308	9,601
	041	404	Providence	4,313
	041	405	Lyndale*	2,754
	041	409	Manchester*	4,822
	041	410	Wagstaff*	2,385
	041	412	Davis	3,573
	041	499	Harbour Pointe 401/Swift Creek 411*	6,294
	041	513	Beaufont*	2,162
	District number-	11	Total	178,019	Population Deviation: 	1,056	Percent Deviation:	0.6	%
	Population:

	District	12	Population Deviation: 	-2,814	Percent Deviation:	-1.6

	Counties and Cities	30,009
	075	Goochland	16,863
	101	King William	13,146
	Hanover (Part)	33,721
	085	101	Ashland*	6,376
	085	102	South Ashland*	1,169
	085	103	Ashcake*	3,020
	085	201	Beaverdam*	3,635
	085	202	Blunts*	1,652
	085	203	Wilmington Parish*	3,031
	085	204	Goddin's Hill*	2,149
	085	501	Courthouse*	1,415
	085	701	Farrington*	2,676
	085	702	Montpelier*	4,544
	085	703	Rockville*	2,594
	085	704	Elmont*	1,460
	Henrico (Part)	110,419
	087	103	Glen Allen*	4,402
	087	111	Longan*	4,297
	087	114	Staples Mill*	4,924
	087	301	Cardinal*	605
	087	302	Coalpit*	5,274
	087	304	Freeman*	2,329
	087	305	Innsbrook*	6,198
	087	306	Jackson Davis*	2,667
	087	307	Lauderdale*	3,560
	087	309	Ridge*	2,238
	087	310	Sadler*	8,140
	087	311	Cedarfield	5,749
	087	312	Skipwith*	4,095
	087	313	Three Chopt*	3,075
	087	314	Tucker*	6,593
	087	316	Causeway*	6,276
	087	317	Stoney Run	5,096
	087	401	Byrd*	3,641
	087	402	Lakewood*	3,074
	087	404	Gayton*	3,973
	087	405	G0dwin*	2,979
	087	408	Pemberton*	4,201
	087	409	Pinchbeck*	4,804
	087	410	Ridgefield*	4,174
	087	411	Rollingwood*	2,157
	087	412	Spottswood*	1,357
	087	414	West End*	4,541
	District number-	12	Total	174,149	Population Deviation: 	-2,814	Percent Deviation:	-1.6	%
	Population:

	District	13	Population Deviation: 	-4,486	Percent Deviation:	-2.5

	Counties and Cities	131,592
	025	Brunswick	18,419
	053	Dinwiddie	24,533
	081	Greensville	11,560
	093	Isle of Wight	29,728
	181	Surry	6,829
	183	Sussex	12,504
	595	Emporia city	5,665
	670	Hopewell city	22,354
	Prince George (Part)	25,260
	149	101	Richard Bland College*	1,554
	149	102	Templeton*	3,476
	149	103	Union Branch*	2,555
	149	104	Rives*	3,594
	149	202	Blackwater*	3,590
	149	203	Brandon*	3,132
	149	204	Courts Bldg*	3,085
	149	201	Bland*	4,274
	Southampton (Part)	15,625
	175	101	Berlin*	1,099
	175	102	Ivor*	1,474
	175	201	Boykins*	1,601
	175	202	Branchville*	528
	175	301	Capron*	1,312
	175	302	Sebrell*	778
	175	401	Drewryville*	2,738
	175	501	Hunterdale*	1,553
	175	601	Courtland*	2,360
	175	602	Sedley*	756
	175	702	Newsoms*	1,426
	District number-	13	Total	172,477	Population Deviation: 	-4,486	Percent Deviation:	-2.5	%
	Population:

	District	14	Population Deviation: 	-5,137	Percent Deviation:	-2.9

	Counties and Cities	8,346
	620	Franklin city	8,346
	Southampton (Part)	1,857
	175	502	Forks-of-the-River*	617
	175	701	Blackwater River*	1,240
	Chesapeake city (Part)	117,525
	550	001	Great Bridge*	4,558
	550	002	Bethel*	3,796
	550	006	Deep Creek*	5,057
	550	007	Greenbrier*	7,560
	550	009	Bells Mill*	4,619
	550	010	Oscar Smith School*	2,384
	550	011	Geneva Park	5,335
	550	013	Gilmerton*	3,094
	550	015	B. M. Williams School*	4,476
	550	018	Indian River*	3,935
	550	022	Norfolk Highlands*	2,784
	550	023	Oak Grove*	7,349
	550	025	St. Julians*	964
	550	033	Westover*	2,276
	550	034	Hickory Middle School*	8,923
	550	036	Great Bridge Middle School*	6,546
	550	037	Bridgetown*	6,025
	550	039	Lake Drummond*	1,525
	550	040	River Birch*	5,244
	550	041	John T. West*	6,739
	550	042	Parkways*	6,495
	550	043	Pleasant Crossing*	6,280
	550	046	Bells Mill II*	2,831
	550	047	Green Sea*	3,583
	550	0141	Grassfield Part 1*	628
	550	0142	Grassfield Part 2*	49
	550	008	South Norfolk Recreation*	4,470
	Suffolk city (Part)	41,748
	800	202	Chuckatuck	2,392
	800	203	King's Fork	6,397
	800	301	White Marsh	3,081
	800	303	Cypress Chapel*	1,505
	800	401	Airport*	5,660
	800	402	Whaleyville*	1,571
	800	501	Kilby's Mill*	3,717
	800	502	Holland*	2,067
	800	503	Holy Neck*	1,681
	800	601	Lakeside*	4,643
	800	602	Olde Towne*	2,784
	800	701	Hollywood*	2,455
	800	702	Elephant's Fork*	3,004
	800	704	Lake Meade*	791
	Chesapeake city029 (Part)	2,350
	District number-	14	Total	171,826	Population Deviation: 	-5,137	Percent Deviation:	-2.9	%
	Population:

	District	15	Population Deviation: 	-573	Percent Deviation:	-0.3

	Counties and Cities	176,390
	007	Amelia	11,400
	011	Appomattox	13,705
	029	Buckingham	15,623
	049	Cumberland	9,017
	065	Fluvanna	20,047
	109	Louisa	25,627
	111	Lunenburg	13,146
	117	Mecklenburg	32,380
	135	Nottoway	15,725
	147	Prince Edward	19,720
	District number-	15	Total	176,390	Population Deviation: 	-573	Percent Deviation:	-0.3	%
	Population:

	District	16	Population Deviation: 	-88	Percent Deviation:	0.0

	Counties and Cities	40,666
	036	Charles City	6,926
	730	Petersburg city	33,740
	Chesterfield (Part)	16,228
	041	103	Enon*	3,489
	041	109	Point Of Rocks	464
	041	301	Ettrick*	5,627
	041	303	Matoaca	5,287
	041	314	Branches*	1,361
	Henrico (Part)	50,227
	087	204	Brook Hill*	1,302
	087	210	Glen Lea*	1,646
	087	219	Yellow Tavern*	2,924
	087	220	Maplewood*	2,830
	087	222	Landmark*	511
	087	501	Cedar Fork*	1,244
	087	502	Chickahominy*	2,948
	087	503	Donahoe*	3,203
	087	504	Eanes*	3,304
