"Fips","Name","Vap","Vap
White","Vap
Black","Vap
Am. Ind","Vap
Asian","Vap
HawPI","Vap
Other","Vap
Multi","Vap
Hisp","Vap
HispW","Vap
HispB","Vap
HispO"
"001","Accomack",28986,19332,8358,170,65,21,986,54,1384,361,39,984
"003","Albemarle",59553,51263,5616,214,1786,11,533,130,1365,866,44,455
"005","Alleghany",9975,9669,207,49,27,2,19,2,28,19,2,7
"007","Amelia",8511,6049,2364,48,13,0,29,8,63,23,12,28
"009","Amherst",24408,19258,4639,240,88,8,100,75,223,97,31,95
"011","Appomattox",10322,8023,2219,24,19,3,20,14,46,24,3,19
"013","Arlington",158214,112370,14330,874,14586,156,14323,1575,26101,12179,415,13507
"015","Augusta",50048,47523,1980,194,164,16,145,26,407,275,5,127
"017","Bath",3986,3632,306,20,17,5,2,4,14,13,0,1
"019","Bedford",45871,42380,2905,209,227,9,102,39,293,197,9,87
"021","Bland",5537,5212,283,17,10,3,8,4,23,16,3,4
"023","Botetourt",23358,22211,864,101,109,4,48,21,126,86,2,38
"025","Brunswick",14652,6417,8093,28,30,0,60,24,177,79,45,53
"027","Buchanan",21205,20586,504,52,37,5,16,5,82,69,1,12
"029","Buckingham",12124,7234,4726,59,22,2,39,42,92,37,24,31
"031","Campbell",38842,32751,5505,152,249,4,112,69,300,164,41,95
"033","Caroline",16645,10561,5653,180,73,8,91,79,207,98,25,84
"035","Carroll",23080,22697,93,90,30,2,157,11,277,123,0,154
"036","Charles City",5393,1963,2938,438,10,0,11,33,39,15,4,20
"037","Charlotte",9439,6310,3002,31,21,0,52,23,158,101,9,48
"041","Chesterfield",186476,145980,31441,1023,4641,93,2677,621,5000,2280,244,2476
"043","Clarke",9694,8826,692,40,54,8,52,22,132,77,3,52
"045","Craig",3889,3851,3,18,8,0,8,1,16,13,1,2
"047","Culpeper",25449,20091,4649,146,206,5,280,72,597,287,23,287
"049","Cumberland",6786,4206,2454,39,31,0,45,11,98,33,15,50
"051","Dickenson",12776,12658,41,44,14,0,13,6,50,48,0,2
"053","Dinwiddie",18648,12117,6261,80,81,17,61,31,135,55,23,57
"057","Essex",7698,4659,2856,64,64,2,29,24,55,21,18,16
"059","Fairfax",722514,515647,59601,3247,99294,680,38936,5109,74868,37954,1380,35534
"059","Fairfax - A",971,467,461,0,23,0,20,0,154,121,13,20
"061","Fauquier",40344,35688,3730,224,312,27,289,74,739,459,23,257
"063","Floyd",10794,10451,225,44,17,2,44,11,140,99,2,39
"065","Fluvanna",15325,12267,2856,65,66,6,44,21,159,91,21,47
"067","Franklin",36786,33005,3317,136,134,10,141,43,377,217,21,139
"069","Frederick",43606,41689,1118,196,309,11,229,54,607,368,6,233
"071","Giles",12989,12666,220,37,36,2,21,7,59,52,0,7
"073","Gloucester",25664,22372,2656,231,237,20,104,44,327,202,10,115
"075","Goochland",13276,9653,3452,54,68,2,26,21,92,48,13,31
"077","Grayson",14420,13121,1118,74,17,4,82,4,184,103,2,79
"079","Greene",11070,10193,675,54,61,4,68,15,126,68,1,57
"081","Greensville",9453,3755,5593,11,37,2,46,9,78,29,16,33
"083","Halifax",28620,17794,10457,108,88,1,108,64,286,144,38,104
"085","Hanover",62957,55813,5924,343,550,7,220,100,536,316,20,200
"087","Henrico",197598,140623,45396,1088,7474,82,2218,717,4124,2006,265,1853
"089","Henry",45007,34292,9683,142,174,13,626,77,1427,761,33,633
"091","Highland",2032,2022,2,5,2,0,1,0,8,7,0,1
"093","Isle of Wight",22184,15950,5915,116,88,7,63,45,166,89,20,57
"095","James City",36889,30820,4987,183,601,25,171,102,514,328,28,158
"097","King and Queen",5123,3197,1797,82,17,1,8,21,36,17,12,7
"099","King George",12132,9558,2210,110,152,9,62,31,186,125,5,56
"101","King William",9713,7209,2230,185,37,0,30,22,80,36,17,27
"103","Lancaster",9375,6889,2394,31,33,6,13,9,38,20,8,10
"105","Lee",18217,17951,75,118,44,3,13,13,76,56,1,19
"107","Loudoun",119044,99408,8333,508,6968,92,3245,490,6672,3609,125,2938
"109","Louisa",19372,14969,4122,117,61,3,45,55,121,67,16,38
"111","Lunenburg",10343,6196,3944,43,27,9,94,30,189,66,23,100
"113","Madison",9503,8291,1087,28,54,2,25,16,67,43,4,20
"115","Mathews",7376,6493,795,28,19,0,31,10,50,26,1,23
"117","Mecklenburg",25396,15558,9496,88,91,6,115,42,267,121,42,104
"119","Middlesex",8023,6370,1565,33,13,0,30,12,44,22,1,21
"121","Montgomery",69287,62371,2543,276,3159,44,665,229,1048,581,47,420
"121","Montgomery - A",2,2,0,0,0,0,0,0,0,0,0,0
"125","Nelson",11312,9440,1657,53,31,10,66,55,209,129,17,63
"127","New Kent",10099,8112,1685,159,60,2,62,19,104,45,11,48
"131","Northampton",10045,5652,4096,35,22,3,214,23,286,60,20,206
"133","Northumberland",9973,7539,2348,27,23,0,24,12,75,36,16,23
"135","Nottoway",12127,6999,4896,36,52,3,123,18,172,34,16,122
"137","Orange",19926,17020,2635,93,76,4,76,22,231,142,10,79
"139","Page",17854,17257,364,83,53,3,86,8,151,80,0,71
"141","Patrick",15189,14029,917,58,33,6,132,14,238,93,21,124
"143","Pittsylvania",47515,36166,10862,136,112,3,169,67,476,247,55,174
"145","Powhatan",17008,13643,3158,67,48,4,61,27,128,86,3,39
