"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,643518,481510,74.8%,131996,20.5%,4758,0.7%,12094,1.9%,639,9136,3385,18730,2.9%
2,643565,450500,70%,144337,22.4%,4624,0.7%,28818,4.5%,784,9973,4529,22539,3.5%
3,643427,269365,41.9%,342499,53.2%,4632,0.7%,11546,1.8%,627,9569,5189,17781,2.8%
4,643725,357085,55.5%,260008,40.4%,3796,0.6%,10281,1.6%,530,8800,3225,16827,2.6%
5,643428,473748,73.6%,153705,23.9%,2336,0.4%,7210,1.1%,181,4713,1535,10619,1.7%
6,643697,551990,85.8%,74499,11.6%,3069,0.5%,6111,0.9%,230,6182,1616,12836,2%
7,643727,544574,84.6%,73137,11.4%,3047,0.5%,15238,2.4%,252,5605,1874,11301,1.8%
8,643232,430504,66.9%,91383,14.2%,3426,0.5%,62182,9.7%,771,48089,6877,87612,13.6%
9,643300,610000,94.8%,19712,3.1%,2618,0.4%,6675,1%,177,3284,834,6595,1%
10,643361,519785,80.8%,49067,7.6%,3084,0.5%,46002,7.2%,542,21776,3105,41389,6.4%
11,643535,431049,67%,74487,11.6%,3453,0.5%,82695,12.9%,760,44910,6181,83311,12.9%
