"DISTRICT","TOTALPOP","Targ.","% Dev.","Deviation"
1,643518,643501.3636,0.258529366696114%,17
2,643565,643501.3636,0.988908549376684%,64
3,643427,643501.3636,-1.15560905083435%,-74
4,643725,643501.3636,3.47530576701267%,224
5,643428,643501.3636,-1.14006906822413%,-73
6,643697,643501.3636,3.04018625392637%,196
7,643727,643501.3636,3.50638573223312%,226
8,643232,643501.3636,-4.1859056598282%,-269
9,643300,643501.3636,-3.12918684233291%,-201
10,643361,643501.3636,-2.18124790310919%,-140
11,643535,643501.3636,0.522709071069937%,34
