"DISTRICT","VAP","VAP
WHITE","VAP
BLACK","VAP
AMIND","VAP
ASIAN","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,141355,102838,30554,974,4044,176,1873,896,3948,1762,373,1813
2,108266,39663,62731,709,2364,112,1635,1052,3305,1147,535,1623
3,138292,105696,26366,830,2591,149,2202,458,3961,1604,189,2168
4,149270,119361,26742,1217,972,36,615,327,1425,757,119,549
5,104432,37098,63057,561,2066,109,851,690,1887,705,367,815
6,106154,68484,27856,1063,4614,157,3099,881,5454,1919,522,3013
7,113336,85961,18583,807,5521,125,1687,652,3708,1843,240,1625
8,122705,96342,18010,1008,4313,188,2179,665,4814,2318,370,2126
9,112823,36295,71956,564,1843,57,1367,741,2126,613,354,1159
10,130520,108836,16235,580,2915,44,1467,443,2572,1194,95,1283
11,140182,110142,24062,804,2877,86,1795,416,3500,1679,169,1652
12,144739,116628,18315,662,6863,60,1753,458,3374,1728,152,1494
13,131410,87674,38718,954,2061,133,1288,582,2856,1240,346,1270
14,154456,113040,28911,1067,8972,153,1664,649,4051,2140,291,1620
15,131548,83757,45751,498,606,64,614,258,1328,578,167,583
16,107251,38539,64514,925,969,127,1626,551,2688,624,334,1730
17,154986,121455,29184,955,1584,64,1318,426,2921,1464,213,1244
18,119472,50174,67552,484,387,31,473,371,1137,429,275,433
19,120339,87918,30844,392,526,18,443,198,1149,584,146,419
20,130836,109789,18831,461,427,34,1121,173,2596,1375,116,1105
21,123305,100367,19347,581,1764,39,861,346,1449,702,114,633
22,129112,120848,6240,550,863,33,407,171,838,539,20,279
23,129184,104114,22288,713,1127,44,574,324,1193,613,93,487
24,135351,125619,7646,582,687,42,598,177,1553,1011,38,504
25,135691,112210,17057,488,4283,52,1178,423,2721,1585,138,998
26,144968,129257,10664,681,1931,54,2075,306,4986,2857,189,1940
27,137373,127706,6065,717,1034,60,1585,206,3183,1602,42,1539
28,152743,112683,29807,1205,3906,184,4135,823,8241,3766,383,4092
29,146089,108479,21363,999,6019,223,8076,930,13885,5692,375,7818
30,144239,92641,26528,715,10689,160,11521,1985,19217,8183,460,10574
31,145422,102976,13337,794,13620,139,13108,1448,24043,11335,382,12326
32,134574,111048,4549,455,14519,67,3391,545,7374,4823,109,2442
33,184673,144688,13450,811,16699,150,7844,1031,15177,7642,264,7271
34,138092,88749,9495,685,23987,129,13778,1269,25174,11914,361,12899
35,116711,84668,6638,509,19421,137,4596,742,9624,5399,138,4087
36,138432,89794,24401,767,13775,191,8338,1166,15599,7036,486,8077
37,158851,121016,12123,689,19195,132,4849,847,10404,5823,215,4366
38,118866,114421,3307,426,402,25,226,59,606,421,29,156
39,137996,127418,5166,582,3320,53,1181,276,2090,1124,60,906
40,126209,123050,1913,573,358,25,211,79,683,518,19,146
"Total",5340253,3961442,990156,29037,214114,3862,117602,24040,226840,108288,9288,109264
