"Town Name","House District"
"Abingdon","4"
"Accomac","100"
"Alberta","75"
"Altavista","22"
"Amherst","24"
"Appalachia","2"
"Appomattox","59"
"Ashland","55"
"Belle Haven","100"
"Berryville","33"
"Big Stone Gap","1"
"Blacksburg","12,7"
"Blackstone","61"
"Bloxom","100"
"Bluefield","6"
"Boones Mill","9"
"Bowling Green","99,97"
"Boydton","61"
"Boykins","75"
"Branchville","75"
"Bridgewater","20"
"Broadway","26"
"Brodnax","61"
"Brookneal","22"
"Buchanan","19"
"Burkeville","60"
"Cape Charles","100"
"Capron","75"
"Cedar Bluff","3"
"Charlotte Court House","60"
"Chase City","61"
"Chatham","16"
"Cheriton","100"
"Chilhowie","4"
"Chincoteague","100"
"Christiansburg","12,7"
"Claremont","64"
"Clarksville","61"
"Cleveland","2"
"Clifton","40"
"Clinchport","1"
"Clintwood","2"
"Coeburn","2"
"Colonial Beach","99"
"Columbia","59"
"Courtland","75"
"Craigsville","20"
"Crewe","61"
"Culpeper","30"
"Damascus","4"
"Dayton","26"
"Dendron","64"
"Dillwyn","59"
"Drakes Branch","60"
"Dublin","6,7"
"Dumfries","52"
"Eastville","100"
"Edinburg","15"
"Elkton","25"
"Exmore","100"
"Farmville","59,60"
"Fincastle","19"
"Floyd","9"
"Fries","5"
"Front Royal","18"
"Gate City","1"
"Glade Spring","4"
"Glasgow","24"
"Glen Lyn","6"
"Gordonsville","56,30"
"Goshen","24"
"Gretna","9,16"
"Grottoes","25"
"Grundy","3"
"Halifax","60"
"Hallwood","100"
"Hamilton","33"
"Haymarket","13"
"Haysi","2"
"Herndon","86"
"Hillsboro","33"
"Hillsville","5,10"
"Honaker","3"
"Hurt","16"
"Independence","5"
"Iron Gate","12"
"Irvington","99"
"Ivor","75"
"Jarratt","75"
"Jonesville","1"
"Keller","100"
"Kenbridge","75,61"
"Keysville","60"
"Kilmarnock","99"
"La Crosse","61"
"Lawrenceville","75"
"Lebanon","2"
"Leesburg","33"
"Louisa","56"
"Lovettsville","33"
"Luray","15"
"McKenney","63"
"Madison","30"
"Marion","5"
"Melfa","100"
"Middleburg","13"
"Middletown","18"
"Mineral","56"
"Monterey","20"
"Montross","99"
"Mount Crawford","20"
"Mount Jackson","15"
"Narrows","6"
"Nassawadox","100"
"New Castle","12"
"New Market","15"
"Newsoms","75"
"Nickelsville","1"
"Occoquan","42,51"
"Onancock","100"
"Onley","100"
"Orange","30"
"Painter","100"
"Pamplin City","59,60"
"Parksley","100"
"Pearisburg","6"
"Pembroke","6"
"Pennington Gap","1"
"Phenix","60"
"Pocahontas","3"
"Port Royal","99"
"Pound","2"
"Pulaski","6"
"Purcellville","33"
"Quantico","52"
"Remington","88"
"Rich Creek","6"
"Richlands","3"
"Ridgeway","14"
"Rocky Mount","9"
"Round Hill","33"
"Rural Retreat","5"
"St. Paul","2"
"Saltville","4"
"Saxis","100"
"Scottsburg","60"
"Scottsville","58"
"Shenandoah","15"
"Smithfield","64"
"South Boston","60"
"South Hill","61"
"Stanardsville","58"
"Stanley","15"
"Stephens City","18"
"Stony Creek","75"
"Strasburg","15"
"Stuart","10"
"Surry","64"
"Tangier","100"
"Tappahannock","98"
"Tazewell","3"
"The Plains","18"
"Timberville","26"
"Toms Brook","15"
"Troutville","19"
"Urbanna","98"
"Victoria","61"
"Vienna","35"
"Vinton","11"
"Virgilina","60"
"Wachapreague","100"
"Wakefield","75"
"Warrenton","18,31"
"Warsaw","99"
"Waverly","75"
"Weber City","1"
"West Point",98
"White Stone","99"
"Windsor","64"
"Wise","2,1"
"Woodstock","15"
"Wytheville","6"
