"FIPS","County Name","Voting
Age Pop.","VAP
White","VAP
Black","VAP
AIAN","VAP
Asian","VAP
HawPI","VAP
Other","VAP
Multi","VAP
HispWh","VAP
HispBl","VAP
HispOt","Total VAP
Hispanic"
"001","Accomack",26239,17770,7135,234,159,35,845,61,843,31,866,1740
"003","Albemarle",77685,63511,7646,411,4096,54,1694,273,1825,109,1759,3693
"005","Alleghany",12800,12032,609,68,29,11,35,16,68,7,35,110
"007","Amelia",9868,7294,2326,85,21,1,112,29,64,6,123,193
"009","Amherst",25413,19749,4891,347,155,8,162,101,234,36,153,423
"011","Appomattox",11648,9235,2265,55,33,4,32,24,72,7,30,109
"013","Arlington",175001,128150,15039,1286,18703,216,10354,1253,12433,507,11160,24100
"015","Augusta",57995,54325,2581,299,349,21,372,48,512,26,370,908
"017","Bath",3927,3686,198,15,12,0,12,4,46,6,12,64
"019","Bedford",53371,49106,3184,312,503,17,198,51,457,22,183,662
"021","Bland",5604,5339,223,16,15,1,9,1,21,0,10,31
"023","Botetourt",25714,24526,807,154,156,2,51,18,164,8,52,224
"025","Brunswick",14067,5935,7887,52,45,5,103,40,63,31,106,200
"027","Buchanan",19585,18899,538,67,57,5,11,8,49,1,8,58
"029","Buckingham",13849,8638,4973,77,51,4,74,32,105,25,70,200
"031","Campbell",42798,35545,6110,261,434,20,317,111,301,20,318,639
"033","Caroline",21701,14349,6554,255,187,14,210,132,323,51,233,607
"035","Carroll",23824,23268,150,100,49,6,249,2,199,1,256,456
"036","Charles City",5955,2477,2909,447,28,3,32,59,24,1,43,68
"037","Charlotte",9685,6665,2818,68,24,0,97,13,50,10,94,154
"041","Chesterfield",233721,164550,50353,1555,8310,184,7541,1228,5845,799,7928,14572
"043","Clarke",10813,9839,633,78,109,13,119,22,169,4,123,296
"045","Craig",4079,4038,3,17,10,1,5,5,11,0,10,21
"047","Culpeper",34604,26622,5683,240,496,29,1423,111,1048,86,1480,2614
"049","Cumberland",7765,5067,2508,71,39,0,48,32,41,12,52,105
"051","Dickenson",12580,12446,36,53,22,2,17,4,42,0,12,54
"053","Dinwiddie",21622,14004,7106,127,131,9,189,56,168,40,191,399
"057","Essex",8700,5209,3191,77,67,4,109,43,85,13,131,229
"059","Fairfax",819078,527810,75086,4727,152871,937,52134,5513,62087,2392,54465,118944
"061","Fauquier",48758,42179,4185,365,731,47,1123,128,1351,73,1138,2562
"063","Floyd",11932,11490,243,64,36,3,79,17,176,8,80,264
"065","Fluvanna",19773,16121,3158,102,151,15,175,51,272,12,178,462
"067","Franklin",44482,39719,3709,234,222,21,538,39,368,27,468,863
"069","Frederick",58630,53390,2370,337,812,40,1540,141,1419,65,1611,3095
"071","Giles",13541,13163,208,65,54,0,41,10,88,2,37,127
"073","Gloucester",28718,25230,2618,255,296,19,208,92,368,25,215,608
"075","Goochland",17317,13344,3526,88,206,7,120,26,168,17,108,293
"077","Grayson",12583,12072,255,72,17,3,160,4,95,3,162,260
"079","Greene",13812,12359,884,79,229,6,240,15,211,5,243,459
"081","Greensville",10237,4065,6057,27,30,1,31,26,70,19,32,121
"083","Halifax",28258,17609,10141,128,121,7,182,70,125,48,176,349
"085","Hanover",74865,65371,7181,495,1107,34,524,153,756,66,530,1352
"087","Henrico",232563,143707,66256,1261,15259,123,4622,1335,4689,760,4505,9954
"089","Henry",43043,32122,9456,200,188,8,996,73,432,37,1016,1485
"091","Highland",1975,1950,4,9,4,0,8,0,4,0,9,13
"093","Isle of Wight",27239,19906,6636,201,271,16,130,79,214,28,148,390
"095","James City",52624,43169,6801,304,1371,57,682,240,1155,101,710,1966
"097","King and Queen",5503,3725,1597,107,20,1,39,14,67,3,36,106
"099","King George",17044,13318,3063,171,263,15,139,75,285,20,163,468
"101","King William",12000,9284,2243,258,92,6,72,45,113,13,77,203
"103","Lancaster",9560,7031,2405,38,54,0,23,9,47,9,26,82
"105","Lee",20410,19039,928,166,66,16,149,46,159,39,145,343
"107","Loudoun",216877,152020,16852,1080,33716,224,11586,1399,12923,566,11978,25467
"109","Louisa",25815,20510,4710,199,144,20,159,73,263,30,171,464
"111","Lunenburg",10420,6368,3727,62,31,8,193,31,96,21,200,317
"113","Madison",10338,9036,1078,83,67,10,47,17,89,2,47,138
"115","Mathews",7344,6516,679,70,37,7,18,17,44,3,18,65
"117","Mecklenburg",26351,16295,9459,131,172,9,206,79,296,61,216,573
"119","Middlesex",9198,7355,1664,72,36,4,44,23,51,17,42,110
"121","Montgomery",79277,69597,3223,406,5127,61,630,233,1255,82,664,2001
"125","Nelson",12128,10219,1601,79,56,8,138,27,144,16,128,288
"127","New Kent",14328,11766,2007,252,159,4,75,65,151,10,70,231
"131","Northampton",9953,5967,3562,51,71,14,265,23,261,21,278,560
"133","Northumberland",10309,7658,2389,53,31,5,141,32,103,15,135,253
"135","Nottoway",12590,7167,5007,75,44,4,256,37,114,31,271,416
"137","Orange",25819,21637,3307,194,259,21,322,79,347,31,331,709
"139","Page",18849,18173,385,88,79,10,93,21,117,9,98,224
"141","Patrick",14924,13745,865,86,39,4,169,16,96,1,171,268
"143","Pittsylvania",50021,38019,11132,238,167,14,375,76,412,43,394,849
"145","Powhatan",21569,17958,3238,116,113,8,99,37,204,17,102,323
