"FIPS","County Name","Total
Population","White","Black","AIAN","Asian","HawPI","Other","Multi","Hispanic
White","Hispanic
Black","Hispanic
Other","Total
Hispanic"
"001","Accomack",33164,21662,9461,305,221,52,1363,100,1396,57,1397,2850
"003","Albemarle",98970,79738,10379,558,5278,78,2516,423,2608,170,2639,5417
"005","Alleghany",16250,15145,885,81,50,13,58,18,105,15,56,176
"007","Amelia",12690,9332,2989,114,40,4,170,41,99,8,183,290
"009","Amherst",32353,24829,6443,448,212,12,267,142,338,49,238,625
"011","Appomattox",14973,11597,3157,68,51,4,58,38,114,13,40,167
"013","Arlington",207627,148970,18608,1614,22843,269,13625,1698,16009,691,14682,31382
"015","Augusta",73750,68848,3281,400,495,30,612,84,837,71,617,1525
"017","Bath",4731,4432,236,16,13,0,28,6,69,9,23,101
"019","Bedford",68676,62775,4203,402,855,24,331,86,740,41,309,1090
"021","Bland",6824,6517,246,26,19,1,13,2,23,0,16,39
"023","Botetourt",33148,31469,1116,210,239,5,79,30,257,18,81,356
"025","Brunswick",17434,7048,10065,64,56,7,138,56,105,49,144,298
"027","Buchanan",24098,23271,639,74,65,5,29,15,66,6,23,95
"029","Buckingham",17146,10644,6175,91,69,5,114,48,150,36,102,288
"031","Campbell",54842,45024,8183,346,624,24,477,164,429,38,451,918
"033","Caroline",28545,18649,8699,367,252,29,331,218,504,98,357,959
"035","Carroll",30042,29168,243,126,76,7,412,10,348,2,426,776
"036","Charles City",7256,2970,3557,562,33,6,45,83,31,2,55,88
"037","Charlotte",12586,8467,3813,95,36,0,144,31,84,14,142,240
"041","Chesterfield",316236,215954,72013,2187,11842,280,11692,2268,9162,1430,12272,22864
"043","Clarke",14034,12662,832,108,176,18,200,38,275,5,210,490
"045","Craig",5190,5122,10,20,22,3,8,5,19,0,17,36
"047","Culpeper",46689,35058,7941,354,770,48,2300,218,1576,178,2403,4157
"049","Cumberland",10052,6427,3361,82,51,0,84,47,74,26,81,181
"051","Dickenson",15903,15712,61,63,31,2,28,6,62,1,23,86
"053","Dinwiddie",28001,17899,9362,162,175,15,308,80,282,73,319,674
"057","Essex",11151,6370,4350,103,104,4,162,58,131,30,188,349
"059","Fairfax",1081726,677990,105315,6685,207724,1313,73816,8883,87368,3899,77215,168482
"061","Fauquier",65203,55607,5915,498,1115,60,1787,221,2197,139,1842,4178
"063","Floyd",15279,14660,323,82,68,3,122,21,275,15,122,412
"065","Fluvanna",25691,20743,4169,148,212,16,304,99,425,31,304,760
"067","Franklin",56159,49699,4913,296,323,26,850,52,627,40,757,1424
"069","Frederick",78305,69934,3792,490,1177,59,2583,270,2344,158,2666,5168
"071","Giles",17286,16723,312,93,74,0,72,12,143,2,64,209
"073","Gloucester",36858,32149,3471,348,423,28,292,147,565,49,321,935
"075","Goochland",21717,16820,4255,109,276,9,189,59,237,31,187,455
"077","Grayson",15533,14802,370,89,22,3,239,8,175,4,237,416
"079","Greene",18403,16123,1353,111,324,8,443,41,338,9,434,781
"081","Greensville",12243,4718,7359,36,42,1,49,38,90,28,55,173
"083","Halifax",36241,22011,13460,160,163,8,332,107,207,72,308,587
"085","Hanover",99863,86550,9734,723,1687,52,845,272,1159,117,840,2116
"087","Henrico",306935,181719,92785,1714,21465,179,6855,2218,6920,1362,6719,15001
"089","Henry",54151,39487,12284,255,282,8,1724,111,750,71,1724,2545
"091","Highland",2321,2289,6,9,4,0,12,1,5,0,13,18
"093","Isle of Wight",35270,25318,8882,267,421,20,223,139,349,65,244,658
