"FIPS","County Name","Total
Population","White","Black","AIAN","Asian","HawPI","Other","Multi","Hispanic
White","Hispanic
Black","Hispanic
Other","Total
Hispanic"
"095","James City",67009,53792,9281,418,1940,78,1079,421,1743,170,1111,3024
"097","King and Queen",6945,4663,2025,140,32,1,61,23,116,9,59,184
"099","King George",23584,18089,4446,246,407,21,231,144,486,42,262,790
"101","King William",15935,12297,2924,344,155,7,108,100,190,17,117,324
"103","Lancaster",11391,7989,3242,47,74,0,29,10,64,23,31,118
"105","Lee",25587,24092,985,191,79,19,175,46,199,39,168,406
"107","Loudoun",312311,214471,25035,1670,51009,310,17242,2574,19626,1023,17927,38576
"109","Louisa",33153,25996,6261,260,214,28,274,120,434,56,272,762
"111","Lunenburg",12914,7856,4573,89,40,12,297,47,126,40,304,470
"113","Madison",13308,11543,1442,102,97,12,79,33,149,11,76,236
"115","Mathews",8978,7898,868,85,50,7,37,33,63,3,38,104
"117","Mecklenburg",32727,19619,12264,167,244,12,297,124,404,99,303,806
"119","Middlesex",10959,8680,2050,88,45,5,67,24,76,25,65,166
"121","Montgomery",94392,82643,4202,500,5831,68,849,299,1552,107,877,2536
"125","Nelson",15020,12509,2072,112,81,10,195,41,226,42,191,459
"127","New Kent",18429,15057,2557,351,241,5,117,101,253,15,122,390
"131","Northampton",12389,7168,4603,62,98,14,416,28,413,40,421,874
"133","Northumberland",12330,8801,3175,64,38,5,206,41,163,22,197,382
"135","Nottoway",15853,8968,6283,106,63,6,370,57,169,50,390,609
"137","Orange",33481,27584,4598,247,369,28,519,136,551,60,528,1139
"139","Page",24042,23063,545,112,109,12,157,44,192,17,164,373
"141","Patrick",18490,16847,1182,102,58,4,268,29,167,2,275,444
"143","Pittsylvania",63506,47918,14281,322,241,23,588,133,668,58,606,1332
"145","Powhatan",28046,23515,3942,155,168,15,183,68,284,30,188,502
"147","Prince Edward",23368,14796,7936,130,232,17,180,77,252,97,176,525
"149","Prince George",35725,21845,11761,328,677,116,644,354,1023,301,734,2058
"153","Prince William",402002,232401,86188,3979,35182,738,38286,5228,36745,3258,41457,81460
"155","Pulaski",34872,32250,2003,191,226,9,142,51,278,16,138,432
"157","Rappahannock",7373,6834,366,51,48,3,49,22,181,4,43,228
"159","Richmond",9254,6001,2863,52,60,3,241,34,246,11,253,510
"161","Roanoke",92376,83140,5183,415,2745,54,620,219,1254,85,612,1951
"163","Rockbridge",22307,21097,679,244,134,17,96,40,182,17,97,296
"165","Rockingham",76314,71182,1635,455,600,15,2279,148,1542,71,2463,4076
"167","Russell",28897,28270,268,129,78,5,128,19,128,6,141,275
"169","Scott",23177,22700,163,124,54,16,108,12,115,0,119,234
"171","Shenandoah",41993,39070,962,296,282,14,1285,84,1184,53,1340,2577
"173","Smyth",32208,30847,735,156,102,3,318,47,205,18,304,527
"175","Southampton",18570,11215,7007,115,61,7,88,77,77,27,99,203
"177","Spotsylvania",122397,92452,20103,903,3583,215,4261,880,4375,479,4424,9278
"179","Stafford",128961,93483,23424,1167,4699,226,4678,1284,6049,759,5067,11875
"181","Surry",7058,3618,3289,48,33,2,29,39,35,15,36,86
"183","Sussex",12087,4747,7062,42,58,0,156,22,84,31,153,268
"185","Tazewell",45078,42868,1505,195,329,14,118,49,176,3,117,296
"187","Warren",37575,34144,2030,351,489,18,428,115,799,37,482,1318
"191","Washington",54876,53249,814,237,250,24,273,29,451,6,267,724
"193","Westmoreland",17454,11501,5043,168,136,10,514,82,414,40,548,1002
"195","Wise",41452,38561,2292,177,182,2,202,36,260,26,185,471
"197","Wythe",29235,27790,982,135,157,5,129,37,141,15,124,280
"199","York",65464,50031,9300,489,3903,129,1022,590,1561,206,1125,2892
"510","Alexandria",139966,85186,31503,961,9855,189,10923,1349,10308,911,11305,22524
"515","Bedford city",6222,4755,1330,27,46,3,42,19,84,12,38,134
"520","Bristol",17835,16214,1187,115,147,6,111,55,115,15,91,221
"530","Buena Vista",6650,6050,382,113,43,15,31,16,68,2,33,103
"540","Charlottesville",43475,30031,8831,248,3228,23,878,236,1204,114,905,2223
"550","Chesapeake",222209,139012,68037,1688,8202,311,3159,1800,4761,1187,3758,9706
"570","Colonial Heights",17411,14326,1908,110,672,21,287,87,306,54,314,674
"580","Covington",5961,5014,809,34,43,2,34,25,59,5,28,92
"590","Danville",43055,20531,21022,167,445,13,723,154,424,80,741,1245
"595","Emporia",5927,1937,3747,22,45,5,133,38,89,25,148,262
"600","Fairfax city",22565,15706,1191,197,3766,18,1510,177,1857,57,1642,3556
"610","Falls Church",12332,9853,594,65,1445,8,288,79,760,14,335,1109
"620","Franklin city",8582,3380,4945,45,72,4,74,62,47,17,77,141
"630","Fredericksburg",24286,15596,5838,189,863,22,1523,255,836,180,1591,2607
"640","Galax",7042,6044,496,26,41,9,380,46,543,34,412,989
"650","Hampton",137436,58642,69693,1067,3687,200,2048,2099,2359,1421,2461,6241
"660","Harrisonburg",48914,38371,3528,242,2126,73,4320,254,2980,243,4442,7665
"670","Hopewell",22591,12515,8676,161,271,30,755,183,510,162,808,1480
"678","Lexington",7042,6003,717,28,195,4,67,28,196,15,60,271
"680","Lynchburg",75568,48674,22872,417,2028,49,1089,439,1100,169,1031,2300
"683","Manassas",37821,23336,5680,321,2100,63,5942,379,5342,370,6164,11876
"685","Manassas Park",14273,7985,2019,94,1430,23,2556,166,1915,96,2634,4645
"690","Martinsville",13821,6903,6351,44,140,5,319,59,196,22,334,552
"700","Newport News",180719,88518,75972,1450,6211,390,5395,2783,5365,2001,6224,13590
"710","Norfolk",242803,114304,107097,2053,9430,482,5892,3545,5549,2107,5898,16144
"720","Norton",3958,3510,305,22,67,0,44,10,32,0,36,68
"730","Petersburg",32420,5217,25878,129,311,21,619,245,315,235,666,1216
"735","Poquoson",12150,11557,96,74,328,9,62,24,159,0,62,221
"740","Portsmouth",95535,39701,51740,767,1345,158,981,843,1175,621,1123,2919
"750","Radford",16408,14273,1469,82,318,13,181,72,198,21,166,385
"760","Richmond city",204214,83288,104623,1064,5575,193,7757,1714,3475,1193,8135,12803
"770","Roanoke",97032,62343,28987,566,1978,72,2517,569,2301,423,2621,5345
"775","Salem",24802,21872,1946,134,442,6,358,44,219,34,348,601
"790","Staunton",23746,19874,3191,110,244,11,224,92,290,29,194,513
"800","Suffolk",84585,44197,36767,488,1718,73,748,594,1163,397,855,2415
"810","Virginia Beach",437994,296670,90658,3434,31592,918,9950,4772,14200,3125,11662,28987
"820","Waynesboro",21006,17274,2582,151,209,16,674,100,570,80,687,1337
"830","Williamsburg",14068,10407,2111,73,970,11,413,83,455,59,427,941
"840","Winchester",26203,19532,3241,169,702,8,2429,122,1447,100,2494,4041
