District 3,Population Deviation:,"-75,818"
,Percent Deviation:,-11.8
Counties and Cities,,"27,217"
36,Charles City,"6,926"
127,New Kent,"13,462"
181,Surry,"6,829"
Hampton city (Part),,"72,975"
650 101,Aberdeen*,"3,670"
650 102,Bassette*,"4,264"
650 103,City Hall*,"4,796"
650 104,Cooper*,"6,827"
650 105,East Hampton*,"6,026"
650 106,Lasalle*,"4,317"
650 107,Lee*,"2,998"
650 109,Phenix*,"5,182"
650 110,Phoebus*,929
650 111,River*,"1,384"
650 112,Smith,"7,562"
650 114,Tarrant*,"4,316"
650 115,Wythe*,"2,416"
650 202,Buckroe*,"6,878"
650 206,Jones,"1,786"
650 210,Magruder*,"6,745"
650 211,Mallory*,973
650 215,Tyler*,"1,906"
Henrico (Part),,"99,090"
87 101,Brookland*,"1,037"
87 108,Hunton*,"1,150"
87 113,Moody*,"2,819"
87 115,Stratford Hall*,750
87 201,Adams*,"4,172"
87 202,Azalea*,"5,781"
87 203,Bloomingdale*,"1,761"
87 204,Brook Hill*,"1,302"
87 205,Canterbury*,565
87 206,Central Gardens*,"2,938"
87 207,Chamberlayne*,"1,880"
87 208,East Highland Park*,"1,764"
87 209,Fairfield*,"3,602"
87 210,Glen Lea*,"1,646"
87 211,Greenwood*,"1,634"
87 212,Highland Gardens*,"3,800"
87 213,Hungary*,"1,971"
87 214,Longdale*,"2,062"
87 215,Randolph*,397
87 216,Ratcliffe*,"3,404"
87 217,Upham*,135
87 218,Wilkinson*,556
87 219,Yellow Tavern*,"2,924"
87 220,Maplewood*,"2,830"
87 221,Chipplegate*,989
87 222,Landmark*,511
87 501,Cedar Fork*,"1,244"
87 502,Chickahominy*,"2,948"
87 503,Donahoe*,"3,203"
87 504,Eanes*,"3,304"
87 505,Elko*,176
87 506,Fairmount*,200
87 507,Glen Echo*,866
87 508,Highland Springs*,"1,627"
87 509,Laburnum*,"3,086"
87 510,Masonic*,820
87 511,Town Hall*,"1,075"
87 512,Montrose*,"3,810"
87 513,Pleasants*,"4,968"
87 514,Sandston*,"1,419"
87 515,Seven Pines*,"1,707"
87 516,Sullivans*,"6,160"
87 517,Mehfoud*,"1,597"
87 518,Whitlocks*,357
87 519,Nine Mile*,"2,146"
87 520,Dorey*,"3,810"
87 521,Antioch*,"2,187"
Isle of Wight (Part),,"22,398"
93 101,Smithfield,"6,567"
93 202,Carrollton,"6,808"
93 301,Rushmere,"2,543"
93 302,Pons,"2,980"
93 401,Courthouse*,"1,639"
93 504,Zuni*,"1,861"
Newport News city (Part),,"89,193"
700 101,Denbigh*,"9,979"
700 102,Epes*,"7,872"
700 104,Mcintosh*,"11,315"
700 106,Reservoir,"8,086"
700 108,Lee Hall,"9,720"
700 207,Grissom,532
700 210,Nelson,"6,191"
700 302,Briarfield,"4,367"
700 303,Carver*,"3,251"
700 304,Chestnut*,"1,911"
700 305,Downtown,"1,976"
700 306,Dunbar,"3,059"
700 307,Huntington*,"1,982"
700 308,Jefferson,"2,272"
700 309,Magruder*,"1,782"
700 310,Marshall,"2,709"
700 311,New Market,"4,501"
700 312,Newsome Park,"1,484"
700 313,Reed*,"2,966"
700 317,Washington*,"1,208"
700 318,Wilson*,"2,030"
Norfolk city (Part),,"81,924"
710 103,Northside*,"2,320"
710 202,Crossroads,"4,941"
710 204,Immanuel*,"2,389"
710 205,Lafayette Library*,"1,334"
710 206,Lafayette Presbyterian*,428
710 210,Maury*,"2,666"
710 212,Park Place*,"2,571"
710 214,Stuart*,"4,070"
710 301,Ballentine*,"4,665"
710 303,Bowling Park,"5,582"
710 304,Coleman Place School,"2,697"
710 305,Lafayette-Winona*,"3,402"
710 306,Lindenwood*,"2,763"
710 307,Monroe*,"1,382"
710 308,Norview Methodist*,"3,274"
710 309,Norview Recreation Center*,"4,843"
710 310,Rosemont*,"6,779"
710 312,Sherwood School,"2,807"
710 313,Union Chapel,"3,152"
710 403,Brambleton*,"3,200"
710 411,Hunton Y*,"2,946"
710 414,Young Park*,"5,350"
710 507,Ocean View School,"8,363"
Richmond city (Part),,"162,407"
760 113,113*,"2,501"
760 114,114*,"3,398"
760 203,203*,"2,153"
760 204,204*,"3,011"
760 206,206*,"2,178"
760 207,207*,"3,058"
760 208,208*,"3,403"
760 211,211*,"3,608"
760 212,212*,"2,517"
760 213,213,"2,107"
760 301,301*,"2,884"
760 302,302*,"2,292"
760 303,303*,"1,755"
760 304,304*,"3,519"
760 305,305*,"2,804"
760 306,306*,"1,815"
760 307,307*,"2,195"
760 308,308*,"2,328"
760 309,309*,"1,544"
760 402,402*,"2,328"
760 403,403*,"1,721"
760 501,501*,"2,738"
760 502,502*,"1,107"
760 503,503*,"3,568"
760 504,504*,"3,490"
760 505,505*,"1,777"
760 508,508*,"1,578"
760 509,509*,"3,690"
760 510,510*,"4,011"
760 602,602*,"2,356"
760 603,603*,"3,415"
760 604,604*,"2,726"
760 606,606*,"3,503"
760 607,607,"1,013"
760 608,608*,"3,989"
760 609,609,"3,169"
760 610,610*,"1,545"
760 701,701*,"4,286"
760 702,702*,"1,878"
760 703,703*,"2,193"
760 704,704*,"1,725"
760 705,705,"2,249"
760 706,706,"4,639"
760 707,707,"4,256"
760 802,802*,"2,719"
760 806,806,"1,681"
760 807,807*,"1,844"
760 810,810*,"3,525"
760 811,811*,"2,856"
760 812,812*,"4,025"
760 813,813,"3,377"
760 902,902*,"3,585"
760 903,903*,"6,244"
760 906,906*,"2,858"
760 908,908,"2,735"
760 909,909*,"2,886"
760 910,910*,"3,914"
760 911,911,"2,138"
Chesterfield - Davis (412) (Part),,0
Hampton city - Forrest (204) (Part),,0
Hampton city - Pembroke* (108) (Part),,"6,341"
Newport News city - River (314) (Part),,"2,460"
Newport News city - Sanford (213) (Part),,0
Norfolk city - Ingleside* (412) (Part),,0
Norfolk city - Ocean View Center Part 1 (5061) (Part),,0
Norfolk city - Ocean View Center Part 2 (5062) (Part),,0
Norfolk city - Therapeutic Center* (216) (Part),,"3,678"
Norfolk city - Titustown Center (104) (Part),,0
Richmond city - 106 (106) (Part),,0
District Number - 3,Total Population:,"567,683"
