District 11,Population Deviation:,"6,052"
,Percent Deviation:,0.9
Counties and Cities,,"22,573"
600,Fairfax city,"21,498"
059,Fairfax - A,"1,075"
Fairfax (Part),,"458,068"
059 102,Bristow*,"4,931"
059 104,Chapel*,"3,096"
059 105,Fairview*,"6,872"
059 106,Heritage*,"8,727"
059 108,Kings Park*,"4,391"
059 109,Olde Creek*,"3,173"
059 113,Oak Hill*,"2,968"
059 115,Ravensworth*,"2,354"
059 116,Wakefield*,"2,927"
059 118,Lake Braddock*,"6,995"
059 119,Laurel*,"5,780"
059 120,Sideburn*,"4,166"
059 121,Villa*,"2,777"
059 122,Long Branch*,"2,184"
059 123,Robinson*,"6,285"
059 124,Olley*,"2,454"
059 125,Signal Hill*,"4,207"
059 126,Bonnie Brae*,"3,377"
059 202,Flint Hill,"5,728"
059 208,Reston #1*,"6,302"
059 209,Reston #2*,"4,726"
059 213,Vienna #1,"5,229"
059 214,Vienna #2,"3,941"
059 216,Vienna #4,"2,366"
059 218,Vienna #6*,"2,917"
059 219,Westbriar,"4,610"
059 220,Dogwood*,"7,716"
059 221,Hunters Woods*,"3,157"
059 222,Reston #3*,"3,225"
059 223,Glade*,"5,144"
059 224,South Lakes,"5,315"
059 225,Terraset*,"7,022"
059 226,Wolftrap,"4,431"
059 227,Sunrise Valley,"2,373"
059 233,North Point*,"5,601"
059 234,Aldrin*,"7,069"
059 319,Herndon #1*,"4,102"
059 320,Herndon #2*,"10,508"
059 321,Clearview*,"6,148"
059 324,Herndon #3*,"7,052"
059 325,Hutchison*,"3,952"
059 326,Stuart*,"1,865"
059 327,Sugarland*,"4,483"
059 501,Baileys,"6,178"
059 502,Barcroft*,"3,838"
059 503,Belvedere*,"2,141"
059 505,Glen Forest*,"7,280"
059 506,Holmes*,"9,156"
059 507,Lincolnia*,"6,144"
059 508,Masonville*,"2,962"
059 510,Parklawn*,"3,216"
059 511,Ravenwood*,"2,101"
059 512,Sleepy Hollow*,"1,849"
059 513,Saint Albans*,"3,711"
059 515,Westlawn*,"2,856"
059 516,Weyanoke*,"6,428"
059 517,Willston*,"5,967"
059 518,Columbia*,"6,235"
059 519,Hummer*,"2,736"
059 520,Skyline,"6,319"
059 521,Brook Hill,"3,541"
059 522,Camelot*,"1,825"
059 523,Poe,"3,668"
059 524,Whittier*,"3,825"
059 525,Walnut Hill # 1*,"1,367"
059 526,Bren Mar*,"4,247"
059 527,Edsall*,"2,603"
059 528,Ridgelea*,"1,647"
059 701,Blake*,"6,250"
059 703,Fort Buffalo*,"3,279"
059 704,Freedom Hill,"7,953"
059 705,Graham*,"3,622"
059 706,Greenway*,"3,021"
059 707,Mantua,"3,191"
059 708,Marshall*,"8,134"
059 709,Mosby*,"8,224"
059 710,Pine Spring*,"4,247"
059 711,Price,"3,545"
059 712,Shreve,"1,654"
059 713,Timber Lane,"5,845"
059 714,Walker*,"4,787"
059 717,Woodburn*,"3,644"
059 718,Pine Ridge*,"3,914"
059 719,Stenwood*,"2,214"
059 720,Thoreau,"2,159"
059 721,Merrifield*,"4,303"
059 728,Walnut Hill # 2*,"1,149"
059 729,Nottoway,"5,934"
059 801,Burke,"7,122"
059 802,Cardinal*,"3,462"
059 805,Fairfax Station,"4,321"
059 815,Woodyard,"4,779"
059 825,Cherry Run*,"4,073"
059 832,Terra Centre*,"3,434"
059 837,Burke Centre,"7,061"
059 839,Silverbrook,"8,002"
059 841,Popes Head*,"4,037"
059 842,Parkway,"3,062"
059 909,Leehigh*,"7,105"
059 922,Willow Springs*,"5,194"
059 1171,Woodson Part 1,"3,852"
059 1172,Woodson Part 2,"1,009"
Prince William (Part),,"156,895"
153 202,Enterprise*,"5,969"
153 205,Springwoods*,"5,818"
153 206,King*,"5,579"
153 207,Lodge*,"5,299"
153 208,Westridge*,"2,991"
153 301,Dumfries*,"4,931"
153 302,Potomac*,"4,890"
153 303,Graham Park,"5,371"
153 304,Quantico,"7,321"
153 501,Lake Ridge*,"5,895"
153 502,Occoquan*,"6,824"
153 503,Old Bridge*,"4,376"
153 504,Rockledge*,"4,802"
153 505,Mohican*,"4,367"
153 506,Bethel*,"5,886"
153 507,Chinn*,"3,617"
153 601,Dale,"3,097"
153 602,Neabsco*,"4,759"
153 603,Godwin*,"8,328"
153 604,Civic Center,"4,249"
153 605,Minnieville*,"4,944"
153 606,Bel Air,"4,645"
153 607,Kerrydale*,"3,815"
153 701,Belmont*,"4,331"
153 702,Library,"5,075"
153 703,Lynn,"5,897"
153 704,Featherstone,"5,907"
153 705,Potomac View*,"4,010"
153 706,Rippon,"9,616"
153 707,Kilby*,"4,286"
Fairfax - Lynbrook* (418) (Part),,0
Fairfax - Magarity* (726) (Part),,"5,680"
Fairfax - White Oaks (833) (Part),,0
Prince William - Saunders* (201) (Part),,"6,337"
Prince William - Washington-Reid* (306) (Part),,0
District Number - 11,Total Population:,"649,553"
