District 8,Population Deviation:,"-15,652"
,Percent Deviation:,-2.4
Counties and Cities,,"328,113"
13,Arlington,"189,453"
510,Alexandria city,"128,283"
610,Falls Church city,"10,377"
Fairfax (Part),,"290,510"
59 110,North Springfield # 1*,"2,063"
59 111,North Springfield # 2*,"3,316"
59 112,North Springfield # 3*,"2,801"
59 301,Chain Bridge*,"4,537"
59 302,Chesterbrook*,"3,187"
59 303,Churchill*,"2,131"
59 305,El Nido*,"2,891"
59 307,Haycock*,"2,946"
59 310,Kirby,"2,790"
59 311,Langley*,"2,847"
59 312,Longfellow*,"3,159"
59 314,Mclean,"3,011"
59 315,Pimmit*,"5,357"
59 316,Salona*,"3,491"
59 317,Westhampton*,"2,926"
59 318,Westmoreland*,"1,826"
59 401,Bush Hill*,"4,066"
59 402,Cameron,"4,798"
59 404,Franconia*,"4,758"
59 405,Groveton,"10,760"
59 408,Mount Eagle*,"7,382"
59 409,Pioneer*,"7,256"
59 410,Rose Hill,"6,194"
59 411,Virginia Hills,"4,458"
59 415,Crestwood*,"4,501"
59 417,Garfield*,"8,239"
59 419,Beulah*,"8,510"
59 420,Villages*,"4,934"
59 421,Kingstowne*,"5,002"
59 422,Van Dorn*,"4,676"
59 499,Hayfield 406/Woodlawn 412/Fairfield 413,"22,588"
59 601,Belle Haven*,"3,237"
59 602,Belleview,"2,588"
59 604,Bucknell,"7,140"
59 605,Fort Hunt*,"2,626"
59 606,Hollin Hall,"2,217"
59 607,Huntington*,"5,812"
59 608,Kirkside,"2,672"
59 609,Marlan,"3,089"
59 610,Sherwood*,"4,412"
59 611,Stratford*,"4,252"
59 612,Waynewood*,"1,841"
59 613,Westgate*,"3,857"
59 614,Whitman*,"2,687"
59 615,Woodley*,"4,031"
59 616,Gunston*,"6,939"
59 617,Lorton,"9,051"
59 618,Newington*,"7,703"
59 619,Belvoir*,"6,287"
59 620,Delong*,"2,372"
59 621,Grosvenor*,"2,513"
59 622,Pohick Run,"6,179"
59 808,Keene Mill*,"2,390"
59 811,Pohick,"5,967"
59 812,Valley*,"4,315"
59 824,Orange*,"5,868"
59 827,Irving*,"3,355"
59 829,Saratoga*,"5,345"
59 836,Hunt*,"5,358"
59 838,Sangster*,"5,213"
59 840,West Springfield*,"3,793"
Fairfax - Lynbrook* (418) (Part),,"4,392"
Fairfax - Magarity* (726) (Part),,0
Fairfax - White Oaks (833) (Part),,"4,834"
District Number - 8,Total Population:,"627,849"
