District 2,Population Deviation:,"-69,443"
,Percent Deviation:,-10.8
Counties and Cities,,"425,257"
810,Virginia Beach city,"425,257"
Norfolk city (Part),,"119,088"
710 101,Granby,"6,528"
710 105,Tucker House,"1,330"
710 106,Zion Grace,"6,945"
710 201,Canterbury*,"3,289"
710 203,Ghent Square*,"1,823"
710 207,Lambert's Point*,"2,644"
710 208,Larchmont Library*,"1,245"
710 209,Larchmont Recreation Center*,"4,161"
710 211,Ohef Sholom*,"2,471"
710 213,St. Andrew's*,"4,226"
710 215,Suburban Park*,"3,339"
710 217,Wesley,"3,318"
710 218,Willard*,"2,804"
710 302,Tanner's Creek*,"3,260"
710 401,Azalea Gardens*,"2,758"
710 402,Berkley*,"3,097"
710 404,Campostella*,"4,357"
710 405,Chesterfield*,"3,344"
710 406,Barron Black*,"2,899"
710 407,Coleman Place Presbyterian*,"3,546"
710 408,Easton*,"4,671"
710 409,Fairlawn*,"4,047"
710 410,Houston*,980
710 413,Poplar Halls*,"5,128"
710 501,Bayview School*,"5,523"
710 502,Bayview United*,"3,345"
710 503,East Ocean View*,"6,052"
710 504,Larrymore*,"4,267"
710 505,Little Creek,"3,707"
710 508,Oceanair*,"2,949"
710 509,Tarrallton,"4,472"
710 510,Third Presbyterian*,"1,548"
710 3111,Sherwood Rec Center Part 1,74
710 3112,Sherwood Rec Center Part 2,"4,941"
Norfolk city - Ingleside* (412) (Part),,"3,453"
Norfolk city - Ocean View Center Part 1 (5061) (Part),,"4,269"
Norfolk city - Ocean View Center Part 2 (5062) (Part),,829
Norfolk city - Therapeutic Center* (216) (Part),,3
Norfolk city - Titustown Center (104) (Part),,"21,159"
District Number - 2,Total Population:,"574,058"
