District 7,Population Deviation:,"55,695"
,Percent Deviation:,8.7
Counties and Cities,,"239,094"
047,Culpeper,"34,262"
075,Goochland,"16,863"
079,Greene,"15,244"
085,Hanover,"86,320"
109,Louisa,"25,627"
113,Madison,"12,520"
137,Orange,"25,881"
145,Powhatan,"22,377"
Albemarle (Part),,"40,285"
003 101,Woodbrook*,"3,452"
003 102,Commonwealth*,"4,657"
003 104,Agnor-Hurt*,"2,626"
003 201,Jack Jouett*,"6,355"
003 502,Stony Point*,"1,461"
003 503,Hollymead*,"8,309"
003 601,Crozet*,"7,433"
003 602,Free Union*,"1,813"
003 603,Earlysville*,"4,179"
Chesterfield (Part),,"213,025"
041 101,Bellwood*,"6,050"
041 102,South Chester*,"5,066"
041 104,North Chester*,"5,190"
041 105,Drewry's Bluff*,"6,649"
041 108,Ecoff*,"4,578"
041 111,Iron Bridge*,"2,878"
041 201,Gates*,"3,928"
041 202,Beulah*,"4,661"
041 203,Bird*,"4,184"
041 204,Jacobs*,"4,078"
041 205,Falling Creek*,"5,202"
041 206,Belmont*,"6,290"
041 207,Chippenham*,"6,143"
041 208,Meadowbrook*,"4,508"
041 209,Salem Church*,"5,957"
041 210,Five Forks,"2,939"
041 302,Deer Run*,"5,717"
041 306,Winterpock,"3,617"
041 309,Skinquarter*,"2,180"
041 310,Tomahawk,"5,480"
041 312,Evergreen*,"4,635"
041 313,Woolridge,"3,929"
041 315,Bailey Bridge*,"4,082"
041 316,Spring Run*,"4,561"
041 399,Pocahontas 307/Crenshaw 308,"9,601"
041 402,Genito*,"6,833"
041 403,Brandermill*,"3,816"
041 404,Providence,"4,313"
041 405,Lyndale*,"2,754"
041 406,Smoketree,"3,169"
041 407,Monacan,"1,922"
041 408,Reams,"5,878"
041 409,Manchester*,"4,822"
041 410,Wagstaff*,"2,385"
041 499,Harbour Pointe 401/Swift Creek 411*,"6,294"
041 501,Huguenot*,"3,484"
041 502,Crestwood*,"1,987"
041 503,Midlothian*,"4,701"
041 504,Robious,"3,642"
041 505,Bon Air*,"3,914"
041 506,Greenfield,"4,370"
041 507,Salisbury,"4,178"
041 509,Cranbeck,"2,458"
041 510,Sycamore*,"4,317"
041 512,Shenandoah*,"4,221"
041 513,Beaufont*,"2,162"
041 514,Watkins*,"3,064"
041 599,Belgrade 508/Black Heath 511*,"6,238"
Henrico (Part),,"163,210"
087 102,Dumbarton*,"6,776"
087 103,Glen Allen*,"4,402"
087 104,Glenside*,"3,091"
087 105,Greendale*,"2,750"
087 106,Hermitage*,"2,341"
087 107,Hilliard*,"1,790"
087 109,Johnson*,"3,531"
087 110,Lakeside*,"4,239"
087 111,Longan*,"4,297"
087 112,Maude Trevvett*,"4,932"
087 114,Staples Mill*,"4,924"
087 116,Summit Court*,"1,892"
087 301,Cardinal*,605
087 302,Coalpit*,"5,274"
087 303,Crestview*,"3,655"
087 304,Freeman*,"2,329"
087 305,Innsbrook*,"6,198"
087 306,Jackson Davis*,"2,667"
087 307,Lauderdale*,"3,560"
087 308,Monument Hills*,"1,200"
087 309,Ridge*,"2,238"
087 310,Sadler*,"8,140"
087 311,Cedarfield,"5,749"
087 312,Skipwith*,"4,095"
087 313,Three Chopt*,"3,075"
087 314,Tucker*,"6,593"
087 315,Westwood*,"2,544"
087 316,Causeway*,"6,276"
087 317,Stoney Run,"5,096"
087 401,Byrd*,"3,641"
087 402,Lakewood*,"3,074"
087 403,Derbyshire*,"2,137"
087 404,Gayton*,"3,973"
087 405,G0dwin*,"2,979"
087 406,Maybeury*,"5,581"
087 407,Mooreland*,"2,018"
087 408,Pemberton*,"4,201"
087 409,Pinchbeck*,"4,804"
087 410,Ridgefield*,"4,174"
087 411,Rollingwood*,"2,157"
087 412,Spottswood*,"1,357"
087 413,Tuckahoe*,"4,314"
087 414,West End*,"4,541"
Richmond city (Part),,"33,384"
760 101,101,"4,625"
760 102,102,"1,349"
760 103,103*,"2,072"
760 104,104*,"1,279"
760 105,105*,"2,135"
760 111,111*,"1,911"
760 112,112*,"1,668"
760 404,404*,"3,204"
760 409,409*,"3,496"
760 410,410*,"4,582"
760 411,411*,997
760 412,412*,"3,817"
760 413,413*,"2,249"
Albemarle - Ivy* (301) (Part),,"4,626"
Chesterfield - Davis (412) (Part),,"3,573"
Richmond city - 106 (106) (Part),,"1,999"
District Number - 7,Total Population:,"699,196"
