"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp"
1,55563,54593,98%,429,0.8%,285,0.5%,127,0.2%,11,76,42,254,0.5%
2,54189,52323,97%,1401,2.6%,189,0.3%,116,0.2%,10,132,18,341,0.6%
3,55330,53866,97%,983,1.8%,199,0.4%,175,0.3%,7,67,33,234,0.4%
4,56056,54183,97%,1292,2.3%,237,0.4%,177,0.3%,16,120,31,361,0.6%
5,55005,51936,94%,2204,4%,232,0.4%,162,0.3%,9,429,33,909,1.7%
6,55338,52409,95%,2178,3.9%,247,0.4%,240,0.4%,14,197,53,372,0.7%
7,58467,53947,92%,2754,4.7%,258,0.4%,1027,1.8%,27,331,123,631,1.1%
8,54163,50833,94%,2124,3.9%,181,0.3%,747,1.4%,9,208,61,424,0.8%
9,55505,49636,89%,5227,9.4%,200,0.4%,162,0.3%,12,199,69,566,1%
10,55560,46772,84%,7755,14%,191,0.3%,110,0.2%,20,649,63,1339,2.4%
11,53795,35157,65%,16959,31.5%,313,0.6%,576,1.1%,25,505,260,758,1.4%
12,58617,52286,89%,2890,4.9%,237,0.4%,2475,4.2%,31,504,194,728,1.2%
13,49857,42273,85%,4022,8.1%,262,0.5%,1530,3.1%,49,1522,199,2792,5.6%
14,54440,34950,64%,18650,34.3%,170,0.3%,303,0.6%,12,254,101,680,1.2%
15,54927,52791,96%,1085,2%,255,0.5%,189,0.3%,15,560,32,1023,1.9%
16,54233,40705,75%,12707,23.4%,167,0.3%,201,0.4%,4,376,73,913,1.7%
17,56007,52658,94%,1963,3.5%,228,0.4%,805,1.4%,13,270,70,524,0.9%
18,51315,47594,93%,2647,5.2%,299,0.6%,360,0.7%,27,332,56,894,1.7%
19,53132,49060,92%,3383,6.4%,231,0.4%,278,0.5%,11,108,61,328,0.6%
20,54982,50422,92%,3830,7%,208,0.4%,198,0.4%,12,248,64,553,1%
21,50354,33196,66%,10749,21.3%,357,0.7%,4774,9.5%,79,861,338,2016,4%
22,54231,46812,86%,6505,12%,228,0.4%,410,0.8%,9,184,83,436,0.8%
23,54887,38628,70%,14807,27%,280,0.5%,616,1.1%,23,329,204,619,1.1%
24,55222,48914,89%,5306,9.6%,378,0.7%,343,0.6%,23,170,88,447,0.8%
25,53681,50094,93%,2580,4.8%,238,0.4%,282,0.5%,14,386,87,1092,2%
26,56848,51674,91%,2113,3.7%,188,0.3%,1349,2.4%,21,1359,144,3243,5.7%
27,50704,39076,77%,9358,18.5%,323,0.6%,1152,2.3%,28,606,161,1080,2.1%
28,51196,42229,82%,6553,12.8%,454,0.9%,938,1.8%,48,791,183,1672,3.3%
29,52946,48578,92%,2632,5%,286,0.5%,551,1%,15,777,107,1459,2.8%
30,52591,43604,83%,7911,15%,258,0.5%,332,0.6%,11,369,106,879,1.7%
31,48679,33307,68%,10819,22.2%,349,0.7%,2041,4.2%,99,1681,383,3289,6.8%
32,48737,40105,82%,3301,6.8%,185,0.4%,3698,7.6%,46,1178,224,2614,5.4%
33,50999,45615,89%,3314,6.5%,221,0.4%,892,1.7%,28,810,119,1666,3.3%
34,51482,42430,82%,1379,2.7%,136,0.3%,6400,12.4%,34,892,211,1909,3.7%
35,53979,43297,80%,1994,3.7%,185,0.3%,6840,12.7%,33,1378,252,3049,5.6%
36,53364,41185,77%,3985,7.5%,229,0.4%,5597,10.5%,42,2015,311,4265,8%
37,54542,40244,74%,3348,6.1%,249,0.5%,7720,14.2%,54,2573,354,5100,9.4%
38,55284,31477,57%,5713,10.3%,293,0.5%,8409,15.2%,47,8494,851,14397,26%
39,53921,37511,70%,2569,4.8%,235,0.4%,10115,18.8%,66,3061,364,5971,11.1%
40,50215,37669,75%,3262,6.5%,217,0.4%,7378,14.7%,33,1425,231,2917,5.8%
41,51562,38760,75%,2621,5.1%,197,0.4%,7952,15.4%,47,1705,280,3779,7.3%
42,50564,34444,68%,7386,14.6%,275,0.5%,6394,12.6%,71,1588,406,3415,6.8%
43,55275,38667,70%,5876,10.6%,239,0.4%,7145,12.9%,69,2919,360,5817,10.5%
44,51262,32886,64%,10821,21.1%,324,0.6%,3395,6.6%,78,3292,466,5970,11.6%
45,59385,44600,75%,8958,15.1%,326,0.5%,2562,4.3%,56,2487,396,4827,8.1%
46,59670,33901,57%,13965,23.4%,259,0.4%,5425,9.1%,75,4811,1234,8104,13.6%
47,58762,41869,71%,4872,8.3%,341,0.6%,5345,9.1%,50,5654,631,10510,17.9%
48,61364,49115,80%,3436,5.6%,314,0.5%,5635,9.2%,61,2429,374,5053,8.2%
49,58850,33970,58%,9658,16.4%,347,0.6%,4585,7.8%,59,9516,715,15366,26.1%
50,49446,36465,74%,5786,11.7%,371,0.8%,1918,3.9%,51,4560,295,7227,14.6%
51,48837,34951,72%,8479,17.4%,290,0.6%,2579,5.3%,84,2051,403,4063,8.3%
52,48773,31747,65%,11327,23.2%,400,0.8%,2243,4.6%,82,2558,416,4937,10.1%
53,56466,38583,68%,2378,4.2%,247,0.4%,10747,19%,46,4143,322,8176,14.5%
54,50475,42075,83%,6460,12.8%,355,0.7%,835,1.7%,34,545,171,1268,2.5%
