"DISTRICT","2000 Pres. % Rep.","2000 Pres. % Dem.","2000 US
Sen.
%Rep.","2000 US
 Sen.
% Dem.","1997 Gov. % Rep.","1997 Gov. % Dem.","1997 Lt. Gov. % Rep.","1997 Lt. Gov. % Dem.","1996 Pres. % Rep.","1996 Pres. % Dem.","1996 US Sen. % Rep.","1996 US Sen. % Dem."
1,57%,42%,60%,40%,64%,36%,61%,39%,44%,45%,42%,58%
2,46%,52%,49%,51%,49%,51%,47%,53%,34%,55%,35%,65%
3,46%,52%,48%,52%,53%,47%,48%,52%,33%,57%,36%,64%
4,59%,40%,62%,38%,60%,40%,58%,42%,49%,41%,47%,53%
5,61%,38%,62%,38%,63%,37%,56%,44%,46%,42%,46%,54%
6,59%,40%,59%,41%,61%,39%,56%,44%,45%,43%,47%,53%
7,57%,40%,57%,43%,61%,39%,54%,46%,46%,42%,49%,51%
8,60%,38%,58%,42%,63%,37%,54%,46%,52%,40%,55%,45%
9,61%,37%,63%,37%,62%,38%,44%,56%,46%,41%,51%,49%
10,60%,39%,60%,40%,58%,42%,43%,57%,47%,41%,48%,52%
11,37%,61%,39%,61%,44%,56%,38%,62%,31%,62%,36%,64%
12,49%,46%,49%,51%,50%,50%,44%,56%,39%,50%,45%,55%
13,61%,37%,62%,38%,66%,34%,65%,35%,56%,37%,60%,40%
14,54%,43%,55%,45%,60%,40%,45%,55%,50%,43%,52%,48%
15,66%,33%,66%,34%,68%,32%,67%,33%,55%,35%,57%,43%
16,62%,36%,62%,38%,64%,36%,45%,55%,53%,38%,54%,46%
17,59%,39%,58%,42%,62%,38%,54%,46%,52%,40%,56%,44%
18,61%,37%,61%,39%,64%,36%,62%,38%,54%,36%,59%,41%
19,65%,33%,64%,36%,66%,34%,56%,44%,52%,37%,56%,44%
20,67%,30%,66%,34%,69%,31%,71%,29%,60%,30%,62%,38%
21,52%,46%,51%,49%,60%,40%,59%,41%,46%,46%,53%,47%
22,65%,33%,65%,35%,67%,33%,52%,48%,55%,36%,56%,44%
23,53%,45%,53%,47%,56%,44%,43%,57%,48%,46%,51%,49%
