"DISTRICT","TOTAL_POP.","TARGET","DEV.","DEVIATION"
1,71213,70785,0.6,428
2,69568,70785,-1.72,-1217
3,70484,70785,-0.43,-301
4,70642,70785,-0.2,-143
5,69806,70785,-1.38,-979
6,70379,70785,-0.57,-406
7,71411,70785,0.88,626
8,70024,70785,-1.08,-761
9,71196,70785,0.58,411
10,71079,70785,0.42,294
11,70604,70785,-0.26,-181
12,71248,70785,0.65,463
13,69438,70785,-1.9,-1347
14,71021,70785,0.33,236
15,70985,70785,0.28,200
16,70269,70785,-0.73,-516
17,71145,70785,0.51,360
18,69548,70785,-1.75,-1237
19,69646,70785,-1.61,-1139
20,70864,70785,0.11,79
21,72156,70785,1.94,1371
22,71019,70785,0.33,234
23,70760,70785,-0.04,-25
24,70385,70785,-0.57,-400
25,70970,70785,0.26,185
26,70435,70785,-0.49,-350
27,71286,70785,0.71,501
28,70096,70785,-0.97,-689
29,69941,70785,-1.19,-844
30,69634,70785,-1.63,-1151
31,70583,70785,-0.29,-202
32,71810,70785,1.45,1025
33,70956,70785,0.24,171
34,70792,70785,0.01,7
35,70636,70785,-0.21,-149
36,71429,70785,0.91,644
37,70422,70785,-0.51,-363
38,71626,70785,1.19,841
39,70379,70785,-0.57,-406
40,70652,70785,-0.19,-133
41,71518,70785,1.04,733
42,70296,70785,-0.69,-489
43,71903,70785,1.58,1118
44,70245,70785,-0.76,-540
45,71269,70785,0.68,484
46,71974,70785,1.68,1189
47,72006,70785,1.72,1221
48,72163,70785,1.95,1378
49,72045,70785,1.78,1260
50,70218,70785,-0.8,-567
51,69411,70785,-1.94,-1374
52,71115,70785,0.47,330
53,71821,70785,1.46,1036
54,71525,70785,1.05,740
55,69958,70785,-1.17,-827
56,70790,70785,0.01,5
57,70275,70785,-0.72,-510
58,69662,70785,-1.59,-1123
59,70371,70785,-0.58,-414
60,69503,70785,-1.81,-1282
61,70122,70785,-0.94,-663
62,70550,70785,-0.33,-235
63,69833,70785,-1.34,-952
64,69945,70785,-1.19,-840
65,69446,70785,-1.89,-1339
66,70100,70785,-0.97,-685
67,69430,70785,-1.91,-1355
68,70473,70785,-0.44,-312
69,69807,70785,-1.38,-978
70,70408,70785,-0.53,-377
71,69540,70785,-1.76,-1245
72,71756,70785,1.37,971
73,72037,70785,1.77,1252
74,70617,70785,-0.24,-168
75,69933,70785,-1.2,-852
76,71549,70785,1.08,764
77,70087,70785,-0.99,-698
78,70798,70785,0.02,13
79,72106,70785,1.87,1321
80,70554,70785,-0.33,-231
81,71175,70785,0.55,390
82,72134,70785,1.91,1349
83,71766,70785,1.39,981
84,72090,70785,1.84,1305
85,72039,70785,1.77,1254
86,69900,70785,-1.25,-885
87,72174,70785,1.96,1389
88,70746,70785,-0.06,-39
89,71874,70785,1.54,1089
90,71872,70785,1.54,1087
91,71410,70785,0.88,625
92,70106,70785,-0.96,-679
93,70633,70785,-0.21,-152
94,71484,70785,0.99,699
95,70646,70785,-0.2,-139
96,71608,70785,1.16,823
97,69803,70785,-1.39,-982
98,69412,70785,-1.94,-1373
99,71837,70785,1.49,1052
100,72110,70785,1.87,1325
,0,,,0
