"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,71213,69843,98.1%,622,0.9%,377,0.5%,162,0.2%,16,135,58,384,0.5%
2,69568,67208,96.6%,1724,2.5%,232,0.3%,159,0.2%,12,198,35,482,0.7%
3,70484,68469,97.1%,1349,1.9%,225,0.3%,255,0.4%,9,126,51,355,0.5%
4,70642,67999,96.3%,1845,2.6%,300,0.4%,254,0.4%,21,172,51,519,0.7%
5,69806,65741,94.2%,2761,4%,310,0.4%,219,0.3%,13,713,49,1430,2%
6,70379,66383,94.3%,2946,4.2%,307,0.4%,348,0.5%,19,287,89,549,0.8%
7,71411,65905,92.3%,3454,4.8%,320,0.4%,1119,1.6%,32,423,158,787,1.1%
8,70024,65297,93.2%,2942,4.2%,237,0.3%,1103,1.6%,18,337,90,644,0.9%
9,71196,63187,88.8%,7073,9.9%,259,0.4%,230,0.3%,19,314,114,837,1.2%
10,71079,59001,83%,10510,14.8%,257,0.4%,168,0.2%,36,1004,103,1970,2.8%
11,70604,43355,61.4%,24828,35.2%,378,0.5%,798,1.1%,35,800,410,1133,1.6%
12,71248,63343,88.9%,3759,5.3%,297,0.4%,2907,4.1%,35,652,255,925,1.3%
13,69438,58184,83.8%,6062,8.7%,375,0.5%,2210,3.2%,63,2226,318,4121,5.9%
14,71021,42702,60.1%,27060,38.1%,216,0.3%,424,0.6%,16,447,156,1055,1.5%
15,70985,67905,95.7%,1506,2.1%,344,0.5%,267,0.4%,26,865,72,1598,2.3%
16,70269,51497,73.3%,17579,25%,212,0.3%,283,0.4%,5,587,106,1351,1.9%
17,71145,66266,93.1%,2882,4.1%,279,0.4%,1149,1.6%,17,435,117,766,1.1%
18,69548,64250,92.4%,3694,5.3%,401,0.6%,527,0.8%,38,535,103,1376,2%
19,69646,64121,92.1%,4489,6.4%,322,0.5%,429,0.6%,15,184,86,480,0.7%
20,70864,64765,91.4%,5014,7.1%,276,0.4%,295,0.4%,14,394,106,816,1.2%
21,72156,45643,63.3%,17223,23.9%,495,0.7%,6664,9.2%,108,1349,674,3223,4.5%
22,71019,60540,85.2%,9133,12.9%,307,0.4%,571,0.8%,20,317,131,650,0.9%
23,70760,47509,67.1%,21267,30.1%,362,0.5%,783,1.1%,29,488,322,862,1.2%
24,70385,61886,87.9%,7117,10.1%,492,0.7%,461,0.7%,31,272,126,619,0.9%
25,70970,65665,92.5%,3766,5.3%,334,0.5%,411,0.6%,17,656,121,1732,2.4%
26,70435,63391,90%,2880,4.1%,221,0.3%,1687,2.4%,27,2031,198,4821,6.8%
27,71286,53508,75.1%,14313,20.1%,452,0.6%,1662,2.3%,46,1010,295,1763,2.5%
28,70096,56405,80.5%,10085,14.4%,623,0.9%,1347,1.9%,85,1213,338,2584,3.7%
29,69941,63500,90.8%,3933,5.6%,376,0.5%,762,1.1%,28,1165,177,2149,3.1%
30,69634,57171,82.1%,10870,15.6%,339,0.5%,462,0.7%,18,595,179,1257,1.8%
31,70583,46594,66%,16930,24%,493,0.7%,2995,4.2%,143,2733,695,5278,7.5%
32,71810,58709,81.8%,5048,7%,266,0.4%,5447,7.6%,73,1862,405,4046,5.6%
33,70956,63051,88.9%,4764,6.7%,289,0.4%,1381,1.9%,35,1234,202,2504,3.5%
34,70792,58047,82%,1991,2.8%,219,0.3%,8864,12.5%,43,1319,309,2700,3.8%
35,70636,55947,79.2%,2766,3.9%,241,0.3%,9316,13.2%,47,1939,380,4155,5.9%
36,71429,53808,75.3%,5969,8.4%,323,0.5%,7771,10.9%,67,2998,493,6138,8.6%
37,70422,51077,72.5%,4476,6.4%,337,0.5%,10257,14.6%,68,3676,531,7152,10.2%
38,71626,38854,54.2%,8093,11.3%,386,0.5%,11139,15.6%,63,11881,1210,19931,27.8%
39,70379,47979,68.2%,3679,5.2%,322,0.5%,13313,18.9%,90,4428,568,8499,12.1%
40,70652,52593,74.4%,4734,6.7%,312,0.4%,10505,14.9%,62,2074,372,4259,6%
41,71518,53056,74.2%,3889,5.4%,263,0.4%,11293,15.8%,88,2495,434,5449,7.6%
42,70296,47373,67.4%,10210,14.5%,385,0.5%,9096,12.9%,118,2450,664,5184,7.4%
43,71903,48652,67.7%,8258,11.5%,356,0.5%,9735,13.5%,90,4228,584,8374,11.6%
44,70245,42760,60.9%,16365,23.3%,441,0.6%,4727,6.7%,116,5052,784,9189,13.1%
45,71269,51386,72.1%,12087,17%,399,0.6%,3269,4.6%,70,3518,540,6696,9.4%
46,71974,38513,53.5%,18333,25.5%,319,0.4%,6533,9.1%,93,6598,1585,11142,15.5%
47,72006,49487,68.7%,6407,8.9%,457,0.6%,6728,9.3%,79,7981,867,14668,20.4%
48,72163,57614,79.8%,3952,5.5%,386,0.5%,6563,9.1%,75,3106,467,6462,9%
49,72045,39243,54.5%,12839,17.8%,440,0.6%,5672,7.9%,70,12816,965,20772,28.8%
50,70218,50346,71.7%,9000,12.8%,510,0.7%,2693,3.8%,77,7116,476,11196,15.9%
51,69411,47746,68.8%,13388,19.3%,412,0.6%,3705,5.3%,118,3278,764,6417,9.2%
52,71115,44418,62.5%,17954,25.2%,600,0.8%,3214,4.5%,117,3999,813,7859,11.1%
53,71821,47951,66.8%,3291,4.6%,322,0.4%,13955,19.4%,61,5796,445,11202,15.6%
54,71525,58752,82.1%,9731,13.6%,495,0.7%,1205,1.7%,66,942,334,2077,2.9%
55,69958,61147,87.4%,7209,10.3%,379,0.5%,709,1%,10,340,164,751,1.1%
56,70790,56998,80.5%,11617,16.4%,312,0.4%,1343,1.9%,20,340,160,858,1.2%
57,70275,51776,73.7%,13068,18.6%,214,0.3%,3944,5.6%,30,883,360,1882,2.7%
58,69662,61220,87.9%,6381,9.2%,297,0.4%,1005,1.4%,18,591,150,1219,1.7%
59,70371,48996,69.6%,20206,28.7%,322,0.5%,248,0.4%,24,374,201,993,1.4%
60,69503,42788,61.6%,25630,36.9%,246,0.4%,287,0.4%,25,353,174,854,1.2%
61,70122,43325,61.8%,25670,36.6%,277,0.4%,221,0.3%,11,473,145,885,1.3%
62,70550,49646,70.4%,17222,24.4%,522,0.7%,1166,1.7%,82,1462,450,2781,3.9%
63,69833,26825,38.4%,41533,59.5%,270,0.4%,436,0.6%,34,442,293,875,1.3%
64,69945,53426,76.4%,14395,20.6%,324,0.5%,1163,1.7%,36,402,199,961,1.4%
65,69446,58971,84.9%,8084,11.6%,283,0.4%,1532,2.2%,19,412,145,922,1.3%
66,70100,58904,84%,8183,11.7%,376,0.5%,1743,2.5%,52,656,186,1411,2%
67,69430,52821,76.1%,4170,6%,309,0.4%,9478,13.7%,53,2206,393,5017,7.2%
68,70473,59216,84%,7394,10.5%,281,0.4%,2150,3.1%,35,1006,391,1785,2.5%
69,69807,21428,30.7%,43666,62.6%,341,0.5%,1158,1.7%,117,2500,597,3744,5.4%
70,70408,22963,32.6%,44056,62.6%,392,0.6%,800,1.1%,42,1643,512,2692,3.8%
71,69540,24789,35.6%,42230,60.7%,277,0.4%,1256,1.8%,32,539,417,921,1.3%
72,71756,60934,84.9%,5108,7.1%,229,0.3%,4499,6.3%,32,769,185,1455,2%
73,72037,57305,79.5%,9828,13.6%,378,0.5%,3030,4.2%,45,1109,342,2029,2.8%
74,70617,23033,32.6%,44877,63.5%,977,1.4%,681,1%,28,602,419,1126,1.6%
75,69933,28645,41%,40424,57.8%,177,0.3%,225,0.3%,25,298,139,700,1%
76,71549,51851,72.5%,17533,24.5%,425,0.6%,1058,1.5%,38,400,244,1043,1.5%
77,70087,26900,38.4%,41197,58.8%,397,0.6%,734,1%,39,453,367,997,1.4%
78,70798,55975,79.1%,11037,15.6%,481,0.7%,2232,3.2%,60,711,302,1752,2.5%
79,72106,42292,58.7%,26208,36.3%,555,0.8%,1661,2.3%,95,775,520,1627,2.3%
80,70554,27225,38.6%,41288,58.5%,452,0.6%,661,0.9%,70,461,397,1047,1.5%
81,71175,54191,76.1%,12470,17.5%,633,0.9%,1933,2.7%,109,1311,528,3057,4.3%
82,72134,62617,86.8%,6147,8.5%,447,0.6%,1504,2.1%,100,1036,283,2385,3.3%
83,71766,51613,71.9%,14471,20.2%,541,0.8%,3107,4.3%,87,1317,630,2938,4.1%
84,72090,49138,68.2%,15189,21.1%,583,0.8%,4837,6.7%,109,1568,666,3517,4.9%
85,72039,50669,70.3%,13672,19%,429,0.6%,5634,7.8%,81,1072,482,2410,3.3%
86,69900,45489,65.1%,6733,9.6%,364,0.5%,10104,14.5%,58,6420,732,11323,16.2%
87,72174,47290,65.5%,18611,25.8%,785,1.1%,2721,3.8%,122,1863,782,3602,5%
88,70746,58638,82.9%,8743,12.4%,534,0.8%,1284,1.8%,84,1083,380,2396,3.4%
89,71874,26915,37.4%,41299,57.5%,472,0.7%,1692,2.4%,81,856,559,1731,2.4%
90,71872,26272,36.6%,41850,58.2%,390,0.5%,1725,2.4%,63,950,622,1991,2.8%
91,71410,56069,78.5%,11743,16.4%,521,0.7%,1652,2.3%,96,900,429,2016,2.8%
92,70106,23619,33.7%,42998,61.3%,477,0.7%,1331,1.9%,78,788,815,1772,2.5%
93,70633,42104,59.6%,22772,32.2%,488,0.7%,2483,3.5%,123,1865,798,3685,5.2%
94,71484,47985,67.1%,18085,25.3%,508,0.7%,2263,3.2%,124,1750,769,3221,4.5%
95,70646,24623,34.9%,43284,61.3%,381,0.5%,959,1.4%,54,604,741,1462,2.1%
96,71608,55973,78.2%,11646,16.3%,508,0.7%,2278,3.2%,98,744,361,1788,2.5%
97,69803,55386,79.3%,12666,18.1%,698,1%,440,0.6%,16,358,239,683,1%
98,69412,53852,77.6%,13945,20.1%,693,1%,429,0.6%,28,280,185,755,1.1%
99,71837,50412,70.2%,19715,27.4%,457,0.6%,410,0.6%,37,629,177,1380,1.9%
100,72110,43261,60%,23737,32.9%,543,0.8%,1154,1.6%,76,2994,345,4514,6.3%
