"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,129239,95014,73.5%,26146,20.2%,902,0.7%,4146,3.2%,164,2035,832,4124,3.2%,1828,330,1966
2,126146,50288,39.9%,70426,55.8%,802,0.6%,2189,1.7%,108,1223,1110,2715,2.2%,914,595,1206
3,133568,105600,79.1%,21670,16.2%,990,0.7%,3040,2.3%,165,1558,545,3372,2.5%,1614,225,1533
4,129202,103756,80.3%,22413,17.3%,1050,0.8%,1033,0.8%,34,592,324,1357,1.1%,721,117,519
5,127043,49714,39.1%,70761,55.7%,714,0.6%,3371,2.7%,145,1435,903,2821,2.2%,990,480,1351
6,135623,92294,68.1%,33824,24.9%,1245,0.9%,3343,2.5%,156,3962,799,6613,4.9%,2234,474,3905
7,126744,92169,72.7%,22646,17.9%,836,0.7%,8479,6.7%,145,1732,737,3981,3.1%,2021,290,1670
8,127737,103116,80.7%,16541,12.9%,990,0.8%,4179,3.3%,174,2100,637,4676,3.7%,2298,344,2034
9,137238,56695,41.3%,75468,55%,1217,0.9%,1995,1.5%,56,1078,729,1850,1.3%,675,323,852
10,135415,111947,82.7%,19089,14.1%,546,0.4%,2520,1.9%,36,919,358,1878,1.4%,1009,91,778
11,126607,96308,76.1%,24815,19.6%,731,0.6%,2668,2.1%,80,1591,414,2898,2.3%,1251,181,1466
12,135644,112722,83.1%,13216,9.7%,592,0.4%,6877,5.1%,59,1727,451,3313,2.4%,1736,140,1437
13,133685,97152,72.7%,32710,24.5%,898,0.7%,1649,1.2%,97,770,409,2005,1.5%,1047,226,732
14,123399,89970,72.9%,24335,19.7%,892,0.7%,6091,4.9%,131,1452,528,3455,2.8%,1788,248,1419
15,138500,94206,68%,42289,30.5%,502,0.4%,665,0.5%,37,522,279,1380,1%,715,185,480
16,127356,49814,39.1%,71221,55.9%,622,0.5%,1658,1.3%,183,3112,746,5014,3.9%,1358,432,3224
17,130516,107519,82.4%,19295,14.8%,773,0.6%,1367,1%,50,1161,351,2644,2%,1396,129,1119
18,129635,50963,39.3%,76166,58.8%,568,0.4%,712,0.5%,56,717,453,1493,1.2%,501,309,683
19,138412,104564,75.5%,32144,23.2%,436,0.3%,503,0.4%,25,526,214,1379,1%,721,152,506
20,140670,121439,86.3%,16692,11.9%,522,0.4%,440,0.3%,30,1399,148,3053,2.2%,1584,108,1361
21,143909,117185,81.4%,20193,14%,646,0.4%,4067,2.8%,67,1250,501,1933,1.3%,980,143,810
22,139745,131398,94%,5440,3.9%,564,0.4%,1566,1.1%,34,550,193,1157,0.8%,701,35,421
23,138209,113298,82%,21985,15.9%,723,0.5%,1249,0.9%,46,595,313,1238,0.9%,640,92,506
24,135288,125114,92.5%,8024,5.9%,561,0.4%,693,0.5%,44,666,186,1695,1.3%,1077,43,575
25,140478,116483,82.9%,17665,12.6%,615,0.4%,4090,2.9%,55,1119,451,2594,1.8%,1512,149,933
26,136831,127861,93.4%,4323,3.2%,605,0.4%,1677,1.2%,49,2109,207,4776,3.5%,2669,146,1961
27,130760,119436,91.3%,7822,6%,657,0.5%,1158,0.9%,61,1392,234,2993,2.3%,1652,48,1293
28,130672,102597,78.5%,23121,17.7%,945,0.7%,1860,1.4%,117,1610,422,3522,2.7%,1764,211,1547
29,124266,91591,73.7%,18806,15.1%,843,0.7%,4874,3.9%,174,7217,761,12320,9.9%,4991,338,6991
30,147586,91828,62.2%,28225,19.1%,833,0.6%,10272,7%,174,14440,1814,24105,16.3%,9598,565,13942
31,144634,104792,72.5%,9029,6.2%,818,0.6%,14611,10.1%,129,13959,1296,25224,17.4%,12020,307,12897
32,133414,101749,76.3%,7338,5.5%,524,0.4%,16381,12.3%,93,6512,817,12706,9.5%,6824,200,5682
33,122974,97641,79.4%,8678,7.1%,487,0.4%,11730,9.5%,111,3735,592,7791,6.3%,4255,154,3382
34,133309,102534,76.9%,5877,4.4%,531,0.4%,18788,14.1%,100,4800,679,10028,7.5%,5735,176,4117
35,138411,83039,60%,17747,12.8%,647,0.5%,22511,16.3%,141,12553,1773,22731,16.4%,10682,422,11627
36,126588,87178,68.9%,24040,19%,866,0.7%,7181,5.7%,222,6025,1076,11616,9.2%,5318,403,5895
37,128325,94818,73.9%,8250,6.4%,544,0.4%,19695,15.3%,111,4178,729,9125,7.1%,5240,158,3727
38,142009,136485,96.1%,4127,2.9%,548,0.4%,398,0.3%,24,335,92,806,0.6%,537,22,247
39,129557,95155,73.4%,14201,11%,604,0.5%,13948,10.8%,144,4663,842,9617,7.4%,5099,270,4248
40,140909,136010,96.5%,3398,2.4%,648,0.5%,440,0.3%,35,283,95,842,0.6%,593,27,222
