"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,174289,123927,71.1%,38541,22.1%,1210,0.7%,5740,3.3%,239,3113,1519,6402,3.7%
2,174234,64343,36.9%,101914,58.5%,1099,0.6%,2978,1.7%,157,1871,1872,4213,2.4%
3,177204,136693,77.1%,31517,17.8%,1351,0.8%,4017,2.3%,245,2432,949,5219,2.9%
4,174862,139557,79.8%,30788,17.6%,1443,0.8%,1505,0.9%,50,973,546,2071,1.2%
5,173535,60883,35.1%,103698,59.8%,946,0.5%,4268,2.5%,191,2086,1463,4210,2.4%
6,174940,114256,65.3%,47935,27.4%,1557,0.9%,4380,2.5%,209,5311,1292,9136,5.2%
7,173441,121931,70.3%,34625,20%,1114,0.6%,11494,6.6%,208,2738,1331,6339,3.7%
8,174228,136795,78.5%,25602,14.7%,1366,0.8%,5759,3.3%,270,3216,1220,7313,4.2%
9,180492,67136,37.2%,106852,59.2%,1584,0.9%,2282,1.3%,70,1499,1069,2586,1.4%
10,177180,145285,82%,25758,14.5%,726,0.4%,3472,2%,58,1365,516,2683,1.5%
11,173903,129099,74.2%,36651,21.1%,1022,0.6%,3807,2.2%,124,2485,715,4496,2.6%
12,177890,146319,82.3%,18280,10.3%,774,0.4%,9265,5.2%,95,2477,680,4690,2.6%
13,176740,125709,71.1%,45662,25.8%,1147,0.6%,2255,1.3%,135,1189,643,2885,1.6%
14,175372,125585,71.6%,36124,20.6%,1285,0.7%,8754,5%,189,2386,1049,5577,3.2%
15,179983,119816,66.6%,57228,31.8%,678,0.4%,927,0.5%,44,859,431,2029,1.1%
16,174203,62670,36%,102824,59%,784,0.5%,2195,1.3%,218,4304,1208,7038,4%
17,179093,145841,81.4%,27595,15.4%,1048,0.6%,1971,1.1%,93,1895,650,4139,2.3%
18,173520,64522,37.2%,105498,60.8%,755,0.4%,958,0.6%,80,1044,663,2209,1.3%
19,179894,131945,73.3%,45425,25.3%,556,0.3%,708,0.4%,36,901,323,2126,1.2%
20,180264,153278,85%,23193,12.9%,684,0.4%,630,0.3%,53,2196,230,4548,2.5%
21,179386,142081,79.2%,29067,16.2%,787,0.4%,4889,2.7%,84,1751,727,2632,1.5%
22,179040,167527,93.6%,7386,4.1%,717,0.4%,2219,1.2%,46,863,282,1675,0.9%
23,179941,144551,80.3%,31193,17.3%,974,0.5%,1696,0.9%,67,957,503,1801,1%
24,175702,161682,92%,10872,6.2%,766,0.4%,955,0.5%,57,1097,273,2542,1.4%
25,178010,145338,81.6%,24695,13.9%,795,0.4%,4876,2.7%,62,1607,637,3592,2%
26,175088,162527,92.8%,6027,3.4%,783,0.4%,2160,1.2%,71,3194,326,7199,4.1%
27,176794,160671,90.9%,10940,6.2%,876,0.5%,1709,1%,88,2125,385,4495,2.5%
28,177881,136552,76.8%,33771,19%,1332,0.7%,2694,1.5%,185,2567,780,5537,3.1%
29,177790,127234,71.6%,29662,16.7%,1198,0.7%,6954,3.9%,249,11185,1308,19020,10.7%
30,180201,105473,58.5%,38115,21.2%,1054,0.6%,12688,7%,220,20197,2454,33833,18.8%
31,176666,124863,70.7%,11590,6.6%,1045,0.6%,18265,10.3%,176,19003,1724,33883,19.2%
32,177016,132335,74.8%,10840,6.1%,733,0.4%,22362,12.6%,131,9382,1233,17820,10.1%
33,177243,139601,78.8%,13122,7.4%,698,0.4%,16940,9.6%,165,5690,1027,11696,6.6%
34,175583,133277,75.9%,8050,4.6%,723,0.4%,25496,14.5%,134,6868,1035,13950,7.9%
35,176032,101353,57.6%,24376,13.8%,844,0.5%,29102,16.5%,181,17667,2509,31896,18.1%
36,177321,116337,65.6%,37771,21.3%,1240,0.7%,10135,5.7%,330,9547,1961,18246,10.3%
37,177050,128997,72.9%,12212,6.9%,762,0.4%,27627,15.6%,191,6130,1131,13240,7.5%
38,180435,173245,96%,5256,2.9%,673,0.4%,582,0.3%,32,491,156,1140,0.6%
39,176954,128305,72.5%,19705,11.1%,883,0.5%,19546,11%,213,6916,1386,14193,8%
40,179115,172571,96.3%,4470,2.5%,831,0.5%,592,0.3%,47,460,144,1241,0.7%
