"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,643514,643501.3636,0%,13
2,643510,643501.3636,0%,9
3,643474,643501.3636,0%,-27
4,643480,643501.3636,0%,-21
5,643504,643501.3636,0%,3
6,643494,643501.3636,0%,-7
7,643498,643501.3636,0%,-3
8,643503,643501.3636,0%,2
9,643517,643501.3636,0%,16
10,643512,643501.3636,0%,11
11,643509,643501.3636,0%,8
