"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,473353,368548,77.9%,84221,17.8%,3417,0.7%,9391,2%,420,5469,1887,12190,2.6%,6127,832,5231
2,478531,342928,71.7%,96773,20.2%,3697,0.8%,22101,4.6%,643,9503,2886,18756,3.9%,8057,1430,9269
3,476833,200413,42%,255194,53.5%,3452,0.7%,8029,1.7%,455,6069,3221,11401,2.4%,3892,1629,5880
4,472690,305195,64.6%,151877,32.1%,2719,0.6%,6948,1.5%,309,4139,1503,8533,1.8%,3733,874,3926
5,497884,371828,74.7%,114427,23%,1774,0.4%,5778,1.2%,140,2876,1061,7019,1.4%,3773,618,2628
6,500227,436562,87.3%,50968,10.2%,2283,0.5%,5249,1%,165,3978,1022,8611,1.7%,4783,387,3441
7,482048,387539,80.4%,74352,15.4%,2309,0.5%,11731,2.4%,162,4488,1467,8747,1.8%,4336,435,3976
8,516909,347413,67.2%,66273,12.8%,2654,0.5%,52114,10.1%,527,42562,5366,76076,14.7%,34951,1462,39663
9,509897,481076,94.3%,18955,3.7%,2112,0.4%,4613,0.9%,135,2417,589,4999,1%,2933,151,1915
10,461855,377011,81.6%,31179,6.8%,2227,0.5%,32786,7.1%,316,16362,1974,30817,6.7%,15155,521,15141
11,470026,342929,73%,45937,9.8%,2393,0.5%,55374,11.8%,590,19739,3064,39691,8.4%,20548,949,18194
